,birthday_male,birthday_female,tuple,average_male,average_female,female-male
0,-0.09859651,-0.19840904,"('unsociable', 'sociable')",-0.0985965,-0.198409,-0.0998125
1,1.630404,1.7706162,"('unfriendly', 'friendly')",1.630404,1.7706162,0.1402122
2,-0.09098253,0.030993134,"('unlikable', 'likable')",-0.0909825,0.0309931,0.1219756
3,0.49003103,0.60743165,"('repellent', 'pleasant')",0.490031,0.6074317,0.1174007
4,-7.0761285,-7.1926045,"('disliked', 'liked')",-7.0761285,-7.1926045,-0.116476
5,-0.06751632,0.032711454,"('distant', 'outgoing')",-0.0675163,0.0327115,0.1002278
6,0.5115927,0.5340278,"('distant', 'open')",0.5115927,0.5340278,0.0224351
7,1.0293517,1.0140423,"('insensitive', 'sensitive')",1.0293517,1.0140423,-0.0153094
8,1.6496611,1.6975074,"('unaffectionate', 'affectionate')",1.6496611,1.6975074,0.0478463
9,1.6145353,1.7149982,"('unaffectionate', 'caring')",1.6145353,1.7149982,0.1004629
10,0.18876708,0.16554512,"('unsympathetic', 'sympathetic')",0.1887671,0.1655451,-0.023222
11,1.2469896,1.3503312,"('unhelpful', 'helpful')",1.2469896,1.3503312,0.1033416
12,-1.7571975,-1.7559072,"('unsupportive', 'supportive')",-1.7571975,-1.7559072,0.0012903
13,-0.5074452,-0.3736022,"('impolite', 'polite')",-0.5074452,-0.3736022,0.133843
14,-0.13468096,-0.187369,"('antisocial', 'social')",-0.134681,-0.187369,-0.052688
15,0.6801368,0.6620208,"('boring', 'funny')",0.6801368,0.6620208,-0.018116
16,-0.54644394,-0.53664416,"('unpopular', 'popular')",-0.5464439,-0.5366442,0.0097997
17,0.19574693,0.16111477,"('nasty', 'nice')",0.1957469,0.1611148,-0.0346321
18,-0.3928476,-0.32557535,"('disagreeable', 'welcoming')",-0.3928476,-0.3255754,0.0672722
19,-0.26249018,-0.14768784,"('inhospitable', 'hospitable')",-0.2624902,-0.1476878,0.1148024
20,0.71148705,0.54423547,"('rough', 'thoughtful')",0.7114871,0.5442355,-0.1672516
21,-1.1705796,-0.98974705,"('immoral', 'moral')",-1.1705796,-0.989747,0.1808326
22,-0.5231047,-0.5223166,"('untrustworthy', 'trustworthy')",-0.5231047,-0.5223166,0.0007881
23,6.2311373,6.445757,"('insincere', 'sincere')",6.2311373,6.4457569,0.2146196
24,1.0700837,1.1210725,"('dishonest', 'honest')",1.0700837,1.1210725,0.0509888
25,1.1769065,1.1833193,"('egoistic', 'altruistic')",1.1769065,1.1833193,0.0064128
26,1.5339293,1.426323,"('hardhearted', 'benevolent')",1.5339293,1.4263231,-0.1076062
27,1.7859608,1.5894989,"('hardhearted', 'softhearted')",1.7859608,1.5894989,-0.1964619
