,cockpit_male,cockpit_female,tuple,average_male,average_female,female-male
0,-0.17900494,-0.27296728,"('unsociable', 'sociable')",-0.1790049,-0.2729673,-0.0939624
1,1.7446495,1.5723885,"('unfriendly', 'friendly')",1.7446495,1.5723885,-0.172261
2,0.3431604,0.56214565,"('unlikable', 'likable')",0.3431604,0.5621457,0.2189853
3,0.50972956,0.6596795,"('repellent', 'pleasant')",0.5097296,0.6596795,0.1499499
4,-7.1098585,-7.13885,"('disliked', 'liked')",-7.1098585,-7.1388502,-0.0289917
5,-0.0070935264,0.05559103,"('distant', 'outgoing')",-0.0070935,0.055591,0.0626845
6,0.2202455,0.24768135,"('distant', 'open')",0.2202455,0.2476813,0.0274358
7,0.69902974,0.7325297,"('insensitive', 'sensitive')",0.6990297,0.7325297,0.0335
8,1.4302002,1.3214114,"('unaffectionate', 'affectionate')",1.4302002,1.3214114,-0.1087888
9,2.096794,2.0968838,"('unaffectionate', 'caring')",2.0967939,2.0968838,8.99e-05
10,0.46835157,0.7175927,"('unsympathetic', 'sympathetic')",0.4683516,0.7175927,0.2492411
11,1.9748046,2.0365558,"('unhelpful', 'helpful')",1.9748046,2.0365558,0.0617512
12,-1.3824028,-1.358372,"('unsupportive', 'supportive')",-1.3824028,-1.358372,0.0240308
13,0.14723234,0.17565298,"('impolite', 'polite')",0.1472323,0.175653,0.0284207
14,-0.5792459,-0.62041587,"('antisocial', 'social')",-0.5792459,-0.6204159,-0.04117
15,0.76320916,0.7132172,"('boring', 'funny')",0.7632092,0.7132172,-0.049992
16,-0.006542325,-0.048372723,"('unpopular', 'popular')",-0.0065423,-0.0483727,-0.0418304
17,-0.2712005,-0.30085638,"('nasty', 'nice')",-0.2712005,-0.3008564,-0.0296559
18,-0.55018914,-0.65925664,"('disagreeable', 'welcoming')",-0.5501891,-0.6592566,-0.1090675
19,-0.33167773,-0.23293538,"('inhospitable', 'hospitable')",-0.3316777,-0.2329354,0.0987423
20,0.64264745,0.47817785,"('rough', 'thoughtful')",0.6426474,0.4781778,-0.1644696
21,-0.56643206,-0.31640312,"('immoral', 'moral')",-0.5664321,-0.3164031,0.250029
22,-0.7505266,-0.5758257,"('untrustworthy', 'trustworthy')",-0.7505266,-0.5758257,0.1747009
23,6.5647,6.5594506,"('insincere', 'sincere')",6.5647001,6.5594506,-0.0052495
24,1.5776365,1.6065791,"('dishonest', 'honest')",1.5776365,1.6065791,0.0289426
25,0.888468,0.6881946,"('egoistic', 'altruistic')",0.888468,0.6881946,-0.2002734
26,0.56061244,0.26615104,"('hardhearted', 'benevolent')",0.5606124,0.266151,-0.2944614
27,1.3057477,1.1405777,"('hardhearted', 'softhearted')",1.3057477,1.1405777,-0.16517
28,1.0728055,1.0069648,"('disloyal', 'loyal')",1.0728055,1.0069648,-0.0658407
29,-0.4429107,-0.4652346,"('unfair', 'fair')",-0.4429107,-0.4652346,-0.0223239
30,0.915933,0.94980747,"('intolerant', 'tolerant')",0.915933,0.9498075,0.0338745
31,-0.89035875,-1.109313,"('evil', 'good')",-0.8903587,-1.109313,-0.2189543
32,0.9880362,1.0110483,"('unkind', 'kind')",0.9880362,1.0110483,0.0230121
33,0.028542042,-0.07464838,"('wrong', 'right')",0.028542,-0.0746484,-0.1031904
34,5.105062,5.1170864,"('mean', 'honorable')",5.105062,5.1170864,0.0120244
35,-0.8549509,-1.0641962,"('corrupt', 'incorrupt')",-0.8549509,-1.0641962,-0.2092453
36,-0.39046693,-0.6254672,"('hostile', 'amicable')",-0.3904669,-0.6254672,-0.2350003
37,0.6159617,0.6699068,"('fake', 'genuine')",0.6159617,0.6699068,0.0539451
38,0.2449533,0.18371394,"('untruthful', 'truthful')",0.2449533,0.1837139,-0.0612394
39,0.121818036,0.064043045,"('exploitative', 'cooperative')",0.121818,0.064043,-0.057775
40,-2.0150418,-2.0597515,"('stingy', 'generous')",-2.0150418,-2.0597515,-0.0447097
41,-0.4019659,-0.49043465,"('unforgiving', 'forgiving')",-0.4019659,-0.4904346,-0.0884687
42,-2.7304082,-2.4398334,"('unreliable', 'reliable')",-2.7304082,-2.4398334,0.2905748
43,1.2083132,1.2516899,"('irresponsible', 'responsible')",1.2083132,1.2516899,0.0433767
44,-1.3378763,-1.3216909,"('prejudiced', 'unprejudiced')",-1.3378763,-1.3216909,0.0161854
45,-0.092083335,-0.03936593,"('incompetent', 'competent')",-0.0920833,-0.0393659,0.0527174
46,-0.8989529,-0.74054825,"('uncompetitive', 'competitive')",-0.8989529,-0.7405483,0.1584046
47,5.2597055,5.360136,"('stupid', 'smart')",5.2597055,5.360136,0.1004305
48,0.73674417,0.6861608,"('unintelligent', 'intelligent')",0.7367442,0.6861608,-0.0505834
49,0.56064636,0.7205085,"('unable', 'able')",0.5606464,0.7205085,0.1598621
50,0.027129434,0.03864965,"('clumsy', 'skillful')",0.0271294,0.0386496,0.0115202
51,0.076564096,0.17110234,"('uneducated', 'educated')",0.0765641,0.1711023,0.0945382
52,-0.13220057,-0.2784159,"('irrational', 'rational')",-0.1322006,-0.2784159,-0.1462153
53,0.7607434,0.65402865,"('uncreative', 'creative')",0.7607434,0.6540287,-0.1067147
54,1.1986648,1.4613099,"('incapable', 'capable')",1.1986648,1.4613099,0.2626451
55,0.5816914,0.62638,"('incompetent', 'clever')",0.5816914,0.62638,0.0446886
56,0.7046404,0.813504,"('impractical', 'practical')",0.7046404,0.813504,0.1088636
