,cloister_male,cloister_female,tuple,average_male,average_female,female-male
0,0.5460512,0.4188199,"('unsociable', 'sociable')",0.5460512,0.4188199,-0.1272313
1,-0.72291243,-0.93998575,"('unfriendly', 'friendly')",-0.7229124,-0.9399858,-0.2170734
2,-0.49198416,-0.37722307,"('unlikable', 'likable')",-0.4919842,-0.3772231,0.1147611
3,-0.70215905,-0.44487804,"('repellent', 'pleasant')",-0.702159,-0.444878,0.257281
4,-1.5194447,-1.5764611,"('disliked', 'liked')",-1.5194447,-1.5764611,-0.0570164
5,-0.10810964,-0.27596566,"('distant', 'outgoing')",-0.1081096,-0.2759657,-0.1678561
6,-0.5459207,-0.72932744,"('distant', 'open')",-0.5459207,-0.7293274,-0.1834067
7,-0.37699252,-0.30973306,"('insensitive', 'sensitive')",-0.3769925,-0.3097331,0.0672594
8,-0.37007013,-0.51976657,"('unaffectionate', 'affectionate')",-0.3700701,-0.5197666,-0.1496965
9,-0.8091053,-0.9122866,"('unaffectionate', 'caring')",-0.8091053,-0.9122866,-0.1031813
10,-0.77001077,-0.7604973,"('unsympathetic', 'sympathetic')",-0.7700108,-0.7604973,0.0095135
11,-0.38562208,-0.29548377,"('unhelpful', 'helpful')",-0.3856221,-0.2954838,0.0901383
12,-1.1760256,-1.2361467,"('unsupportive', 'supportive')",-1.1760256,-1.2361467,-0.0601211
13,-0.5894632,-0.60819227,"('impolite', 'polite')",-0.5894632,-0.6081923,-0.0187291
14,0.5258488,0.68098134,"('antisocial', 'social')",0.5258488,0.6809813,0.1551325
15,-0.11059743,-0.27940676,"('boring', 'funny')",-0.1105974,-0.2794068,-0.1688094
16,-0.06843753,0.02728355,"('unpopular', 'popular')",-0.0684375,0.0272835,0.095721
17,-0.38620457,-0.28526545,"('nasty', 'nice')",-0.3862046,-0.2852654,0.1009392
18,-1.1684241,-0.9328761,"('disagreeable', 'welcoming')",-1.1684241,-0.9328761,0.235548
19,-0.74905074,-0.81955314,"('inhospitable', 'hospitable')",-0.7490507,-0.8195531,-0.0705024
20,-0.10280406,-0.052727945,"('rough', 'thoughtful')",-0.1028041,-0.0527279,0.0500762
21,0.12638067,0.3734119,"('immoral', 'moral')",0.1263807,0.3734119,0.2470312
22,0.066215105,-0.042589255,"('untrustworthy', 'trustworthy')",0.0662151,-0.0425893,-0.1088044
23,0.9619802,1.0862856,"('insincere', 'sincere')",0.9619802,1.0862856,0.1243054
24,-0.47184432,-0.60805833,"('dishonest', 'honest')",-0.4718443,-0.6080583,-0.136214
25,0.108518764,0.069219366,"('egoistic', 'altruistic')",0.1085188,0.0692194,-0.0392994
26,0.93819565,0.58688486,"('hardhearted', 'benevolent')",0.9381956,0.5868849,-0.3513107
27,-0.6430026,-0.73238957,"('hardhearted', 'softhearted')",-0.6430026,-0.7323896,-0.089387
28,-0.23255591,-0.39701083,"('disloyal', 'loyal')",-0.2325559,-0.3970108,-0.1644549
29,-0.3052641,-0.46006852,"('unfair', 'fair')",-0.3052641,-0.4600685,-0.1548044
30,-0.30723187,-0.10085884,"('intolerant', 'tolerant')",-0.3072319,-0.1008588,0.2063731
31,-1.4307251,-1.6301309,"('evil', 'good')",-1.4307251,-1.6301309,-0.1994058
32,-0.07215298,-0.10266889,"('unkind', 'kind')",-0.072153,-0.1026689,-0.0305159
33,-0.010427013,-0.086104326,"('wrong', 'right')",-0.010427,-0.0861043,-0.0756773
34,2.0673018,2.161741,"('mean', 'honorable')",2.0673018,2.161741,0.0944392
35,0.15435173,-0.19255535,"('corrupt', 'incorrupt')",0.1543517,-0.1925554,-0.3469071
36,-0.62538314,-0.8687933,"('hostile', 'amicable')",-0.6253831,-0.8687933,-0.2434102
37,-0.049221825,-0.07990121,"('fake', 'genuine')",-0.0492218,-0.0799012,-0.0306794
38,-0.031199453,-0.03076736,"('untruthful', 'truthful')",-0.0311995,-0.0307674,0.0004321
39,-0.13161503,-0.06271504,"('exploitative', 'cooperative')",-0.131615,-0.062715,0.0689
40,-0.9136499,-1.0853958,"('stingy', 'generous')",-0.9136499,-1.0853958,-0.1717459
41,0.18293941,0.26748168,"('unforgiving', 'forgiving')",0.1829394,0.2674817,0.0845423
42,-1.0006558,-0.96116745,"('unreliable', 'reliable')",-1.0006558,-0.9611675,0.0394883
43,-0.6013635,-0.49198127,"('irresponsible', 'responsible')",-0.6013635,-0.4919813,0.1093822
44,-0.6238781,-0.5555087,"('prejudiced', 'unprejudiced')",-0.6238781,-0.5555087,0.0683694
45,-0.6930544,-0.64864975,"('incompetent', 'competent')",-0.6930544,-0.6486498,0.0444046
46,-1.0815789,-1.0432605,"('uncompetitive', 'competitive')",-1.0815789,-1.0432605,0.0383184
47,1.5719383,1.6841065,"('stupid', 'smart')",1.5719383,1.6841065,0.1121682
48,-1.0199585,-1.0501883,"('unintelligent', 'intelligent')",-1.0199585,-1.0501883,-0.0302298
49,-0.7230816,-0.4885215,"('unable', 'able')",-0.7230816,-0.4885215,0.2345601
50,-0.9599747,-0.76440996,"('clumsy', 'skillful')",-0.9599747,-0.76441,0.1955647
51,-0.49970335,-0.42838842,"('uneducated', 'educated')",-0.4997033,-0.4283884,0.0713149
