,berkley_male,berkley_female,tuple,w_male,w_female,r_male,r_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.8776265,-1.9886813,"('unsociable', 'sociable')",1.1565971,1.0774553,0.8477301,0.8706185,0.830672,0.8575457,0.2393432,0.2042345,-0.0351087
1,-1.6493934,-1.7462071,"('unfriendly', 'friendly')",-0.613527,-0.7642626,-0.8617869,-0.98573226,1.1924399,0.90703905,-0.4830668,-0.6472907,-0.1642239
2,0.5468272,0.588704,"('unlikable', 'likable')",1.4191784,1.5507491,1.1388189,1.1634204,0.93687063,0.875195,1.0104238,1.044517,0.0340932
3,-0.8600407,-0.77176917,"('repellent', 'pleasant')",1.1807007,1.2515454,1.2899789,1.4206057,1.3936119,1.588046,0.7510627,0.872107,0.1210443
4,0.74514246,0.57996017,"('disliked', 'liked')",-0.6344426,-0.90232724,0.40112638,0.17042312,-6.6726894,-6.815136,-1.5402158,-1.74177,-0.2015542
5,0.33031872,0.2869067,"('distant', 'outgoing')",-1.2345471,-1.2128278,-0.2629512,-0.3199382,-0.7976515,-0.99587893,-0.4912078,-0.5604346,-0.0692268
6,-0.03335099,-0.021002118,"('distant', 'open')",-1.2476895,-1.2450876,-0.84170526,-0.8799225,-0.5157615,-0.710181,-0.6596268,-0.7140483,-0.0544215
7,-0.77617395,-0.7732358,"('insensitive', 'sensitive')",1.3569541,1.3387101,0.2850768,0.40858,1.2521839,1.3754281,0.5295102,0.5873706,0.0578604
8,-0.44506663,-0.57965106,"('unaffectionate', 'affectionate')",-0.6912816,-0.66751814,-0.37320626,-0.44815344,0.4278398,0.24799308,-0.2704287,-0.3618324,-0.0914037
9,-0.6260282,-0.7303311,"('unaffectionate', 'caring')",0.69998294,0.67136025,0.9045808,0.9051572,1.8296484,1.718487,0.702046,0.6411684,-0.0608776
10,-1.518148,-1.5577327,"('unsympathetic', 'sympathetic')",1.8959417,1.8471209,0.39758277,0.50082487,1.2008337,1.2860829,0.4940526,0.519074,0.0250214
11,-1.4997208,-1.5635077,"('unhelpful', 'helpful')",0.9330077,0.83445895,0.48487958,0.55332404,2.6379402,2.6668735,0.6390266,0.6227872,-0.0162394
12,-1.3032315,-1.2652379,"('unsupportive', 'supportive')",1.0870813,1.1050987,-0.15653586,-0.14274594,-1.2250909,-1.2911431,-0.3994442,-0.3985071,0.0009371
13,-1.3699863,-1.3322394,"('impolite', 'polite')",0.8290082,0.88456035,0.76224875,0.9057282,0.32162964,0.5120783,0.1357251,0.2425319,0.1068068
14,-0.8195582,-0.85201544,"('antisocial', 'social')",1.7766874,1.8477458,0.8845622,0.9450467,0.029804612,0.13391519,0.467874,0.5186731,0.0507991
15,-0.08237971,-0.17662826,"('boring', 'funny')",0.5318411,0.41628763,0.9034215,0.9260971,-0.16144615,-0.15637451,0.2978592,0.2523455,-0.0455137
16,-0.35700408,-0.29861096,"('unpopular', 'popular')",-0.47661301,-0.43802088,0.8798253,0.9212227,0.16281727,0.39981157,0.0522564,0.1461006,0.0938442
17,-0.30174306,-0.34954453,"('nasty', 'nice')",-0.115731105,-0.07932502,-0.1599222,-0.15945247,-0.40694577,-0.31506506,-0.2460855,-0.2258468,0.0202387
18,-0.91154355,-0.76928085,"('disagreeable', 'welcoming')",-0.94266427,-0.7176001,-1.0291476,-0.7883129,-0.80947995,-0.8252244,-0.9232088,-0.7751046,0.1481042
