,destroyer_male,destroyer_female,tuple,average_male,average_female,female-male
0,0.08749871,-0.03434408,"('unsociable', 'sociable')",0.0874987,-0.0343441,-0.1218428
1,0.99092263,1.0624347,"('unfriendly', 'friendly')",0.9909226,1.0624347,0.0715121
2,0.120950386,0.15713727,"('unlikable', 'likable')",0.1209504,0.1571373,0.0361869
3,0.4589563,0.47651932,"('repellent', 'pleasant')",0.4589563,0.4765193,0.017563
4,-7.2243686,-7.3344455,"('disliked', 'liked')",-7.2243686,-7.3344455,-0.1100769
5,-0.8007128,-0.75951755,"('distant', 'outgoing')",-0.8007128,-0.7595176,0.0411952
6,-0.17986491,-0.13550574,"('distant', 'open')",-0.1798649,-0.1355057,0.0443592
7,1.0255023,1.0479959,"('insensitive', 'sensitive')",1.0255023,1.0479959,0.0224936
8,1.3749926,1.3509305,"('unaffectionate', 'affectionate')",1.3749926,1.3509305,-0.0240621
9,1.9622672,1.9700923,"('unaffectionate', 'caring')",1.9622672,1.9700923,0.0078251
10,1.2504697,1.1991231,"('unsympathetic', 'sympathetic')",1.2504697,1.1991231,-0.0513466
11,1.5996835,1.6003252,"('unhelpful', 'helpful')",1.5996835,1.6003252,0.0006417
12,-1.299172,-1.3500086,"('unsupportive', 'supportive')",-1.299172,-1.3500086,-0.0508366
13,-0.2893173,-0.34468108,"('impolite', 'polite')",-0.2893173,-0.3446811,-0.0553638
14,0.21341555,0.16639017,"('antisocial', 'social')",0.2134155,0.1663902,-0.0470253
15,0.12604636,0.045534123,"('boring', 'funny')",0.1260464,0.0455341,-0.0805123
16,-0.69938207,-0.623805,"('unpopular', 'popular')",-0.6993821,-0.623805,0.0755771
17,-0.29618928,-0.28281865,"('nasty', 'nice')",-0.2961893,-0.2828186,0.0133707
18,-0.35687503,-0.41032523,"('disagreeable', 'welcoming')",-0.356875,-0.4103252,-0.0534502
19,-0.57168585,-0.576646,"('inhospitable', 'hospitable')",-0.5716859,-0.576646,-0.0049601
20,1.1363565,1.0878084,"('rough', 'thoughtful')",1.1363565,1.0878084,-0.0485481
21,-0.13092431,-0.1432835,"('immoral', 'moral')",-0.1309243,-0.1432835,-0.0123592
22,-0.71093166,-0.74109054,"('untrustworthy', 'trustworthy')",-0.7109317,-0.7410905,-0.0301588
23,6.2224717,6.2650566,"('insincere', 'sincere')",6.2224717,6.2650566,0.0425849
24,1.5783378,1.4431429,"('dishonest', 'honest')",1.5783378,1.4431429,-0.1351949
25,0.92116654,0.91125274,"('egoistic', 'altruistic')",0.9211665,0.9112527,-0.0099138
26,1.039381,1.0225253,"('hardhearted', 'benevolent')",1.039381,1.0225253,-0.0168557
27,1.7177676,1.552977,"('hardhearted', 'softhearted')",1.7177676,1.552977,-0.1647906
28,1.3761656,1.3443564,"('disloyal', 'loyal')",1.3761656,1.3443564,-0.0318092
29,-0.5333667,-0.6014107,"('unfair', 'fair')",-0.5333667,-0.6014107,-0.068044
30,0.9716255,0.9068792,"('intolerant', 'tolerant')",0.9716255,0.9068792,-0.0647463
31,-1.4802597,-1.3838882,"('evil', 'good')",-1.4802597,-1.3838882,0.0963715
32,1.056092,0.9872216,"('unkind', 'kind')",1.056092,0.9872216,-0.0688704
33,-0.13088393,-0.18057552,"('wrong', 'right')",-0.1308839,-0.1805755,-0.0496916
