,pupil_male,pupil_female,tuple,average_male,average_female,female-male
0,0.7253017,0.7984386,"('unsociable', 'sociable')",0.7253017,0.7984386,0.0731369
1,1.0901569,1.0782956,"('unfriendly', 'friendly')",1.0901569,1.0782956,-0.0118613
2,-0.24845399,-0.23440006,"('unlikable', 'likable')",-0.248454,-0.2344001,0.0140539
3,0.5663559,0.63978153,"('repellent', 'pleasant')",0.5663559,0.6397815,0.0734256
4,-7.169478,-7.138971,"('disliked', 'liked')",-7.1694779,-7.1389709,0.030507
5,-1.2376343,-1.2638592,"('distant', 'outgoing')",-1.2376343,-1.2638592,-0.0262249
6,-0.6767698,-0.77758694,"('distant', 'open')",-0.6767698,-0.7775869,-0.1008171
7,1.4577563,1.5624695,"('insensitive', 'sensitive')",1.4577563,1.5624695,0.1047132
8,0.8269409,0.7151252,"('unaffectionate', 'affectionate')",0.8269409,0.7151252,-0.1118157
9,1.5057172,1.5252517,"('unaffectionate', 'caring')",1.5057172,1.5252517,0.0195345
10,1.1281885,1.2547507,"('unsympathetic', 'sympathetic')",1.1281885,1.2547507,0.1265622
11,1.9292369,2.1188214,"('unhelpful', 'helpful')",1.9292369,2.1188214,0.1895845
12,-1.3080326,-1.1779616,"('unsupportive', 'supportive')",-1.3080326,-1.1779616,0.130071
13,-0.07056171,0.024805807,"('impolite', 'polite')",-0.0705617,0.0248058,0.0953675
14,0.78559136,0.83126664,"('antisocial', 'social')",0.7855914,0.8312666,0.0456752
15,0.04541442,0.009293668,"('boring', 'funny')",0.0454144,0.0092937,-0.0361207
16,-0.50234944,-0.54617417,"('unpopular', 'popular')",-0.5023494,-0.5461742,-0.0438248
17,-0.16226338,-0.1673622,"('nasty', 'nice')",-0.1622634,-0.1673622,-0.0050988
18,-0.7293605,-0.82728726,"('disagreeable', 'welcoming')",-0.7293605,-0.8272873,-0.0979268
19,-0.8408405,-0.84348786,"('inhospitable', 'hospitable')",-0.8408405,-0.8434879,-0.0026474
20,0.8480002,0.802304,"('rough', 'thoughtful')",0.8480002,0.802304,-0.0456962
21,0.09484167,0.24291405,"('immoral', 'moral')",0.0948417,0.2429141,0.1480724
22,-0.17186573,-0.16099952,"('untrustworthy', 'trustworthy')",-0.1718657,-0.1609995,0.0108662
23,6.8592114,6.9337225,"('insincere', 'sincere')",6.8592114,6.9337225,0.0745111
24,1.4836107,1.3829832,"('dishonest', 'honest')",1.4836107,1.3829832,-0.1006275
25,0.35714966,0.1614753,"('egoistic', 'altruistic')",0.3571497,0.1614753,-0.1956744
26,1.8556979,1.8333045,"('hardhearted', 'benevolent')",1.8556979,1.8333045,-0.0223934
27,1.1243427,0.8997818,"('hardhearted', 'softhearted')",1.1243427,0.8997818,-0.2245609
28,1.4062177,1.380009,"('disloyal', 'loyal')",1.4062177,1.3800091,-0.0262086
29,-0.87332135,-1.0157024,"('unfair', 'fair')",-0.8733214,-1.0157024,-0.142381
30,1.1914456,1.2877668,"('intolerant', 'tolerant')",1.1914456,1.2877668,0.0963212
31,-1.8139199,-1.9416336,"('evil', 'good')",-1.8139199,-1.9416336,-0.1277137
32,1.3764489,1.3605247,"('unkind', 'kind')",1.3764489,1.3605247,-0.0159242
33,-0.36624944,-0.42792794,"('wrong', 'right')",-0.3662494,-0.4279279,-0.0616785
34,4.418757,4.528086,"('mean', 'honorable')",4.418757,4.5280862,0.1093292
35,-1.4618883,-1.7916244,"('corrupt', 'incorrupt')",-1.4618883,-1.7916244,-0.3297361
36,-1.2796626,-1.439326,"('hostile', 'amicable')",-1.2796626,-1.439326,-0.1596634
37,0.5499121,0.5006468,"('fake', 'genuine')",0.5499121,0.5006468,-0.0492653
38,-0.039357968,0.057726964,"('untruthful', 'truthful')",-0.039358,0.057727,0.097085
39,0.85767627,0.8611391,"('exploitative', 'cooperative')",0.8576763,0.8611391,0.0034628
40,-1.7252,-1.8532729,"('stingy', 'generous')",-1.7252001,-1.8532729,-0.1280728
41,0.06737059,0.12886189,"('unforgiving', 'forgiving')",0.0673706,0.1288619,0.0614913
42,-2.7765858,-2.7536652,"('unreliable', 'reliable')",-2.7765858,-2.7536652,0.0229206
43,1.3324428,1.5142299,"('irresponsible', 'responsible')",1.3324428,1.5142299,0.1817871
44,-1.2997749,-1.3072958,"('prejudiced', 'unprejudiced')",-1.2997749,-1.3072958,-0.0075209
45,0.5203962,0.5991809,"('incompetent', 'competent')",0.5203962,0.5991809,0.0787847
46,-0.10840834,0.01525281,"('uncompetitive', 'competitive')",-0.1084083,0.0152528,0.1236611
