,spokesman_male,spokesman_female,tuple,average_male,average_female,female-male
0,0.46118048,0.32092327,"('unsociable', 'sociable')",0.4611805,0.3209233,-0.1402572
1,0.6385072,0.7657225,"('unfriendly', 'friendly')",0.6385072,0.7657225,0.1272153
2,-0.10620024,-0.13409844,"('unlikable', 'likable')",-0.1062002,-0.1340984,-0.0278982
3,0.5251623,0.5434575,"('repellent', 'pleasant')",0.5251623,0.5434575,0.0182952
4,-7.5488367,-7.653597,"('disliked', 'liked')",-7.5488367,-7.6535969,-0.1047602
5,-1.2939458,-1.103789,"('distant', 'outgoing')",-1.2939458,-1.103789,0.1901568
6,-0.784756,-0.6369673,"('distant', 'open')",-0.784756,-0.6369673,0.1477887
7,1.3859681,1.365539,"('insensitive', 'sensitive')",1.3859681,1.365539,-0.0204291
8,0.7089902,0.7543924,"('unaffectionate', 'affectionate')",0.7089902,0.7543924,0.0454022
9,1.4553249,1.515433,"('unaffectionate', 'caring')",1.4553249,1.515433,0.0601081
10,1.523566,1.4248111,"('unsympathetic', 'sympathetic')",1.523566,1.4248111,-0.0987549
11,1.783923,1.7422445,"('unhelpful', 'helpful')",1.783923,1.7422445,-0.0416785
12,-1.4938796,-1.5743277,"('unsupportive', 'supportive')",-1.4938796,-1.5743277,-0.0804481
13,0.34138924,0.20625202,"('impolite', 'polite')",0.3413892,0.206252,-0.1351372
14,0.53530514,0.43834737,"('antisocial', 'social')",0.5353051,0.4383474,-0.0969577
15,0.058383647,0.016241657,"('boring', 'funny')",0.0583836,0.0162417,-0.0421419
16,-0.70413965,-0.68794215,"('unpopular', 'popular')",-0.7041396,-0.6879421,0.0161975
17,-0.20840193,-0.23808824,"('nasty', 'nice')",-0.2084019,-0.2380882,-0.0296863
18,-0.6301141,-0.63325036,"('disagreeable', 'welcoming')",-0.6301141,-0.6332504,-0.0031363
19,-1.0020105,-0.8931914,"('inhospitable', 'hospitable')",-1.0020105,-0.8931914,0.1088191
20,1.0447855,1.037816,"('rough', 'thoughtful')",1.0447855,1.037816,-0.0069695
21,0.38603148,0.26916623,"('immoral', 'moral')",0.3860315,0.2691662,-0.1168653
22,0.12713566,-0.07520279,"('untrustworthy', 'trustworthy')",0.1271357,-0.0752028,-0.2023385
23,6.7042794,6.665885,"('insincere', 'sincere')",6.7042794,6.665885,-0.0383944
24,1.7812068,1.6191238,"('dishonest', 'honest')",1.7812068,1.6191238,-0.162083
25,0.33374995,0.36180586,"('egoistic', 'altruistic')",0.3337499,0.3618059,0.028056
26,1.0683545,1.0644708,"('hardhearted', 'benevolent')",1.0683545,1.0644708,-0.0038837
27,1.5686048,1.4990408,"('hardhearted', 'softhearted')",1.5686048,1.4990408,-0.069564
