,newfield_male,newfield_female,tuple,exploration_male,exploration_female,co_male,co_female,average_male,average_female,female-male
0,-1.0471553,-1.1268622,"('unsociable', 'sociable')",0.22155479,0.14420666,0.034185227,-0.11102235,-0.2638051,-0.3645593,-0.1007542
1,-1.4841872,-1.6281879,"('unfriendly', 'friendly')",0.6885574,0.46270972,1.3618616,1.196531,0.1887439,0.0103509,-0.178393
2,0.13214701,0.13489266,"('unlikable', 'likable')",1.1938062,1.1701385,1.0690655,1.3013437,0.7983395,0.8687916,0.0704521
3,-0.16114011,-0.09176468,"('repellent', 'pleasant')",0.29926485,0.26872584,0.6540462,0.7329545,0.264057,0.3033052,0.0392482
4,-0.016830988,-0.12769325,"('disliked', 'liked')",-0.5537587,-0.61181706,-7.015586,-6.88885,-2.5287251,-2.5427869,-0.0140618
5,-1.1286552,-1.1022763,"('distant', 'outgoing')",-1.2547878,-1.2198278,-0.8155909,-0.6774063,-1.0663446,-0.9998368,0.0665078
6,-1.3490754,-1.2928267,"('distant', 'open')",-1.2050878,-1.2294353,-0.9034204,-0.75078803,-1.1525279,-1.0910167,0.0615112
7,-0.5017315,-0.43891534,"('insensitive', 'sensitive')",1.0169142,1.0011811,0.017360657,0.058826283,0.1775145,0.2070307,0.0295162
8,-1.0113016,-1.2310485,"('unaffectionate', 'affectionate')",0.27877787,0.07568621,0.71108747,0.64278555,-0.0071454,-0.1708589,-0.1637135
9,-1.1466374,-1.3292208,"('unaffectionate', 'caring')",0.9981084,0.81091636,1.1564412,1.0854311,0.3359707,0.1890422,-0.1469285
10,-0.9551971,-1.0616654,"('unsympathetic', 'sympathetic')",0.44621983,0.2996813,-0.02891953,-0.15408781,-0.1792989,-0.3053573,-0.1260584
11,-0.36585203,-0.3794008,"('unhelpful', 'helpful')",0.7646089,0.75474316,2.5544913,2.5006008,0.9844161,0.9586477,-0.0257684
12,-0.096492514,-0.045825854,"('unsupportive', 'supportive')",0.782395,0.834665,-2.1527772,-1.9654825,-0.4889582,-0.3922145,0.0967437
13,0.44911692,0.47600192,"('impolite', 'polite')",0.53326786,0.5274277,0.014673516,-0.012739092,0.3323528,0.3302302,-0.0021226
14,0.24967822,0.23092273,"('antisocial', 'social')",0.67390907,0.72168183,0.017532036,-0.104535155,0.3137065,0.2826898,-0.0310167
15,-0.10237473,-0.1795017,"('boring', 'funny')",0.22715966,0.20890346,0.4237506,0.4574059,0.1828452,0.1622692,-0.020576
16,-0.39755374,-0.38787308,"('unpopular', 'popular')",-0.008431718,-0.0073031783,0.2552234,0.24874234,-0.050254,-0.0488113,0.0014427
17,-0.3765191,-0.35717198,"('nasty', 'nice')",-1.40334,-1.2062873,-0.18871489,-0.2047418,-0.6561913,-0.5894004,0.0667909
18,-0.15283848,0.011167511,"('disagreeable', 'welcoming')",-0.16462243,-0.072184674,-1.0060694,-0.87289965,-0.4411768,-0.3113056,0.1298712
19,-2.1343756,-2.0431387,"('inhospitable', 'hospitable')",-3.1980653,-3.1816072,-0.51627314,-0.37237105,-1.9495713,-1.8657056,0.0838657
20,-0.73500866,-0.69520354,"('rough', 'thoughtful')",0.1370399,0.21521789,0.27675456,0.25780028,-0.1070714,-0.0740618,0.0330096
21,-0.16118382,-0.095752925,"('immoral', 'moral')",0.6368252,0.61440706,-0.436349,-0.295899,0.0130975,0.0742517,0.0611542
