,public_male,public_female,tuple,storage_male,storage_female,average_male,average_female,female-male
0,0.4833466,0.3531418,"('unsociable', 'sociable')",0.28295562,0.21658099,0.3831511,0.2848614,-0.0982897
1,-0.38646317,-0.40532863,"('unfriendly', 'friendly')",0.71503997,0.59084505,0.1642884,0.0927582,-0.0715302
2,0.8945079,0.9563385,"('unlikable', 'likable')",0.4754173,0.50536245,0.6849626,0.7308505,0.0458879
3,-0.14685084,-0.04521264,"('repellent', 'pleasant')",0.50190383,0.6854404,0.1775265,0.3201139,0.1425874
4,0.6839123,0.6069376,"('disliked', 'liked')",-6.959619,-7.220664,-3.1378534,-3.3068633,-0.1690099
5,-0.50706863,-0.31730226,"('distant', 'outgoing')",-1.173053,-1.2740812,-0.8400608,-0.7956917,0.0443691
6,-0.37026936,-0.18029082,"('distant', 'open')",-0.56774014,-0.64154106,-0.4690048,-0.4109159,0.0580889
7,0.4485781,0.4402437,"('insensitive', 'sensitive')",1.4791222,1.5526216,0.9638501,0.9964327,0.0325826
8,-0.45000327,-0.3797677,"('unaffectionate', 'affectionate')",0.11402692,0.015155084,-0.1679882,-0.1823063,-0.0143181
9,-0.0136375725,0.109396905,"('unaffectionate', 'caring')",0.9088675,0.86851877,0.447615,0.4889578,0.0413428
10,-0.9174144,-0.84747213,"('unsympathetic', 'sympathetic')",0.3551717,0.45825964,-0.2811214,-0.1946062,0.0865152
11,0.6184826,0.6546986,"('unhelpful', 'helpful')",2.0695121,2.0964727,1.3439974,1.3755857,0.0315883
12,0.8977514,1.0283422,"('unsupportive', 'supportive')",-1.3547789,-1.3608358,-0.2285137,-0.1662468,0.0622669
13,0.71752375,0.70392984,"('impolite', 'polite')",0.0020844787,0.054021962,0.3598041,0.3789759,0.0191718
14,2.235263,2.0455906,"('antisocial', 'social')",0.9539725,0.9107691,1.5946178,1.4781799,-0.1164379
15,0.71012753,0.6268737,"('boring', 'funny')",0.5420232,0.36093944,0.6260754,0.4939066,-0.1321688
16,-0.9081304,-1.0082194,"('unpopular', 'popular')",-0.5859375,-0.5608475,-0.747034,-0.7845334,-0.0374994
17,-0.41451678,-0.28988487,"('nasty', 'nice')",-0.6365,-0.6170867,-0.5255084,-0.4534858,0.0720226
18,0.061764218,0.15882379,"('disagreeable', 'welcoming')",-0.7300955,-0.7670574,-0.3341656,-0.3041168,0.0300488
19,-1.2052816,-0.988276,"('inhospitable', 'hospitable')",-1.0812322,-1.0237266,-1.1432569,-1.0060012,0.1372557
20,0.32207876,0.2681204,"('rough', 'thoughtful')",0.55895054,0.6040812,0.4405147,0.4361008,-0.0044139
21,0.8676908,0.9401354,"('immoral', 'moral')",0.29769528,0.43954352,0.582693,0.6898395,0.1071465
22,1.1599828,1.0756311,"('untrustworthy', 'trustworthy')",0.39004496,0.37317392,0.7750139,0.7244025,-0.0506114
23,0.8029962,0.82018113,"('insincere', 'sincere')",6.0930667,6.214249,3.4480314,3.5172153,0.0691839
24,0.759627,0.7983073,"('dishonest', 'honest')",1.211035,1.129957,0.985331,0.9641321,-0.0211989
25,-0.26006517,-0.27362207,"('egoistic', 'altruistic')",0.7673591,0.6393283,0.253647,0.1828531,-0.0707939
26,2.1264734,1.9766142,"('hardhearted', 'benevolent')",1.6678411,1.5335629,1.8971572,1.7550886,-0.1420686
27,-0.25581515,-0.26079425,"('hardhearted', 'softhearted')",0.23804314,0.17983459,-0.008886,-0.0404798,-0.0315938
28,0.39845037,0.36034495,"('disloyal', 'loyal')",1.0024906,0.8732891,0.7004705,0.616817,-0.0836535
