,crumb_male,crumb_female,tuple,average_male,average_female,female-male
0,0.33457398,0.16674401,"('unsociable', 'sociable')",0.334574,0.166744,-0.16783
1,-0.8314537,-0.90922284,"('unfriendly', 'friendly')",-0.8314537,-0.9092228,-0.0777691
2,-0.32705146,-0.3402704,"('unlikable', 'likable')",-0.3270515,-0.3402704,-0.0132189
3,-1.0707108,-1.1233379,"('repellent', 'pleasant')",-1.0707108,-1.1233379,-0.0526271
4,-2.3071733,-1.9974457,"('disliked', 'liked')",-2.3071733,-1.9974457,0.3097276
5,-1.0143471,-0.8692331,"('distant', 'outgoing')",-1.0143471,-0.8692331,0.145114
6,-1.2492174,-1.1441643,"('distant', 'open')",-1.2492174,-1.1441643,0.1050531
7,0.20321515,0.16044582,"('insensitive', 'sensitive')",0.2032152,0.1604458,-0.0427694
8,-0.19787304,-0.30308312,"('unaffectionate', 'affectionate')",-0.197873,-0.3030831,-0.1052101
9,-0.1896481,-0.2926314,"('unaffectionate', 'caring')",-0.1896481,-0.2926314,-0.1029833
10,0.13200769,0.07794071,"('unsympathetic', 'sympathetic')",0.1320077,0.0779407,-0.054067
11,0.754349,0.6714112,"('unhelpful', 'helpful')",0.754349,0.6714112,-0.0829378
12,-0.9001336,-0.7884007,"('unsupportive', 'supportive')",-0.9001336,-0.7884007,0.1117329
13,0.2716235,0.11411531,"('impolite', 'polite')",0.2716235,0.1141153,-0.1575082
14,0.8756141,0.6845586,"('antisocial', 'social')",0.8756141,0.6845586,-0.1910555
15,0.3446067,0.3958448,"('boring', 'funny')",0.3446067,0.3958448,0.0512381
16,-0.9076945,-0.9050961,"('unpopular', 'popular')",-0.9076945,-0.9050961,0.0025984
17,-0.20197,-0.16219759,"('nasty', 'nice')",-0.20197,-0.1621976,0.0397724
18,-1.0699066,-1.163426,"('disagreeable', 'welcoming')",-1.0699066,-1.163426,-0.0935194
19,-1.380501,-1.2286546,"('inhospitable', 'hospitable')",-1.380501,-1.2286546,0.1518464
20,0.3245801,0.18371627,"('rough', 'thoughtful')",0.3245801,0.1837163,-0.1408638
21,0.47319698,0.44009897,"('immoral', 'moral')",0.473197,0.440099,-0.033098
22,0.6769685,0.56522626,"('untrustworthy', 'trustworthy')",0.6769685,0.5652263,-0.1117422
23,1.5696367,1.1985695,"('insincere', 'sincere')",1.5696367,1.1985695,-0.3710672
24,0.10683629,-0.050882295,"('dishonest', 'honest')",0.1068363,-0.0508823,-0.1577186
25,0.18499726,0.12745632,"('egoistic', 'altruistic')",0.1849973,0.1274563,-0.057541
26,-0.019261315,-0.16232505,"('hardhearted', 'benevolent')",-0.0192613,-0.1623251,-0.1430638
27,0.63580847,0.49822634,"('hardhearted', 'softhearted')",0.6358085,0.4982263,-0.1375822
28,0.24338424,0.038950585,"('disloyal', 'loyal')",0.2433842,0.0389506,-0.2044336
29,0.013298782,-0.12563527,"('unfair', 'fair')",0.0132988,-0.1256353,-0.1389341
30,0.79349077,0.6797737,"('intolerant', 'tolerant')",0.7934908,0.6797737,-0.1137171
31,-1.8512362,-1.5841668,"('evil', 'good')",-1.8512362,-1.5841668,0.2670694
32,0.1655974,-0.08316931,"('unkind', 'kind')",0.1655974,-0.0831693,-0.2487667
33,0.29847008,0.2528434,"('wrong', 'right')",0.2984701,0.2528434,-0.0456267
34,1.2192662,1.1426564,"('mean', 'honorable')",1.2192662,1.1426564,-0.0766098
35,-0.077808976,-0.08772435,"('corrupt', 'incorrupt')",-0.077809,-0.0877244,-0.0099154
36,-1.7212824,-1.6509608,"('hostile', 'amicable')",-1.7212824,-1.6509608,0.0703216
37,0.020271126,-0.010312677,"('fake', 'genuine')",0.0202711,-0.0103127,-0.0305838
38,-0.12382634,-0.05466841,"('untruthful', 'truthful')",-0.1238263,-0.0546684,0.0691579
39,1.5781115,1.5535489,"('exploitative', 'cooperative')",1.5781115,1.5535489,-0.0245626
40,-1.0881273,-1.1127384,"('stingy', 'generous')",-1.0881273,-1.1127384,-0.0246111
41,0.5389631,0.49432415,"('unforgiving', 'forgiving')",0.5389631,0.4943241,-0.044639
42,-0.7126471,-0.549416,"('unreliable', 'reliable')",-0.7126471,-0.549416,0.1632311
43,0.52256,0.43052864,"('irresponsible', 'responsible')",0.52256,0.4305286,-0.0920314
44,0.071694255,0.08081533,"('prejudiced', 'unprejudiced')",0.0716943,0.0808153,0.009121
45,-0.222398,-0.16722326,"('incompetent', 'competent')",-0.222398,-0.1672233,0.0551747
46,-0.32429647,-0.38580963,"('uncompetitive', 'competitive')",-0.3242965,-0.3858096,-0.0615131
47,1.7450533,1.5029234,"('stupid', 'smart')",1.7450533,1.5029234,-0.2421299
48,0.32386583,0.2994753,"('unintelligent', 'intelligent')",0.3238658,0.2994753,-0.0243905
49,-0.42628932,-0.39317626,"('unable', 'able')",-0.4262893,-0.3931763,0.033113
50,-0.93332756,-0.99159145,"('clumsy', 'skillful')",-0.9333276,-0.9915915,-0.0582639
51,-0.06515034,-0.15161613,"('uneducated', 'educated')",-0.0651503,-0.1516161,-0.0864658
52,-1.1500201,-1.2620349,"('irrational', 'rational')",-1.1500201,-1.2620349,-0.1120148
53,-1.2281339,-1.3611937,"('uncreative', 'creative')",-1.2281339,-1.3611937,-0.1330598
54,-0.7937294,-0.82141054,"('incapable', 'capable')",-0.7937294,-0.8214105,-0.0276811
55,0.6234119,0.5996253,"('incompetent', 'clever')",0.6234119,0.5996253,-0.0237866
56,1.1478786,1.1165597,"('impractical', 'practical')",1.1478786,1.1165597,-0.0313189
57,-0.9634266,-0.8610975,"('unimaginative', 'imaginative')",-0.9634266,-0.8610975,0.1023291
58,-0.14843777,-0.1060185,"('undiscriminating', 'discriminating')",-0.1484378,-0.1060185,0.0424193
