,automatic_male,automatic_female,tuple,data_male,data_female,processing_male,processing_female,inc_male,inc_female,average_male,average_female,female-male
0,0.60294724,0.47731048,"('unsociable', 'sociable')",-0.57626665,-0.618147,0.4927603,0.40960526,-0.15835944,-0.19289428,0.0902704,0.0189686,-0.0713018
1,-0.9723774,-1.1238483,"('unfriendly', 'friendly')",0.27029815,0.09023888,-0.84440947,-1.0667214,2.0503516,1.7380129,0.1259657,-0.0905795,-0.2165452
2,-0.12229104,-0.16249028,"('unlikable', 'likable')",0.19089207,0.18312867,0.7266765,0.68117934,0.28757745,0.29670155,0.2707137,0.2496298,-0.0210839
3,-0.5597712,-0.4258305,"('repellent', 'pleasant')",-0.89878565,-0.8052416,-0.54866856,-0.3907812,0.06388843,0.16636412,-0.4858343,-0.3638723,0.121962
4,-1.2207694,-1.2185451,"('disliked', 'liked')",-0.09288871,-0.10352772,-0.6137796,-0.60022503,-5.4627895,-5.630976,-1.8475568,-1.8883185,-0.0407617
5,-0.9255592,-0.9394165,"('distant', 'outgoing')",0.97768885,0.9672891,-0.8941706,-0.8953288,0.15957066,-0.06411624,-0.1706176,-0.2328931,-0.0622755
6,-1.1927623,-1.2175341,"('distant', 'open')",0.351788,0.26560983,-1.9268738,-1.9958636,0.5383297,0.30442894,-0.5573796,-0.6608397,-0.1034601
7,0.6110389,0.62331116,"('insensitive', 'sensitive')",-0.31922778,-0.27526835,-0.67026395,-0.5761591,0.46410424,0.59047675,0.0214129,0.0905901,0.0691772
8,-0.65367115,-0.7909681,"('unaffectionate', 'affectionate')",-0.38469732,-0.5244876,-0.76993716,-0.97879523,0.6811823,0.4269114,-0.2817808,-0.4668349,-0.1850541
9,-0.40580425,-0.44503218,"('unaffectionate', 'caring')",-0.35267422,-0.4692631,-0.13611163,-0.27791443,1.0602738,0.94665205,0.0414209,-0.0613894,-0.1028103
10,0.23890615,0.10704468,"('unsympathetic', 'sympathetic')",-1.6096015,-1.6719903,-0.53285104,-0.5660847,-0.3158562,-0.2532326,-0.5548506,-0.5960658,-0.0412152
