,lyondellbasell_male,lyondellbasell_female,tuple,industries_male,industries_female,n_male,n_female,v_male,v_female,average_male,average_female,female-male
0,-0.7287723,-0.7869552,"('unsociable', 'sociable')",0.85638374,0.593674,0.4953406,0.35892704,0.46362886,0.42244184,0.2716452,0.1470219,-0.1246233
1,-1.2433146,-1.2894129,"('unfriendly', 'friendly')",-0.25471172,-0.3732219,-0.9313628,-0.9580491,-0.10525485,-0.18849358,-0.633661,-0.7022943,-0.0686333
2,0.74439245,0.79968786,"('unlikable', 'likable')",0.5561788,0.6919627,0.9355955,1.0212296,0.17512447,0.24010105,0.6028228,0.6882454,0.0854226
3,-0.42362535,-0.31531316,"('repellent', 'pleasant')",-0.11536673,-0.018750142,1.2983497,1.1747608,0.8645591,0.966456,0.4059792,0.4517884,0.0458092
4,-0.27548504,-0.34347534,"('disliked', 'liked')",-0.20832643,-0.2493528,1.2265158,1.216994,-5.082771,-5.137201,-1.0850166,-1.1282587,-0.0432421
5,-0.2432787,-0.2586013,"('distant', 'outgoing')",-0.7135867,-0.57067,-0.3433083,-0.2522608,-1.377516,-1.3320559,-0.6694224,-0.603397,0.0660254
6,-0.59469146,-0.5836186,"('distant', 'open')",-1.225356,-1.1062592,-0.20648576,-0.07185039,-0.73176354,-0.66944367,-0.6895742,-0.607793,0.0817812
7,0.37298068,0.4495043,"('insensitive', 'sensitive')",0.9373735,0.97372526,-0.5227347,-0.4698353,0.5043745,0.51543957,0.3229985,0.3672085,0.04421
8,-0.9294729,-0.9730595,"('unaffectionate', 'affectionate')",-0.3187272,-0.38453686,-0.9477263,-0.92321086,-0.86712843,-0.972284,-0.7657637,-0.8132728,-0.0475091
9,-0.964963,-1.0234503,"('unaffectionate', 'caring')",0.36978823,0.29296955,-0.15259573,-0.20969339,0.62590027,0.5482301,-0.0304676,-0.097986,-0.0675184
10,-0.4252061,-0.4013953,"('unsympathetic', 'sympathetic')",0.34200448,0.22769728,-0.09861254,-0.16962115,0.70089144,0.66134095,0.1297693,0.0795054,-0.0502639
11,0.003086865,-0.013567138,"('unhelpful', 'helpful')",1.3544345,1.2595949,0.26543787,0.21804419,2.2514505,2.1938112,0.9686024,0.9144708,-0.0541316
12,0.14004573,0.18328556,"('unsupportive', 'supportive')",0.62680405,0.60840917,0.68269986,0.6449945,-1.1245984,-1.1479985,0.0812378,0.0721727,-0.0090651
13,-0.0046166796,-0.02203534,"('impolite', 'polite')",1.238668,1.1681206,-0.38530073,-0.44638523,0.4881075,0.44405788,0.3342145,0.2859395,-0.048275
14,0.47399566,0.5480099,"('antisocial', 'social')",2.0331323,2.0208683,1.4125845,1.3881075,0.259283,0.30689073,1.0447489,1.0659691,0.0212202
15,0.40619096,0.375592,"('boring', 'funny')",-0.059804045,-0.05658155,0.7525787,0.7837342,0.13437077,0.053285256,0.3083341,0.2890075,-0.0193266
16,-0.21705703,-0.1928209,"('unpopular', 'popular')",-0.691799,-0.65563726,-0.15561152,-0.16845909,1.0518383,1.1550692,-0.0031573,0.034538,0.0376953
17,-0.0785021,-0.045327667,"('nasty', 'nice')",-0.33237734,-0.21388648,-0.0035987385,-0.042158313,0.19393407,0.21735904,-0.055136,-0.0210034,0.0341326
18,-0.6772691,-0.63533896,"('disagreeable', 'welcoming')",-0.79070044,-0.7932568,-0.9675947,-0.91506046,-1.4243054,-1.4305214,-0.9649674,-0.9435444,0.021423
19,-0.5965359,-0.64426666,"('inhospitable', 'hospitable')",-1.1441767,-1.1210215,-0.40350285,-0.38205838,0.0137947425,0.036406882,-0.5326052,-0.5277349,0.0048703
20,-0.12865148,-0.08137686,"('rough', 'thoughtful')",0.19987097,0.20314418,0.28131747,0.23442543,0.07216512,0.08100784,0.1061755,0.1093001,0.0031246
21,-0.35799068,-0.3520878,"('immoral', 'moral')",0.3967354,0.35849684,0.6027711,0.61555994,0.85703033,0.95643973,0.3746365,0.3946022,0.0199657
22,0.5676956,0.59605896,"('untrustworthy', 'trustworthy')",0.2418914,0.19671561,0.4946089,0.4990963,-0.43837753,-0.3658092,0.2164546,0.2315154,0.0150608
23,0.21385252,0.2080831,"('insincere', 'sincere')",0.18980998,0.139731,-0.25731218,-0.37910363,5.1714406,5.1164517,1.3294477,1.2712905,-0.0581572
24,0.20968689,0.1830103,"('dishonest', 'honest')",0.11958791,0.121176824,-1.2210826,-1.1660155,0.11823556,0.090312205,-0.1933931,-0.1928791,0.000514
25,-0.66036457,-0.6178049,"('egoistic', 'altruistic')",-0.3415178,-0.34498274,-0.0064536147,-0.043039054,0.010268249,0.043641165,-0.2495169,-0.2405464,0.0089705
26,-0.29994977,-0.28598285,"('hardhearted', 'benevolent')",1.229819,1.1851505,0.2886874,0.32016668,0.018252864,-0.10093388,0.3092024,0.2796001,-0.0296023
27,-1.155803,-1.1320603,"('hardhearted', 'softhearted')",-0.58811915,-0.588511,-1.3754764,-1.4500395,0.5196988,0.36619675,-0.6499249,-0.7011036,-0.0511787
28,-0.13772655,-0.1770657,"('disloyal', 'loyal')",0.33375514,0.2071363,0.41301507,0.31844467,1.670205,1.5056872,0.5698122,0.4635506,-0.1062616
29,-0.04099007,-0.08860549,"('unfair', 'fair')",-1.1870265,-1.2149129,0.6430974,0.6699065,0.38107783,0.46756175,-0.0509603,-0.0415125,0.0094478
30,0.12167046,0.10436856,"('intolerant', 'tolerant')",2.0745416,1.9521201,-1.4477892,-1.3990502,-0.31519902,-0.34557274,0.108306,0.0779664,-0.0303396
31,-0.554366,-0.51806116,"('evil', 'good')",-1.3341757,-1.2412807,-0.9106278,-0.8079354,-1.213225,-1.2610579,-1.0030986,-0.9570838,0.0460148
32,-0.09029479,-0.13589424,"('unkind', 'kind')",0.43309078,0.33308712,0.10150607,0.0001297798,1.0881971,1.0188278,0.3831248,0.3040376,-0.0790872
33,0.46620914,0.41756266,"('wrong', 'right')",0.6091586,0.5701999,0.74684733,0.7544813,-0.3685522,-0.32139897,0.3634157,0.3552112,-0.0082045
34,-0.009553038,0.043923706,"('mean', 'honorable')",0.37844467,0.44292703,-0.22330178,-0.1965643,3.6986148,3.880572,0.9610512,1.0427146,0.0816634
35,0.44363227,0.3630089,"('corrupt', 'incorrupt')",-1.4864337,-1.4368635,-0.7930919,-0.85790634,-0.95039684,-0.99818027,-0.6965725,-0.7324853,-0.0359128
36,-0.71464163,-0.7350127,"('hostile', 'amicable')",-0.9297278,-0.9717446,-0.7204627,-0.7477698,-0.62385595,-0.6494088,-0.747172,-0.775984,-0.028812
37,0.5445475,0.5493915,"('fake', 'genuine')",0.5067766,0.5121301,-0.052259095,-0.09885225,-0.16582811,-0.20749187,0.2083092,0.1887943,-0.0195149
38,0.29267296,0.22437207,"('untruthful', 'truthful')",0.4139576,0.3088982,0.09618914,0.032819256,0.53804547,0.5331102,0.3352163,0.2747999,-0.0604164
39,0.61000323,0.63661593,"('exploitative', 'cooperative')",0.2645041,0.35090163,0.014000358,0.08313465,-0.23064153,-0.17342386,0.1644665,0.2243071,0.0598406
40,0.08385886,0.11640574,"('stingy', 'generous')",0.23943944,0.2719903,0.34760925,0.398721,-1.4952416,-1.5336043,-0.2060835,-0.1866218,0.0194617
41,0.07401177,0.06662947,"('unforgiving', 'forgiving')",-0.43869147,-0.52305555,-0.35885733,-0.37124753,0.23720898,0.17490484,-0.121582,-0.1631922,-0.0416102
42,0.2528685,0.35128927,"('unreliable', 'reliable')",-0.45258778,-0.30480853,0.5130523,0.658903,-2.7721367,-2.6277194,-0.6147009,-0.4805839,0.134117
43,-0.25246146,-0.20756708,"('irresponsible', 'responsible')",0.6336104,0.6546758,-0.08559483,-0.032693304,0.8270817,0.87337977,0.280659,0.3219488,0.0412898
44,0.26323915,0.2773982,"('prejudiced', 'unprejudiced')",-0.6256807,-0.45989317,0.2962504,0.43932685,-1.6571118,-1.560341,-0.4308257,-0.3258773,0.1049484
45,0.65677,0.70961016,"('incompetent', 'competent')",0.75030494,0.73147815,1.0056072,1.0011411,1.346996,1.3380982,0.9399195,0.9450818,0.0051623
46,0.024739578,0.025519053,"('uncompetitive', 'competitive')",1.8295069,1.6912878,0.10004974,0.014468327,0.47815952,0.46468717,0.6081139,0.5489905,-0.0591234
47,0.20995522,0.35992038,"('stupid', 'smart')",0.80607134,0.8799071,0.27108896,0.36911672,4.1133294,4.1499276,1.3501112,1.439718,0.0896068
48,-0.4482423,-0.45180345,"('unintelligent', 'intelligent')",0.5229588,0.34719133,-1.0385201,-1.0707134,0.20110738,0.12953246,-0.1906741,-0.2614483,-0.0707742
