,stock_male,stock_female,tuple,average_male,average_female,female-male
0,0.16288048,-0.11483048,"('unsociable', 'sociable')",0.1628805,-0.1148305,-0.277711
1,1.3087382,1.4219731,"('unfriendly', 'friendly')",1.3087382,1.4219731,0.1132349
2,0.7326872,0.8561593,"('unlikable', 'likable')",0.7326872,0.8561593,0.1234721
3,0.60753137,0.7047371,"('repellent', 'pleasant')",0.6075314,0.7047371,0.0972057
4,-7.478993,-7.314478,"('disliked', 'liked')",-7.4789929,-7.3144779,0.164515
5,-0.88299096,-0.5567066,"('distant', 'outgoing')",-0.882991,-0.5567066,0.3262844
6,-0.2749002,0.016613975,"('distant', 'open')",-0.2749002,0.016614,0.2915142
7,0.54431653,0.5179152,"('insensitive', 'sensitive')",0.5443165,0.5179152,-0.0264013
8,0.9700643,1.118017,"('unaffectionate', 'affectionate')",0.9700643,1.118017,0.1479527
9,1.6069632,1.7822297,"('unaffectionate', 'caring')",1.6069632,1.7822297,0.1752665
10,1.0037783,0.9565211,"('unsympathetic', 'sympathetic')",1.0037783,0.9565211,-0.0472572
11,1.7133796,1.7219527,"('unhelpful', 'helpful')",1.7133796,1.7219527,0.0085731
12,-1.9668634,-1.9352115,"('unsupportive', 'supportive')",-1.9668634,-1.9352115,0.0316519
13,0.39764124,0.23774284,"('impolite', 'polite')",0.3976412,0.2377428,-0.1598984
14,0.1508373,-0.024750598,"('antisocial', 'social')",0.1508373,-0.0247506,-0.1755879
15,1.0084997,0.89714587,"('boring', 'funny')",1.0084997,0.8971459,-0.1113538
16,-0.3686033,-0.27344248,"('unpopular', 'popular')",-0.3686033,-0.2734425,0.0951608
17,-0.20402963,-0.22776406,"('nasty', 'nice')",-0.2040296,-0.2277641,-0.0237345
18,-0.9097509,-0.87921405,"('disagreeable', 'welcoming')",-0.9097509,-0.879214,0.0305369
19,-0.6787999,-0.43139085,"('inhospitable', 'hospitable')",-0.6787999,-0.4313909,0.247409
20,0.7953093,0.62774897,"('rough', 'thoughtful')",0.7953093,0.627749,-0.1675603
21,0.37234673,0.40453008,"('immoral', 'moral')",0.3723467,0.4045301,0.0321834
22,-0.42161888,-0.4801388,"('untrustworthy', 'trustworthy')",-0.4216189,-0.4801388,-0.0585199
23,6.529638,6.482104,"('insincere', 'sincere')",6.5296378,6.4821038,-0.047534
24,1.6327287,1.6198641,"('dishonest', 'honest')",1.6327287,1.6198641,-0.0128646
25,0.70681787,0.7349584,"('egoistic', 'altruistic')",0.7068179,0.7349584,0.0281405
26,0.9412745,0.77808934,"('hardhearted', 'benevolent')",0.9412745,0.7780893,-0.1631852
27,1.3451577,1.2314402,"('hardhearted', 'softhearted')",1.3451577,1.2314402,-0.1137175
28,1.4424063,1.3804532,"('disloyal', 'loyal')",1.4424063,1.3804532,-0.0619531
29,-0.85529304,-0.9751925,"('unfair', 'fair')",-0.855293,-0.9751925,-0.1198995
30,0.7733625,0.8104043,"('intolerant', 'tolerant')",0.7733625,0.8104043,0.0370418
31,-1.9666226,-1.828696,"('evil', 'good')",-1.9666226,-1.828696,0.1379266
32,1.402599,1.2902297,"('unkind', 'kind')",1.402599,1.2902297,-0.1123693
33,-0.26721537,-0.27964127,"('wrong', 'right')",-0.2672154,-0.2796413,-0.0124259
34,4.6326065,4.887381,"('mean', 'honorable')",4.6326065,4.8873811,0.2547746
35,-1.3310759,-1.3680292,"('corrupt', 'incorrupt')",-1.3310759,-1.3680292,-0.0369533
36,-0.9603886,-0.85932386,"('hostile', 'amicable')",-0.9603886,-0.8593239,0.1010647
37,0.80017394,0.8483845,"('fake', 'genuine')",0.8001739,0.8483845,0.0482106
38,-0.10573842,-0.032076,"('untruthful', 'truthful')",-0.1057384,-0.032076,0.0736624
39,0.2572263,0.20244764,"('exploitative', 'cooperative')",0.2572263,0.2024476,-0.0547787
40,-2.0210512,-2.1378837,"('stingy', 'generous')",-2.0210512,-2.1378837,-0.1168325
41,-0.008797985,-0.11805324,"('unforgiving', 'forgiving')",-0.008798,-0.1180532,-0.1092552
42,-2.376872,-2.3316073,"('unreliable', 'reliable')",-2.3768721,-2.3316073,0.0452648
43,0.66489863,0.69429743,"('irresponsible', 'responsible')",0.6648986,0.6942974,0.0293988
44,-1.3588606,-1.322525,"('prejudiced', 'unprejudiced')",-1.3588606,-1.322525,0.0363356
45,0.25990093,0.14628012,"('incompetent', 'competent')",0.2599009,0.1462801,-0.1136208
46,-0.40600485,-0.5100065,"('uncompetitive', 'competitive')",-0.4060048,-0.5100065,-0.1040017
47,5.567778,5.674219,"('stupid', 'smart')",5.5677781,5.6742191,0.106441
48,0.78881425,0.6300755,"('unintelligent', 'intelligent')",0.7888142,0.6300755,-0.1587387
49,0.20740052,0.36467922,"('unable', 'able')",0.2074005,0.3646792,0.1572787
50,-0.46329838,-0.43708718,"('clumsy', 'skillful')",-0.4632984,-0.4370872,0.0262112
51,0.56698775,0.48563161,"('uneducated', 'educated')",0.5669878,0.4856316,-0.0813562
52,-0.79589796,-0.7579698,"('irrational', 'rational')",-0.795898,-0.7579698,0.0379282
53,0.08788721,0.17764422,"('uncreative', 'creative')",0.0878872,0.1776442,0.089757
54,1.2745913,1.5328082,"('incapable', 'capable')",1.2745913,1.5328082,0.2582169
55,1.0880016,0.95479834,"('incompetent', 'clever')",1.0880016,0.9547983,-0.1332033
56,0.9396549,0.84045,"('impractical', 'practical')",0.9396549,0.84045,-0.0992049
57,-2.7444196,-2.735916,"('unimaginative', 'imaginative')",-2.7444196,-2.7359159,0.0085037
58,-0.18911187,-0.22379826,"('undiscriminating', 'discriminating')",-0.1891119,-0.2237983,-0.0346864
59,-0.49317208,-0.3293545,"('foolish', 'wise')",-0.4931721,-0.3293545,0.1638176
60,1.0554894,1.0355613,"('inefficient', 'efficient')",1.0554894,1.0355613,-0.0199281
61,-0.05543285,-0.22860456,"('illogical', 'logical')",-0.0554328,-0.2286046,-0.1731718
62,1.3636023,1.3656751,"('incompetent', 'brilliant')",1.3636023,1.3656751,0.0020728
63,0.15701666,0.16782388,"('unperceptive', 'insightful')",0.1570167,0.1678239,0.0108072
64,-6.396825,-6.3435783,"('shy', 'confident')",-6.3968248,-6.3435783,0.0532465
65,0.6396144,0.4878638,"('insecure', 'secure')",0.6396144,0.4878638,-0.1517506
66,-0.21673106,-0.29170656,"('inactive', 'active')",-0.2167311,-0.2917066,-0.0749755
67,-0.16846037,-0.1997985,"('doubtful', 'determined')",-0.1684604,-0.1997985,-0.0313381
68,-0.8194457,-0.8490206,"('dependent', 'independent')",-0.8194457,-0.8490206,-0.0295749
69,-2.1042309,-1.97757,"('lazy', 'industrious')",-2.1042309,-1.9775701,0.1266608
70,0.9972662,0.9869492,"('lethargic', 'energetic')",0.9972662,0.9869492,-0.010317
71,-0.08675623,0.060700286,"('diffident', 'self-confident')",-0.0867562,0.0607003,0.1474565
72,0.79126006,0.79176,"('unambitious', 'ambitious')",0.7912601,0.79176,0.0004999
73,-3.229882,-3.0772967,"('helpless', 'self-reliant')",-3.229882,-3.0772967,0.1525853
74,-0.06388034,-0.15444158,"('undedicated', 'dedicated')",-0.0638803,-0.1544416,-0.0905613
75,-1.1776251,-0.9152726,"('meek', 'impulsive')",-1.1776251,-0.9152726,0.2623525
76,0.3142325,0.23524664,"('anxious', 'daring')",0.3142325,0.2352466,-0.0789859
77,-1.178877,-1.0276545,"('unmotivated', 'motivated')",-1.178877,-1.0276545,0.1512225
78,-0.877027,-0.8713343,"('nonresilient', 'resilient')",-0.877027,-0.8713343,0.0056927
79,-0.8992519,-0.6602243,"('wavering', 'unwavering')",-0.8992519,-0.6602243,0.2390276
80,-0.21604775,-0.3837103,"('dominated', 'dominating')",-0.2160477,-0.3837103,-0.1676626
81,0.34768745,0.2981202,"('submissive', 'aggressive')",0.3476875,0.2981202,-0.0495673
82,6.5975466,6.8808694,"('poor', 'rich')",6.5975466,6.8808694,0.2833228
83,-0.22962362,-0.33681795,"('powerless', 'powerful')",-0.2296236,-0.336818,-0.1071944
84,-0.10892208,-0.06832234,"('inferior', 'superior')",-0.1089221,-0.0683223,0.0405998
85,-1.475159,-1.295975,"('insignificant', 'prestigious')",-1.475159,-1.295975,0.179184
86,0.5131735,0.52337545,"('uninfluential', 'influential')",0.5131735,0.5233755,0.010202
87,-0.17082997,-0.093962066,"('unsuccessful', 'successful')",-0.17083,-0.0939621,0.0768679
88,-0.10947001,0.0019977358,"('low', 'eminent')",-0.10947,0.0019977,0.1114677
