,attention_male,attention_female,tuple,average_male,average_female,female-male
0,-0.22326516,-0.20769466,"('unsociable', 'sociable')",-0.2232652,-0.2076947,0.0155705
1,1.2369465,1.2853109,"('unfriendly', 'friendly')",1.2369465,1.2853109,0.0483644
2,-0.10549992,-0.029066617,"('unlikable', 'likable')",-0.1054999,-0.0290666,0.0764333
3,0.5857296,0.5768348,"('repellent', 'pleasant')",0.5857296,0.5768348,-0.0088948
4,-7.552672,-7.6933193,"('disliked', 'liked')",-7.5526719,-7.6933193,-0.1406474
5,-0.30451578,-0.22595634,"('distant', 'outgoing')",-0.3045158,-0.2259563,0.0785595
6,0.07730226,0.06431336,"('distant', 'open')",0.0773023,0.0643134,-0.0129889
7,0.80782247,0.8941743,"('insensitive', 'sensitive')",0.8078225,0.8941743,0.0863518
8,1.2194407,1.2208314,"('unaffectionate', 'affectionate')",1.2194407,1.2208314,0.0013907
9,1.4896282,1.6392272,"('unaffectionate', 'caring')",1.4896282,1.6392272,0.149599
10,0.93581957,0.93782127,"('unsympathetic', 'sympathetic')",0.9358196,0.9378213,0.0020017
11,1.7786747,1.9239948,"('unhelpful', 'helpful')",1.7786747,1.9239948,0.1453201
12,-1.7721816,-1.7343946,"('unsupportive', 'supportive')",-1.7721816,-1.7343946,0.037787
13,-0.30561382,-0.30276167,"('impolite', 'polite')",-0.3056138,-0.3027617,0.0028521
14,0.13347065,0.014770198,"('antisocial', 'social')",0.1334707,0.0147702,-0.1187005
15,0.08629321,0.041492455,"('boring', 'funny')",0.0862932,0.0414925,-0.0448007
16,-0.61939466,-0.5694854,"('unpopular', 'popular')",-0.6193947,-0.5694854,0.0499093
17,-0.31607673,-0.2507904,"('nasty', 'nice')",-0.3160767,-0.2507904,0.0652863
18,-0.123763666,-0.21284205,"('disagreeable', 'welcoming')",-0.1237637,-0.212842,-0.0890783
19,-0.80359346,-0.7424775,"('inhospitable', 'hospitable')",-0.8035935,-0.7424775,0.061116
20,0.98638695,0.9046736,"('rough', 'thoughtful')",0.986387,0.9046736,-0.0817134
21,-0.5273807,-0.4565546,"('immoral', 'moral')",-0.5273807,-0.4565546,0.0708261
22,-0.28842434,-0.33124012,"('untrustworthy', 'trustworthy')",-0.2884243,-0.3312401,-0.0428158
23,6.53086,6.6879807,"('insincere', 'sincere')",6.5308599,6.6879807,0.1571208
24,1.7954319,1.7629917,"('dishonest', 'honest')",1.7954319,1.7629917,-0.0324402
25,0.6492607,0.5877601,"('egoistic', 'altruistic')",0.6492607,0.5877601,-0.0615006
26,0.7116307,0.60021067,"('hardhearted', 'benevolent')",0.7116307,0.6002107,-0.11142
27,1.6968578,1.5399212,"('hardhearted', 'softhearted')",1.6968578,1.5399212,-0.1569366
28,1.2704895,1.3297387,"('disloyal', 'loyal')",1.2704895,1.3297387,0.0592492
29,-0.38510367,-0.4846597,"('unfair', 'fair')",-0.3851037,-0.4846597,-0.099556
30,0.7350279,0.7451325,"('intolerant', 'tolerant')",0.7350279,0.7451325,0.0101046
31,-1.1319345,-1.1453886,"('evil', 'good')",-1.1319345,-1.1453886,-0.0134541
32,1.0268841,1.0153286,"('unkind', 'kind')",1.0268841,1.0153286,-0.0115555
33,-0.4671401,-0.43001926,"('wrong', 'right')",-0.4671401,-0.4300193,0.0371208
34,4.8625517,5.0696917,"('mean', 'honorable')",4.8625517,5.0696917,0.20714
35,-0.6261966,-0.80491847,"('corrupt', 'incorrupt')",-0.6261966,-0.8049185,-0.1787219
36,-0.7812157,-0.8370883,"('hostile', 'amicable')",-0.7812157,-0.8370883,-0.0558726
37,0.8436309,0.84843755,"('fake', 'genuine')",0.8436309,0.8484375,0.0048066
38,-0.28297818,-0.11513284,"('untruthful', 'truthful')",-0.2829782,-0.1151328,0.1678454
39,0.34579334,0.27675816,"('exploitative', 'cooperative')",0.3457933,0.2767582,-0.0690351
40,-1.4828811,-1.7021699,"('stingy', 'generous')",-1.4828811,-1.7021699,-0.2192888
41,0.20826605,0.19437574,"('unforgiving', 'forgiving')",0.208266,0.1943757,-0.0138903
42,-2.3266566,-2.4281461,"('unreliable', 'reliable')",-2.3266566,-2.4281461,-0.1014895
43,1.0793457,1.1759074,"('irresponsible', 'responsible')",1.0793457,1.1759074,0.0965617
44,-0.95742726,-1.0682598,"('prejudiced', 'unprejudiced')",-0.9574273,-1.0682598,-0.1108325
45,-0.051814727,-0.06338576,"('incompetent', 'competent')",-0.0518147,-0.0633858,-0.0115711
46,-0.76315415,-0.8352708,"('uncompetitive', 'competitive')",-0.7631541,-0.8352708,-0.0721167
47,5.082508,5.258894,"('stupid', 'smart')",5.0825081,5.258894,0.1763859
48,0.47277343,0.5357081,"('unintelligent', 'intelligent')",0.4727734,0.5357081,0.0629347
49,0.13604704,0.23892601,"('unable', 'able')",0.136047,0.238926,0.102879
50,-0.39714208,-0.37282452,"('clumsy', 'skillful')",-0.3971421,-0.3728245,0.0243176
51,0.62275845,0.560116,"('uneducated', 'educated')",0.6227584,0.560116,-0.0626424
52,-0.5570403,-0.6482575,"('irrational', 'rational')",-0.5570403,-0.6482575,-0.0912172
53,-0.061480526,-0.05253619,"('uncreative', 'creative')",-0.0614805,-0.0525362,0.0089443
