,body_male,body_female,tuple,average_male,average_female,female-male
0,0.25722364,-0.01974204,"('unsociable', 'sociable')",0.2572236,-0.019742,-0.2769656
1,1.6467714,1.5520111,"('unfriendly', 'friendly')",1.6467714,1.5520111,-0.0947603
2,0.5938465,0.7983433,"('unlikable', 'likable')",0.5938465,0.7983433,0.2044968
3,0.63928974,0.86800444,"('repellent', 'pleasant')",0.6392897,0.8680044,0.2287147
4,-7.027038,-7.100485,"('disliked', 'liked')",-7.0270381,-7.1004848,-0.0734467
5,-0.2790882,-0.17060232,"('distant', 'outgoing')",-0.2790882,-0.1706023,0.1084859
6,-0.18467952,-0.10742992,"('distant', 'open')",-0.1846795,-0.1074299,0.0772496
7,0.99255097,0.99450886,"('insensitive', 'sensitive')",0.992551,0.9945089,0.0019579
8,1.261245,1.1834865,"('unaffectionate', 'affectionate')",1.261245,1.1834865,-0.0777585
9,1.8090935,1.9033366,"('unaffectionate', 'caring')",1.8090935,1.9033366,0.0942431
10,0.7425222,0.8739406,"('unsympathetic', 'sympathetic')",0.7425222,0.8739406,0.1314184
11,2.6587906,2.6932676,"('unhelpful', 'helpful')",2.6587906,2.6932676,0.034477
12,-1.4794694,-1.4799787,"('unsupportive', 'supportive')",-1.4794694,-1.4799787,-0.0005093
13,0.18575583,0.07742374,"('impolite', 'polite')",0.1857558,0.0774237,-0.1083321
14,0.11114173,0.023051953,"('antisocial', 'social')",0.1111417,0.023052,-0.0880897
15,0.48755994,0.2571966,"('boring', 'funny')",0.4875599,0.2571966,-0.2303633
16,0.026200235,0.08681303,"('unpopular', 'popular')",0.0262002,0.086813,0.0606128
17,0.22699736,0.32247528,"('nasty', 'nice')",0.2269974,0.3224753,0.0954779
18,-0.3386079,-0.4357859,"('disagreeable', 'welcoming')",-0.3386079,-0.4357859,-0.097178
19,-0.13916665,-0.12154925,"('inhospitable', 'hospitable')",-0.1391667,-0.1215492,0.0176175
20,0.6671932,0.5613879,"('rough', 'thoughtful')",0.6671932,0.5613879,-0.1058053
21,-0.0445413,0.18916784,"('immoral', 'moral')",-0.0445413,0.1891678,0.2337091
22,-0.67193985,-0.61113733,"('untrustworthy', 'trustworthy')",-0.6719398,-0.6111373,0.0608025
23,6.9722366,7.013354,"('insincere', 'sincere')",6.9722366,7.0133538,0.0411172
24,1.7601235,1.8568307,"('dishonest', 'honest')",1.7601235,1.8568307,0.0967072
25,0.44773802,0.33038026,"('egoistic', 'altruistic')",0.447738,0.3303803,-0.1173577
26,0.84401625,0.53985524,"('hardhearted', 'benevolent')",0.8440163,0.5398552,-0.3041611
27,1.680894,1.5399914,"('hardhearted', 'softhearted')",1.680894,1.5399914,-0.1409026
28,1.5260745,1.4530853,"('disloyal', 'loyal')",1.5260745,1.4530853,-0.0729892
29,-0.36304882,-0.5172777,"('unfair', 'fair')",-0.3630488,-0.5172777,-0.1542289
30,1.1214663,1.0549227,"('intolerant', 'tolerant')",1.1214663,1.0549227,-0.0665436
31,-1.3508973,-1.3767369,"('evil', 'good')",-1.3508973,-1.3767369,-0.0258396
32,1.5966047,1.4828045,"('unkind', 'kind')",1.5966047,1.4828045,-0.1138002
33,-0.36876798,-0.3970087,"('wrong', 'right')",-0.368768,-0.3970087,-0.0282407
34,5.3320575,5.552459,"('mean', 'honorable')",5.3320575,5.5524588,0.2204013
35,-1.1199328,-1.3640716,"('corrupt', 'incorrupt')",-1.1199328,-1.3640716,-0.2441388
36,-0.54730713,-0.7694111,"('hostile', 'amicable')",-0.5473071,-0.7694111,-0.222104
37,1.0278351,1.0784191,"('fake', 'genuine')",1.0278351,1.0784191,0.050584
38,0.4930303,0.54759675,"('untruthful', 'truthful')",0.4930303,0.5475968,0.0545665
39,0.22873716,0.306823,"('exploitative', 'cooperative')",0.2287372,0.306823,0.0780858
40,-1.7397509,-1.9007766,"('stingy', 'generous')",-1.7397509,-1.9007766,-0.1610257
41,0.16693956,0.029800193,"('unforgiving', 'forgiving')",0.1669396,0.0298002,-0.1371394
42,-2.3638687,-2.3513432,"('unreliable', 'reliable')",-2.3638687,-2.3513432,0.0125255
43,1.3990859,1.4385219,"('irresponsible', 'responsible')",1.3990859,1.4385219,0.039436
44,-1.2432518,-1.2144765,"('prejudiced', 'unprejudiced')",-1.2432518,-1.2144765,0.0287753
45,0.48244318,0.52516365,"('incompetent', 'competent')",0.4824432,0.5251637,0.0427205
46,-0.7834677,-0.7228766,"('uncompetitive', 'competitive')",-0.7834677,-0.7228766,0.0605911
47,5.1106896,5.482765,"('stupid', 'smart')",5.1106896,5.4827652,0.3720756
48,0.71832263,0.6752224,"('unintelligent', 'intelligent')",0.7183226,0.6752224,-0.0431002
49,0.37008077,0.5104982,"('unable', 'able')",0.3700808,0.5104982,0.1404174
50,0.20513655,0.19489983,"('clumsy', 'skillful')",0.2051366,0.1948998,-0.0102368
51,0.72611946,0.69584394,"('uneducated', 'educated')",0.7261195,0.6958439,-0.0302756
52,0.03409084,-0.10896099,"('irrational', 'rational')",0.0340908,-0.108961,-0.1430518
53,0.07812677,0.05856494,"('uncreative', 'creative')",0.0781268,0.0585649,-0.0195619
54,1.2301266,1.4066561,"('incapable', 'capable')",1.2301266,1.4066561,0.1765295
55,0.5599673,0.66860986,"('incompetent', 'clever')",0.5599673,0.6686099,0.1086426
56,0.88711524,0.88009095,"('impractical', 'practical')",0.8871152,0.880091,-0.0070242
57,-2.9037187,-2.9367108,"('unimaginative', 'imaginative')",-2.9037187,-2.9367108,-0.0329921
58,0.59026307,0.3682434,"('undiscriminating', 'discriminating')",0.5902631,0.3682434,-0.2220197
59,0.22495236,0.2959339,"('foolish', 'wise')",0.2249524,0.2959339,0.0709815
60,0.79272264,1.013375,"('inefficient', 'efficient')",0.7927226,1.013375,0.2206524
61,0.64186674,0.33915928,"('illogical', 'logical')",0.6418667,0.3391593,-0.3027074
62,1.2086004,1.4123943,"('incompetent', 'brilliant')",1.2086004,1.4123943,0.2037939
63,0.66045094,0.71296376,"('unperceptive', 'insightful')",0.6604509,0.7129638,0.0525129
64,-6.4413295,-6.2778645,"('shy', 'confident')",-6.4413295,-6.2778645,0.163465
65,0.20108443,0.28695562,"('insecure', 'secure')",0.2010844,0.2869556,0.0858712
66,0.0702357,-0.021628423,"('inactive', 'active')",0.0702357,-0.0216284,-0.0918641
67,-0.07188999,-0.12923397,"('doubtful', 'determined')",-0.07189,-0.129234,-0.057344
68,-0.35443193,-0.29418012,"('dependent', 'independent')",-0.3544319,-0.2941801,0.0602518
69,-1.812795,-1.7248281,"('lazy', 'industrious')",-1.812795,-1.7248281,0.0879669
70,1.186881,1.2451553,"('lethargic', 'energetic')",1.1868809,1.2451553,0.0582744
71,0.39596114,0.4249366,"('diffident', 'self-confident')",0.3959611,0.4249366,0.0289755
72,0.94965744,1.063729,"('unambitious', 'ambitious')",0.9496574,1.063729,0.1140716
73,-2.853661,-2.8102627,"('helpless', 'self-reliant')",-2.8536611,-2.8102627,0.0433984
74,0.32550943,0.12133537,"('undedicated', 'dedicated')",0.3255094,0.1213354,-0.204174
75,-0.8471865,-0.6817234,"('meek', 'impulsive')",-0.8471865,-0.6817234,0.1654631
76,0.17397922,0.11698807,"('anxious', 'daring')",0.1739792,0.1169881,-0.0569911
77,-1.3857269,-1.1121008,"('unmotivated', 'motivated')",-1.3857269,-1.1121008,0.2736261
78,-0.894032,-0.8888894,"('nonresilient', 'resilient')",-0.894032,-0.8888894,0.0051426
79,-0.07810602,-0.06458227,"('wavering', 'unwavering')",-0.078106,-0.0645823,0.0135237
80,-0.29504156,-0.3555532,"('dominated', 'dominating')",-0.2950416,-0.3555532,-0.0605116
81,0.0326268,0.19256762,"('submissive', 'aggressive')",0.0326268,0.1925676,0.1599408
82,7.129556,7.244222,"('poor', 'rich')",7.1295562,7.2442222,0.114666
83,-0.35090774,-0.39440867,"('powerless', 'powerful')",-0.3509077,-0.3944087,-0.043501
84,0.46985665,0.25525177,"('inferior', 'superior')",0.4698566,0.2552518,-0.2146048
85,-0.5003725,-0.78117573,"('insignificant', 'prestigious')",-0.5003725,-0.7811757,-0.2808032
86,0.5492741,0.5775243,"('uninfluential', 'influential')",0.5492741,0.5775243,0.0282502
87,0.41857153,0.4889767,"('unsuccessful', 'successful')",0.4185715,0.4889767,0.0704052
88,0.5449034,0.2858067,"('low', 'eminent')",0.5449034,0.2858067,-0.2590967
