,united_male,united_female,tuple,states_male,states_female,steel_male,steel_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.6057827,-0.61960834,"('unsociable', 'sociable')",-1.2404909,-1.3913941,-0.7789561,-0.82857513,-0.7026128,-0.75444484,-0.8319607,-0.8985056,-0.0665449
1,-0.8041889,-0.8879707,"('unfriendly', 'friendly')",-0.95564485,-1.1693256,1.2946389,1.1965452,0.5904643,0.32396793,0.0313173,-0.1341958,-0.1655131
2,0.5425308,0.5713578,"('unlikable', 'likable')",0.7203846,0.70353794,0.72762704,0.7835801,0.37672648,0.34302485,0.5918172,0.6003752,0.008558
3,-0.28611302,-0.1334044,"('repellent', 'pleasant')",-0.31007835,-0.20391428,-0.94035566,-0.80348855,0.6406959,0.72052413,-0.2239628,-0.1050708,0.118892
4,-0.38892928,-0.51789004,"('disliked', 'liked')",0.6186604,0.5235398,-0.078318216,-0.22220783,-5.800547,-5.7448716,-1.4122835,-1.4903574,-0.0780739
5,0.097052164,0.1288648,"('distant', 'outgoing')",-0.3290196,-0.37427306,0.08075129,0.027706392,-1.0432935,-1.1572547,-0.2986274,-0.3437392,-0.0451118
6,0.4616509,0.46141958,"('distant', 'open')",-0.085181035,-0.11844865,0.1515842,0.12611422,-0.89013886,-1.077041,-0.0905212,-0.151989,-0.0614678
7,-0.045965098,-0.032659166,"('insensitive', 'sensitive')",-0.30023757,-0.33038148,0.09860526,0.15767896,-0.1662363,-0.16362523,-0.1034584,-0.0922467,0.0112117
8,-1.6143886,-1.6347172,"('unaffectionate', 'affectionate')",-0.90027696,-1.0039903,0.94850785,0.93871474,0.013446264,-0.1945514,-0.3881779,-0.4736361,-0.0854582
9,-0.5700263,-0.574941,"('unaffectionate', 'caring')",-0.6522026,-0.791237,1.0372223,1.0248711,0.35524192,0.18636122,0.0425588,-0.0387364,-0.0812952
10,-0.09063434,-0.049841903,"('unsympathetic', 'sympathetic')",-0.81974167,-0.886962,-1.1878474,-1.1658576,-0.89661145,-0.898885,-0.7487087,-0.7503866,-0.0016779
11,0.6142889,0.7049717,"('unhelpful', 'helpful')",-0.29977864,-0.3105151,-0.9460758,-0.92200303,1.1859326,1.2148378,0.1385918,0.1718228,0.033231
12,0.756156,0.86082345,"('unsupportive', 'supportive')",0.7560507,0.7822496,0.86372805,0.91212946,-1.9983922,-1.9517909,0.0943857,0.1508529,0.0564672
13,-0.4943212,-0.47836822,"('impolite', 'polite')",-1.0127523,-1.0450141,-0.81773496,-0.75854427,-1.1886826,-1.1710948,-0.8783728,-0.8632554,0.0151174
14,-0.1419563,-0.102277204,"('antisocial', 'social')",0.012742782,-0.024301771,0.4044011,0.46049422,0.13604817,0.10423462,0.1028089,0.1095375,0.0067286
15,-0.6082051,-0.7313783,"('boring', 'funny')",0.3540411,0.3145235,0.17198263,0.09711218,-0.26758617,-0.3865661,-0.0874419,-0.1765772,-0.0891353
16,-0.20935272,-0.2685909,"('unpopular', 'popular')",0.11870054,0.069003545,-0.25171876,-0.33746144,0.3250141,0.18907036,-0.0043392,-0.0869946,-0.0826554
17,-0.1613706,-0.04676432,"('nasty', 'nice')",0.0045267045,0.14510977,-0.7295275,-0.6620692,-0.6028205,-0.5216688,-0.372298,-0.2713481,0.1009499
18,-0.009789053,0.09871693,"('disagreeable', 'welcoming')",0.34473428,0.4409538,-1.356366,-1.3019083,-1.670881,-1.7744162,-0.6730754,-0.6341634,0.038912
19,-0.21740252,-0.1507951,"('inhospitable', 'hospitable')",0.3453846,0.44487426,-0.43682614,-0.4019042,-1.0919769,-1.0636715,-0.3502052,-0.2928741,0.0573311
20,-0.08439087,-0.07950902,"('rough', 'thoughtful')",0.3780742,0.39263168,-0.5499815,-0.46838573,0.20307852,0.21335456,-0.0133049,0.0145229,0.0278278
21,0.011136919,-0.004994005,"('immoral', 'moral')",-0.16193163,-0.22786751,0.40717083,0.35553354,-0.57520026,-0.5309147,-0.079706,-0.1020607,-0.0223547
22,-0.6087116,-0.67664635,"('untrustworthy', 'trustworthy')",-0.3061128,-0.32072473,-1.219799,-1.2138038,-1.2273183,-1.255738,-0.8404855,-0.8667282,-0.0262427
23,0.065432675,0.1522094,"('insincere', 'sincere')",-0.9635992,-0.9790722,-0.4575745,-0.40466905,4.2224674,3.983456,0.7166816,0.687981,-0.0287006
24,0.02208253,-0.034490697,"('dishonest', 'honest')",-0.25218242,-0.3697875,0.99824554,1.0306087,0.025723852,-0.021768171,0.1984674,0.1511406,-0.0473268
