,mohawk_male,mohawk_female,tuple,industries_male,industries_female,inc_male,inc_female,average_male,average_female,female-male
0,0.43070158,0.3079149,"('unsociable', 'sociable')",-0.22225216,-0.34364063,-0.5100192,-0.62743706,-0.1005233,-0.2210543,-0.120531
1,-0.3466016,-0.30316892,"('unfriendly', 'friendly')",-0.30815426,-0.362299,1.7922509,1.7223881,0.379165,0.3523068,-0.0268582
2,-0.09703374,-0.045162514,"('unlikable', 'likable')",0.02984728,0.07264224,0.49267918,0.6074,0.1418309,0.2116266,0.0697957
3,0.27090928,0.37965268,"('repellent', 'pleasant')",0.16364639,0.23170194,0.063189514,0.095792815,0.1659151,0.2357158,0.0698007
4,-1.2102667,-1.2216235,"('disliked', 'liked')",-0.23545842,-0.2801559,-6.312898,-6.355082,-2.5862077,-2.6189539,-0.0327462
5,0.005457185,0.05443196,"('distant', 'outgoing')",-0.3020261,-0.24870537,-0.35185027,-0.3131577,-0.2161397,-0.1691437,0.046996
6,-0.6523934,-0.5672239,"('distant', 'open')",-0.9717851,-0.92295974,0.28680736,0.29625848,-0.4457904,-0.397975,0.0478154
7,0.6086411,0.62898976,"('insensitive', 'sensitive')",-0.00069436664,0.063773245,0.67178696,0.68059516,0.4265779,0.457786,0.0312081
8,0.1144879,0.156481,"('unaffectionate', 'affectionate')",-0.53370476,-0.5237855,0.50679696,0.47785428,0.0291934,0.0368499,0.0076565
9,0.71353734,0.77157557,"('unaffectionate', 'caring')",-0.3758025,-0.36961132,0.85552925,0.8708519,0.3977547,0.4242721,0.0265174
10,1.3356247,1.3471503,"('unsympathetic', 'sympathetic')",-0.5053815,-0.5064285,-0.46481404,-0.5041336,0.1218097,0.1121961,-0.0096136
11,-0.22899587,-0.21166438,"('unhelpful', 'helpful')",0.2803089,0.31870857,1.7229184,1.7528462,0.5914105,0.6199635,0.028553
12,1.3537416,1.4654874,"('unsupportive', 'supportive')",0.06575202,0.1769555,-1.7215691,-1.6728954,-0.1006918,-0.0101509,0.0905409
13,0.6465195,0.5394806,"('impolite', 'polite')",0.2929411,0.28662032,-0.43082285,-0.5157371,0.1695459,0.1034546,-0.0660913
14,0.92477334,0.7823974,"('antisocial', 'social')",1.2978643,1.2313482,-0.717045,-0.778082,0.5018642,0.4118878,-0.0899764
15,0.4169617,0.40383166,"('boring', 'funny')",-0.32404473,-0.4035507,0.53541267,0.50234514,0.2094432,0.167542,-0.0419012
16,-2.08655,-2.0760417,"('unpopular', 'popular')",-0.92303926,-0.8851152,0.23659767,0.23181184,-0.9243305,-0.9097817,0.0145488
17,-1.3402566,-1.3082,"('nasty', 'nice')",-0.68967575,-0.64327383,-0.57788736,-0.5254413,-0.8692732,-0.8256384,0.0436348
18,0.0021810196,0.03197647,"('disagreeable', 'welcoming')",-0.5286446,-0.49921694,-0.38859862,-0.4138838,-0.3050207,-0.2937081,0.0113126
19,-1.0690324,-0.9446499,"('inhospitable', 'hospitable')",-0.94701743,-0.87866557,-0.0636957,0.013399702,-0.6932485,-0.6033052,0.0899433
20,0.05183334,0.06855701,"('rough', 'thoughtful')",0.23681527,0.2937025,0.96185267,0.9262592,0.4168338,0.4295062,0.0126724
21,0.32005382,0.27488935,"('immoral', 'moral')",0.54529583,0.5105555,-0.66318196,-0.64730155,0.0673892,0.0460478,-0.0213414
22,1.0560143,1.0733317,"('untrustworthy', 'trustworthy')",-0.82565314,-0.7949869,-1.0108234,-1.0578398,-0.2601541,-0.2598316,0.0003225
23,1.1476284,1.1677203,"('insincere', 'sincere')",-0.40659106,-0.404827,5.5319405,5.441163,2.0909926,2.0680188,-0.0229738
24,1.3166217,1.2873684,"('dishonest', 'honest')",-0.17343086,-0.18534696,0.78212464,0.7198372,0.6417718,0.6072862,-0.0344856
25,-0.3843052,-0.40426353,"('egoistic', 'altruistic')",0.46078596,0.47845516,1.4581375,1.4508839,0.5115394,0.5083585,-0.0031809
26,0.87383443,0.75829196,"('hardhearted', 'benevolent')",1.3878889,1.3613372,1.5652622,1.5046506,1.2756618,1.2080932,-0.0675686
27,0.18082248,0.16004336,"('hardhearted', 'softhearted')",-0.062818594,-0.082128115,1.5388166,1.4486024,0.5522735,0.5088392,-0.0434343
28,0.75554377,0.66507536,"('disloyal', 'loyal')",0.20032585,0.12505499,0.9916709,0.8737046,0.6491802,0.5546117,-0.0945685
29,-0.38717988,-0.41501158,"('unfair', 'fair')",-1.2718326,-1.2532214,-0.30651316,-0.40875828,-0.6551752,-0.6923304,-0.0371552
30,1.8575014,1.8696618,"('intolerant', 'tolerant')",1.5415559,1.5020754,1.0840361,1.0140254,1.4943644,1.4619209,-0.0324435
31,-1.4224354,-1.2486954,"('evil', 'good')",-1.4075081,-1.2891246,-1.077531,-1.0911086,-1.3024915,-1.2096428,0.0928487
32,0.25366452,0.1327178,"('unkind', 'kind')",0.059584998,-0.029309094,0.8676637,0.8047582,0.3936377,0.3027223,-0.0909154
33,0.39444867,0.3416895,"('wrong', 'right')",0.54380786,0.5247314,-0.37608832,-0.3907765,0.1873894,0.1585481,-0.0288413
34,0.0032264292,0.14389245,"('mean', 'honorable')",0.1578885,0.25758332,6.143107,6.1611714,2.1014074,2.1875491,0.0861417
