,underpass_male,underpass_female,tuple,average_male,average_female,female-male
0,0.4419253,0.27594346,"('unsociable', 'sociable')",0.4419253,0.2759435,-0.1659818
1,-1.2223034,-1.353419,"('unfriendly', 'friendly')",-1.2223034,-1.3534189,-0.1311155
2,-0.029428942,-0.023427907,"('unlikable', 'likable')",-0.0294289,-0.0234279,0.006001
3,-0.31981432,-0.22450641,"('repellent', 'pleasant')",-0.3198143,-0.2245064,0.0953079
4,-2.7516813,-2.6753588,"('disliked', 'liked')",-2.7516813,-2.6753588,0.0763225
5,-1.2214531,-1.2306284,"('distant', 'outgoing')",-1.2214531,-1.2306284,-0.0091753
6,-1.1662618,-1.168781,"('distant', 'open')",-1.1662618,-1.168781,-0.0025192
7,0.5667957,0.58177525,"('insensitive', 'sensitive')",0.5667957,0.5817752,0.0149795
8,-1.6707321,-1.7260232,"('unaffectionate', 'affectionate')",-1.6707321,-1.7260232,-0.0552911
9,-0.79128575,-0.8717547,"('unaffectionate', 'caring')",-0.7912858,-0.8717547,-0.0804689
10,0.001831905,0.06972869,"('unsympathetic', 'sympathetic')",0.0018319,0.0697287,0.0678968
11,1.3877444,1.4061655,"('unhelpful', 'helpful')",1.3877444,1.4061655,0.0184211
12,-1.08799,-0.98520225,"('unsupportive', 'supportive')",-1.08799,-0.9852023,0.1027877
13,0.56944,0.59655803,"('impolite', 'polite')",0.56944,0.596558,0.027118
14,0.41036952,0.3139527,"('antisocial', 'social')",0.4103695,0.3139527,-0.0964168
15,0.78443307,0.58224636,"('boring', 'funny')",0.7844331,0.5822464,-0.2021867
16,-0.07696074,-0.16153476,"('unpopular', 'popular')",-0.0769607,-0.1615348,-0.0845741
17,-0.33871394,-0.2994659,"('nasty', 'nice')",-0.3387139,-0.2994659,0.039248
18,-0.99117106,-1.03381,"('disagreeable', 'welcoming')",-0.9911711,-1.03381,-0.0426389
19,-2.2948656,-2.239795,"('inhospitable', 'hospitable')",-2.2948656,-2.239795,0.0550706
20,-0.11845247,-0.1245868,"('rough', 'thoughtful')",-0.1184525,-0.1245868,-0.0061343
21,0.36420512,0.42480376,"('immoral', 'moral')",0.3642051,0.4248038,0.0605987
22,-0.259297,-0.2649887,"('untrustworthy', 'trustworthy')",-0.259297,-0.2649887,-0.0056917
23,2.378526,2.2911994,"('insincere', 'sincere')",2.378526,2.2911994,-0.0873266
24,0.18255293,0.10637606,"('dishonest', 'honest')",0.1825529,0.1063761,-0.0761768
25,-0.30519485,-0.4902269,"('egoistic', 'altruistic')",-0.3051949,-0.4902269,-0.185032
26,0.093837656,-0.02899966,"('hardhearted', 'benevolent')",0.0938377,-0.0289997,-0.1228374
27,0.38515887,0.31417897,"('hardhearted', 'softhearted')",0.3851589,0.314179,-0.0709799
28,0.049368806,-0.030277334,"('disloyal', 'loyal')",0.0493688,-0.0302773,-0.0796461
29,-0.9004767,-1.0227202,"('unfair', 'fair')",-0.9004767,-1.0227202,-0.1222435
30,1.2236593,1.1541771,"('intolerant', 'tolerant')",1.2236593,1.1541771,-0.0694822
31,-2.7339902,-2.7417588,"('evil', 'good')",-2.7339902,-2.7417588,-0.0077686
32,0.020205013,-0.11591581,"('unkind', 'kind')",0.020205,-0.1159158,-0.1361208
33,-0.5691767,-0.6013553,"('wrong', 'right')",-0.5691767,-0.6013553,-0.0321786
34,2.028103,2.1167626,"('mean', 'honorable')",2.0281031,2.1167626,0.0886595
35,-1.2206827,-1.4343824,"('corrupt', 'incorrupt')",-1.2206827,-1.4343824,-0.2136997
36,-1.5860567,-1.692393,"('hostile', 'amicable')",-1.5860567,-1.6923929,-0.1063362
37,-0.56072325,-0.5565205,"('fake', 'genuine')",-0.5607232,-0.5565205,0.0042027
38,0.014467617,0.0138963945,"('untruthful', 'truthful')",0.0144676,0.0138964,-0.0005712
