,fanny_male,fanny_female,tuple,average_male,average_female,female-male
0,0.120355606,-0.29991174,"('unsociable', 'sociable')",0.1203556,-0.2999117,-0.4202673
1,1.1398001,1.4681488,"('unfriendly', 'friendly')",1.1398001,1.4681488,0.3283487
2,0.3821964,0.53752697,"('unlikable', 'likable')",0.3821964,0.537527,0.1553306
3,0.9690151,0.71986073,"('repellent', 'pleasant')",0.9690151,0.7198607,-0.2491544
4,-7.390707,-7.769793,"('disliked', 'liked')",-7.390707,-7.769793,-0.379086
5,-0.2967885,0.121196836,"('distant', 'outgoing')",-0.2967885,0.1211968,0.4179853
6,-0.09733682,0.42856178,"('distant', 'open')",-0.0973368,0.4285618,0.5258986
7,0.5273441,0.3581703,"('insensitive', 'sensitive')",0.5273441,0.3581703,-0.1691738
8,0.7944402,1.2352864,"('unaffectionate', 'affectionate')",0.7944402,1.2352864,0.4408462
9,1.1972083,1.5664234,"('unaffectionate', 'caring')",1.1972083,1.5664234,0.3692151
10,1.1022375,0.76842296,"('unsympathetic', 'sympathetic')",1.1022375,0.768423,-0.3338145
11,1.9887192,1.8165368,"('unhelpful', 'helpful')",1.9887192,1.8165368,-0.1721824
12,-1.8186091,-2.0567827,"('unsupportive', 'supportive')",-1.8186091,-2.0567827,-0.2381736
13,0.51929694,0.02591582,"('impolite', 'polite')",0.5192969,0.0259158,-0.4933811
14,-0.21570826,-0.6878888,"('antisocial', 'social')",-0.2157083,-0.6878888,-0.4721805
15,0.572083,0.6524094,"('boring', 'funny')",0.572083,0.6524094,0.0803264
16,-0.16383913,-0.053883906,"('unpopular', 'popular')",-0.1638391,-0.0538839,0.1099552
17,-0.07365186,-0.0780091,"('nasty', 'nice')",-0.0736519,-0.0780091,-0.0043572
18,-0.45486963,-0.431684,"('disagreeable', 'welcoming')",-0.4548696,-0.431684,0.0231856
19,-0.73178756,-0.34148496,"('inhospitable', 'hospitable')",-0.7317876,-0.341485,0.3903026
20,0.95578814,0.8489194,"('rough', 'thoughtful')",0.9557881,0.8489194,-0.1068687
21,0.0142907165,-0.20506181,"('immoral', 'moral')",0.0142907,-0.2050618,-0.2193525
22,-0.33950153,-0.5950977,"('untrustworthy', 'trustworthy')",-0.3395015,-0.5950977,-0.2555962
23,6.4935784,6.7434325,"('insincere', 'sincere')",6.4935784,6.7434325,0.2498541
24,1.5956149,1.5953404,"('dishonest', 'honest')",1.5956149,1.5953404,-0.0002745
25,0.5676349,0.65970844,"('egoistic', 'altruistic')",0.5676349,0.6597084,0.0920735
26,0.49045467,0.5841859,"('hardhearted', 'benevolent')",0.4904547,0.5841859,0.0937312
27,1.3734915,1.4307263,"('hardhearted', 'softhearted')",1.3734915,1.4307263,0.0572348
28,0.9326721,0.9590364,"('disloyal', 'loyal')",0.9326721,0.9590364,0.0263643
29,-0.84119004,-0.8243057,"('unfair', 'fair')",-0.84119,-0.8243057,0.0168843
