,parker_male,parker_female,tuple,hannifin_male,hannifin_female,corp_male,corp_female,average_male,average_female,female-male
0,3.4263456,3.3828282,"('unsociable', 'sociable')",-0.49778116,-0.5926966,-0.031595644,-0.20449692,0.9656563,0.8618782,-0.1037781
1,-1.3840165,-1.3339791,"('unfriendly', 'friendly')",-2.0882518,-2.1045017,0.89562166,0.68563026,-0.8588823,-0.9176168,-0.0587345
2,0.6330357,0.6748274,"('unlikable', 'likable')",0.4660066,0.4739523,0.5900027,0.61670685,0.563015,0.5884955,0.0254805
3,1.7816283,1.7906256,"('repellent', 'pleasant')",-0.5029542,-0.38069692,0.96220326,0.97623885,0.7469591,0.7953892,0.0484301
4,-3.0643828,-3.0079305,"('disliked', 'liked')",-0.38125598,-0.36637467,-7.104957,-7.2289915,-3.5168654,-3.5344321,-0.0175667
5,-3.8137949,-3.7431617,"('distant', 'outgoing')",-1.0537269,-0.9797079,-0.7908997,-0.8314605,-1.8861405,-1.8514433,0.0346972
6,-3.8255823,-3.7523057,"('distant', 'open')",-1.3503478,-1.2297848,-0.7500592,-0.8415346,-1.9753297,-1.9412084,0.0341213
7,2.2290747,2.2614994,"('insensitive', 'sensitive')",-0.62912005,-0.54575086,0.42611897,0.43539354,0.6753578,0.7170474,0.0416896
8,-2.8425615,-2.8535593,"('unaffectionate', 'affectionate')",-1.564848,-1.5912621,0.5181908,0.4206185,-1.2964063,-1.3414009,-0.0449946
9,-0.7130818,-0.6694171,"('unaffectionate', 'caring')",-1.9484909,-1.9178038,0.9888555,0.93547,-0.5575724,-0.5505836,0.0069888
10,4.00525,3.958828,"('unsympathetic', 'sympathetic')",-1.1496273,-1.1105418,-0.11058105,-0.15602304,0.9150139,0.897421,-0.0175929
11,1.43741,1.4908081,"('unhelpful', 'helpful')",-0.46624774,-0.44039816,1.6740148,1.7617203,0.8817257,0.9373768,0.0556511
12,1.2650093,1.3455616,"('unsupportive', 'supportive')",-0.55233,-0.42933315,-1.9877359,-1.9742604,-0.4250189,-0.3526773,0.0723416
13,2.6697102,2.630676,"('impolite', 'polite')",-0.083118565,-0.10649128,-0.55157787,-0.5137678,0.6783379,0.670139,-0.0081989
14,3.2630417,3.1754375,"('antisocial', 'social')",0.6249991,0.64821965,0.2977354,0.19456714,1.3952587,1.3394081,-0.0558506
15,-0.7141943,-0.6966728,"('boring', 'funny')",0.16885468,0.09251626,-0.5504576,-0.54038817,-0.3652657,-0.3815149,-0.0162492
16,-2.5010476,-2.4128323,"('unpopular', 'popular')",-0.62364584,-0.6046456,0.1521726,0.083737776,-0.9908403,-0.9779134,0.0129269
17,-0.77945125,-0.68968546,"('nasty', 'nice')",-0.13246994,-0.066837706,-0.91280186,-0.84351695,-0.608241,-0.5333467,0.0748943
18,-0.9068327,-0.90287215,"('disagreeable', 'welcoming')",0.08143644,0.15053993,-0.6175124,-0.7173854,-0.4809695,-0.4899059,-0.0089364
19,-2.5686934,-2.4786954,"('inhospitable', 'hospitable')",-0.9203341,-0.84380555,-0.99536955,-0.8994359,-1.494799,-1.4073122,0.0874868
20,1.0945188,0.99281365,"('rough', 'thoughtful')",0.19362776,0.22914925,1.1182355,1.066561,0.8021274,0.7628413,-0.0392861
21,3.5582309,3.5934217,"('immoral', 'moral')",0.13321707,0.09407503,-0.15947382,-0.15468062,1.1773247,1.1776053,0.0002806
