,ruckus_male,ruckus_female,tuple,average_male,average_female,female-male
0,0.0960428,-0.07525247,"('unsociable', 'sociable')",0.0960428,-0.0752525,-0.1712953
1,-1.0458807,-1.2617368,"('unfriendly', 'friendly')",-1.0458807,-1.2617368,-0.2158561
2,-0.4235142,-0.44831,"('unlikable', 'likable')",-0.4235142,-0.44831,-0.0247958
3,-1.4321296,-1.2683159,"('repellent', 'pleasant')",-1.4321296,-1.2683159,0.1638137
4,-1.474752,-1.7177706,"('disliked', 'liked')",-1.4747519,-1.7177706,-0.2430187
5,-0.22900483,-0.39824477,"('distant', 'outgoing')",-0.2290048,-0.3982448,-0.16924
6,-0.85342765,-1.090822,"('distant', 'open')",-0.8534276,-1.090822,-0.2373944
7,-1.227839,-1.1074996,"('insensitive', 'sensitive')",-1.227839,-1.1074996,0.1203394
8,-1.2699907,-1.4197402,"('unaffectionate', 'affectionate')",-1.2699907,-1.4197402,-0.1497495
9,-1.3032173,-1.396034,"('unaffectionate', 'caring')",-1.3032173,-1.396034,-0.0928167
10,-1.3067667,-1.3138312,"('unsympathetic', 'sympathetic')",-1.3067667,-1.3138312,-0.0070645
11,-0.33655158,-0.09757139,"('unhelpful', 'helpful')",-0.3365516,-0.0975714,0.2389802
12,-1.3916225,-1.4867456,"('unsupportive', 'supportive')",-1.3916225,-1.4867456,-0.0951231
13,-0.5454643,-0.5695869,"('impolite', 'polite')",-0.5454643,-0.5695869,-0.0241226
14,0.2163735,0.14142653,"('antisocial', 'social')",0.2163735,0.1414265,-0.074947
15,0.46698073,0.2797977,"('boring', 'funny')",0.4669807,0.2797977,-0.187183
16,-1.1486685,-1.2189012,"('unpopular', 'popular')",-1.1486685,-1.2189012,-0.0702327
17,-1.4252088,-1.4553224,"('nasty', 'nice')",-1.4252088,-1.4553224,-0.0301136
18,-1.4378577,-1.4842398,"('disagreeable', 'welcoming')",-1.4378577,-1.4842398,-0.0463821
19,-1.461749,-1.3857584,"('inhospitable', 'hospitable')",-1.461749,-1.3857584,0.0759906
20,-0.7426034,-0.6543211,"('rough', 'thoughtful')",-0.7426034,-0.6543211,0.0882823
