,lumberman_male,lumberman_female,tuple,average_male,average_female,female-male
0,0.7108209,0.6806449,"('unsociable', 'sociable')",0.7108209,0.6806449,-0.030176
1,-0.46374235,-0.7267251,"('unfriendly', 'friendly')",-0.4637423,-0.7267251,-0.2629828
2,0.25397342,0.22130999,"('unlikable', 'likable')",0.2539734,0.22131,-0.0326634
3,0.47403997,0.5641785,"('repellent', 'pleasant')",0.47404,0.5641785,0.0901385
4,-3.3393977,-3.3716114,"('disliked', 'liked')",-3.3393977,-3.3716114,-0.0322137
5,-1.3138328,-1.4270253,"('distant', 'outgoing')",-1.3138328,-1.4270253,-0.1131925
6,-1.3673583,-1.5198004,"('distant', 'open')",-1.3673583,-1.5198004,-0.1524421
7,0.9948072,1.043719,"('insensitive', 'sensitive')",0.9948072,1.0437191,0.0489119
8,-0.2957819,-0.5093799,"('unaffectionate', 'affectionate')",-0.2957819,-0.5093799,-0.213598
9,0.8632556,0.71002734,"('unaffectionate', 'caring')",0.8632556,0.7100273,-0.1532283
10,0.7367617,0.7939898,"('unsympathetic', 'sympathetic')",0.7367617,0.7939898,0.0572281
11,1.3897531,1.4402622,"('unhelpful', 'helpful')",1.3897531,1.4402622,0.0505091
12,-0.41412708,-0.4034375,"('unsupportive', 'supportive')",-0.4141271,-0.4034375,0.0106896
13,0.48490444,0.48156986,"('impolite', 'polite')",0.4849044,0.4815699,-0.0033345
14,0.48234093,0.5429666,"('antisocial', 'social')",0.4823409,0.5429666,0.0606257
15,-0.16309991,-0.12348966,"('boring', 'funny')",-0.1630999,-0.1234897,0.0396102
16,-0.41481018,-0.5977346,"('unpopular', 'popular')",-0.4148102,-0.5977346,-0.1829244
17,-0.72943264,-0.7122326,"('nasty', 'nice')",-0.7294326,-0.7122326,0.0172
18,-1.132347,-1.2476594,"('disagreeable', 'welcoming')",-1.132347,-1.2476594,-0.1153124
19,-1.2507052,-1.2637066,"('inhospitable', 'hospitable')",-1.2507052,-1.2637066,-0.0130014
20,0.013359496,0.029941097,"('rough', 'thoughtful')",0.0133595,0.0299411,0.0165816
21,0.5438974,0.65390426,"('immoral', 'moral')",0.5438974,0.6539043,0.1100069
22,0.0012137517,-0.026412098,"('untrustworthy', 'trustworthy')",0.0012138,-0.0264121,-0.0276259
23,3.1107945,3.0750418,"('insincere', 'sincere')",3.1107945,3.0750418,-0.0357527
24,0.503106,0.48409846,"('dishonest', 'honest')",0.503106,0.4840985,-0.0190075
25,0.44017854,0.23553897,"('egoistic', 'altruistic')",0.4401785,0.235539,-0.2046395
26,0.5428373,0.32688728,"('hardhearted', 'benevolent')",0.5428373,0.3268873,-0.21595
27,-0.42637482,-0.61956793,"('hardhearted', 'softhearted')",-0.4263748,-0.6195679,-0.1931931
28,0.77456605,0.65741843,"('disloyal', 'loyal')",0.7745661,0.6574184,-0.1171477
29,-0.4890761,-0.47338316,"('unfair', 'fair')",-0.4890761,-0.4733832,0.0156929
30,0.48956156,0.5204016,"('intolerant', 'tolerant')",0.4895616,0.5204016,0.03084
31,-2.1437578,-2.26507,"('evil', 'good')",-2.1437578,-2.26507,-0.1213122
32,0.9118498,0.74343985,"('unkind', 'kind')",0.9118498,0.7434399,-0.1684099
33,0.26541692,0.12370898,"('wrong', 'right')",0.2654169,0.123709,-0.1417079
34,1.8586074,1.9256742,"('mean', 'honorable')",1.8586074,1.9256742,0.0670668
35,-0.83352107,-0.96845543,"('corrupt', 'incorrupt')",-0.8335211,-0.9684554,-0.1349343
36,-1.5330515,-1.7387801,"('hostile', 'amicable')",-1.5330515,-1.7387801,-0.2057286
37,0.28955662,0.3448846,"('fake', 'genuine')",0.2895566,0.3448846,0.055328
38,0.19770958,0.15280461,"('untruthful', 'truthful')",0.1977096,0.1528046,-0.044905
39,0.02042749,0.15823023,"('exploitative', 'cooperative')",0.0204275,0.1582302,0.1378027
40,-1.2486757,-1.3630602,"('stingy', 'generous')",-1.2486757,-1.3630602,-0.1143845
41,0.118530184,0.056858942,"('unforgiving', 'forgiving')",0.1185302,0.0568589,-0.0616713
42,-0.47853956,-0.5163844,"('unreliable', 'reliable')",-0.4785396,-0.5163844,-0.0378448
43,1.3744836,1.4651109,"('irresponsible', 'responsible')",1.3744836,1.4651109,0.0906273
44,-0.97065073,-0.92309994,"('prejudiced', 'unprejudiced')",-0.9706507,-0.9230999,0.0475508
45,0.70452243,0.70939785,"('incompetent', 'competent')",0.7045224,0.7093979,0.0048755
46,0.2589984,0.3187224,"('uncompetitive', 'competitive')",0.2589984,0.3187224,0.059724
47,2.5929408,2.6038125,"('stupid', 'smart')",2.5929408,2.6038125,0.0108717
48,0.017219476,0.017942557,"('unintelligent', 'intelligent')",0.0172195,0.0179426,0.0007231
49,-0.7754099,-0.62363863,"('unable', 'able')",-0.7754099,-0.6236386,0.1517713
50,0.22676596,0.124735594,"('clumsy', 'skillful')",0.226766,0.1247356,-0.1020304
51,0.3797729,0.3908312,"('uneducated', 'educated')",0.3797729,0.3908312,0.0110583
52,-0.81111467,-0.96667403,"('irrational', 'rational')",-0.8111147,-0.966674,-0.1555593
53,0.16370381,-0.06154207,"('uncreative', 'creative')",0.1637038,-0.0615421,-0.2252459
54,0.08081666,0.051439825,"('incapable', 'capable')",0.0808167,0.0514398,-0.0293769
55,0.6063131,0.6559984,"('incompetent', 'clever')",0.6063131,0.6559984,0.0496853
56,1.4248519,1.4506361,"('impractical', 'practical')",1.4248519,1.4506361,0.0257842
57,-1.2795897,-1.2833834,"('unimaginative', 'imaginative')",-1.2795897,-1.2833834,-0.0037937
58,-0.16341938,-0.21368997,"('undiscriminating', 'discriminating')",-0.1634194,-0.21369,-0.0502706
59,-0.081200816,-0.14299177,"('foolish', 'wise')",-0.0812008,-0.1429918,-0.061791
60,1.0959352,1.2878176,"('inefficient', 'efficient')",1.0959352,1.2878176,0.1918824
61,0.0006075986,-0.026101664,"('illogical', 'logical')",0.0006076,-0.0261017,-0.0267093
62,0.31754017,0.5151387,"('incompetent', 'brilliant')",0.3175402,0.5151387,0.1975985
63,0.5484653,0.58045185,"('unperceptive', 'insightful')",0.5484653,0.5804518,0.0319865
64,-2.3155963,-2.243876,"('shy', 'confident')",-2.3155963,-2.243876,0.0717203
65,0.35021195,0.40848774,"('insecure', 'secure')",0.3502119,0.4084877,0.0582758
66,-0.79688543,-0.89578944,"('inactive', 'active')",-0.7968854,-0.8957894,-0.098904
67,0.6999443,0.8005466,"('doubtful', 'determined')",0.6999443,0.8005466,0.1006023
68,-1.5246077,-1.5261338,"('dependent', 'independent')",-1.5246077,-1.5261338,-0.0015261
