,carrier_male,carrier_female,tuple,global_male,global_female,corp_male,corp_female,average_male,average_female,female-male
0,0.5102826,0.4893429,"('unsociable', 'sociable')",0.15636575,0.14568238,-0.48707372,-0.58119166,0.0598582,0.0179445,-0.0419137
1,-0.9965103,-0.90149724,"('unfriendly', 'friendly')",-0.19190197,-0.25072777,1.294496,1.1933638,0.0353613,0.0137129,-0.0216484
2,0.7186876,0.8055166,"('unlikable', 'likable')",1.4268776,1.5107461,1.0921574,1.1313953,1.0792409,1.1492194,0.0699785
3,0.16129781,0.25055718,"('repellent', 'pleasant')",-0.46534178,-0.3812288,0.83957577,0.89630115,0.1785106,0.2552098,0.0766992
4,-1.0972406,-1.163104,"('disliked', 'liked')",0.21322516,0.15421046,-6.4125066,-6.7213874,-2.432174,-2.5767603,-0.1445863
5,-2.2734458,-2.2678425,"('distant', 'outgoing')",-0.14027357,-0.11316729,-0.36545628,-0.36530006,-0.9263919,-0.9154366,0.0109553
6,-2.279886,-2.2218199,"('distant', 'open')",-0.7634615,-0.7439844,-0.22990577,-0.2322366,-1.0910844,-1.0660137,0.0250707
7,1.4856153,1.6077566,"('insensitive', 'sensitive')",0.31840542,0.35876817,0.15647846,0.21711038,0.6534997,0.7278784,0.0743787
8,-1.0504138,-1.058148,"('unaffectionate', 'affectionate')",-0.3823513,-0.4343328,0.41666025,0.42538795,-0.3387016,-0.3556976,-0.016996
9,0.023749031,0.09121221,"('unaffectionate', 'caring')",-0.026066452,-0.030708851,0.8847029,0.9302419,0.2941285,0.3302484,0.0361199
10,1.020941,1.1150558,"('unsympathetic', 'sympathetic')",-0.5926591,-0.5254534,-0.8225573,-0.76354253,-0.1314251,-0.05798,0.0734451
11,0.31016037,0.3549449,"('unhelpful', 'helpful')",0.31368092,0.36120194,1.3402436,1.4025058,0.654695,0.7062175,0.0515225
12,1.17945,1.4331883,"('unsupportive', 'supportive')",1.2713275,1.4607193,-2.221173,-2.2086458,0.0765348,0.2284206,0.1518858
13,1.3120648,1.3359978,"('impolite', 'polite')",0.4824562,0.56179434,-0.9857135,-0.91245073,0.2696025,0.3284471,0.0588446
14,1.179402,1.1566203,"('antisocial', 'social')",1.3435998,1.3021868,0.14166752,0.019866511,0.8882231,0.8262245,-0.0619986
15,-0.2719831,-0.44439504,"('boring', 'funny')",-0.102438554,-0.25911027,-0.059809104,-0.13857421,-0.1447436,-0.2806932,-0.1359496
16,-1.9507017,-1.9806601,"('unpopular', 'popular')",-0.41204292,-0.48015523,0.43670088,0.32729313,-0.6420146,-0.7111741,-0.0691595
17,-0.83055204,-0.77474546,"('nasty', 'nice')",-1.1869514,-1.0980916,-0.774273,-0.72899765,-0.9305921,-0.8672783,0.0633138
18,-0.51018286,-0.3672651,"('disagreeable', 'welcoming')",0.44713575,0.5323514,-0.5379133,-0.5831111,-0.2003201,-0.1393416,0.0609785
19,-1.1610718,-1.1212084,"('inhospitable', 'hospitable')",-0.4032293,-0.35383523,-0.8360622,-0.73829883,-0.8001211,-0.7377808,0.0623403
20,0.10107482,0.21601914,"('rough', 'thoughtful')",-0.081607,-0.005330939,0.745003,0.7866534,0.2548236,0.3324472,0.0776236
21,1.1203227,1.2390729,"('immoral', 'moral')",0.44658262,0.48294523,-0.6263163,-0.6048545,0.3135297,0.3723879,0.0588582
22,0.109884605,0.24477555,"('untrustworthy', 'trustworthy')",0.3979842,0.39489216,-0.9875664,-1.0386921,-0.1598992,-0.1330081,0.0268911
23,0.6952395,0.76408273,"('insincere', 'sincere')",0.4964508,0.547641,5.4087205,5.4819117,2.200137,2.2645451,0.0644081
24,0.36498472,0.45961624,"('dishonest', 'honest')",0.18540646,0.25272128,0.4451302,0.4777244,0.3318405,0.3966873,0.0648468
25,-0.9475911,-0.93965787,"('egoistic', 'altruistic')",-0.04623943,-0.13178298,1.2675996,1.21262,0.0912563,0.0470597,-0.0441966
26,0.21480682,0.17036688,"('hardhearted', 'benevolent')",1.1302001,1.0573475,1.8356414,1.6984829,1.0602161,0.9753991,-0.084817
27,-0.21669216,-0.094119996,"('hardhearted', 'softhearted')",-0.5843323,-0.47540784,0.6893462,0.7489281,-0.0372261,0.0598001,0.0970262
28,0.17622869,0.11764969,"('disloyal', 'loyal')",0.19440223,0.07791749,1.0131468,0.91089934,0.4612592,0.3688222,-0.092437
29,-0.3342465,-0.39072084,"('unfair', 'fair')",0.07156933,0.04679444,-0.33717033,-0.4600501,-0.1999492,-0.2679922,-0.068043
30,1.4539018,1.5372086,"('intolerant', 'tolerant')",1.0020299,1.0428126,0.62322015,0.5940021,1.026384,1.0580077,0.0316237
31,-2.3006222,-2.1665947,"('evil', 'good')",-0.5213376,-0.5481228,-0.6793563,-0.7781615,-1.1671054,-1.1642931,0.0028123
32,0.5965183,0.6480518,"('unkind', 'kind')",0.5536949,0.54007983,0.59276104,0.4626296,0.5809914,0.5502537,-0.0307377
33,-0.071781896,-0.11935964,"('wrong', 'right')",0.47008133,0.4113953,-0.5143332,-0.55770457,-0.0386779,-0.0885563,-0.0498784
34,-0.28611672,-0.08419127,"('mean', 'honorable')",0.1327251,0.28564757,5.082513,5.3758707,1.6430403,1.8591089,0.2160686
35,-1.9181386,-2.0507002,"('corrupt', 'incorrupt')",-0.37642467,-0.5238887,-0.3613971,-0.46917933,-0.8853201,-1.0145894,-0.1292693
36,-1.7011747,-1.7812469,"('hostile', 'amicable')",-0.64413416,-0.831881,-0.09462446,-0.24698274,-0.8133111,-0.9533703,-0.1400592
37,0.1762879,0.27301654,"('fake', 'genuine')",-0.16101721,-0.105660334,-0.03643258,0.028582742,-0.007054,0.065313,0.072367
38,-0.18214196,-0.13018109,"('untruthful', 'truthful')",-0.08800872,-0.050216116,-0.23393445,-0.18747734,-0.1680284,-0.1226249,0.0454035
39,2.8335044,2.8717134,"('exploitative', 'cooperative')",1.7341403,1.7959629,0.36879432,0.39690056,1.6454797,1.6881924,0.0427127
40,-0.09843399,-0.003922539,"('stingy', 'generous')",-0.027218595,0.020798985,-1.9176319,-2.0822167,-0.6810948,-0.6884468,-0.007352
41,0.088632554,0.19451374,"('unforgiving', 'forgiving')",0.2623902,0.26211697,-0.034014724,-0.12023656,0.1056693,0.1121314,0.0064621
42,0.6107972,0.8338964,"('unreliable', 'reliable')",1.1462201,1.3314745,-2.6698506,-2.6667078,-0.3042777,-0.1671123,0.1371654
43,1.2066135,1.4499512,"('irresponsible', 'responsible')",0.7860482,0.98719347,0.21376543,0.2853749,0.7354757,0.9075065,0.1720308
44,-0.6346433,-0.56528705,"('prejudiced', 'unprejudiced')",-0.30795023,-0.19943215,-1.0404168,-0.9988854,-0.6610035,-0.5878682,0.0731353
45,0.40543938,0.5933189,"('incompetent', 'competent')",0.46989676,0.515219,0.10415245,0.046290617,0.3264962,0.3849428,0.0584466
46,1.4934417,1.6334473,"('uncompetitive', 'competitive')",0.9586309,1.0597793,-0.85035515,-0.85467523,0.5339058,0.6128504,0.0789446
47,0.0755149,0.14128965,"('stupid', 'smart')",0.5489516,0.647847,5.2859564,5.4983654,1.9701409,2.0958341,0.1256932
48,0.27080727,0.3368041,"('unintelligent', 'intelligent')",-0.54368144,-0.5021386,0.10480584,0.156645,-0.0560228,-0.0028965,0.0531263
49,-0.30163074,-0.27390528,"('unable', 'able')",-0.6193834,-0.4837526,-0.6670495,-0.5618442,-0.5293546,-0.439834,0.0895206
