,coty_male,coty_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.8532409,0.7194994,"('unsociable', 'sociable')",-0.1787456,-0.4061947,0.3372477,0.1566524,-0.1805953
1,-1.4714509,-1.4812107,"('unfriendly', 'friendly')",1.456609,1.3571736,-0.007421,-0.0620186,-0.0545976
2,0.927439,0.9589889,"('unlikable', 'likable')",0.6456949,0.73292196,0.786567,0.8459554,0.0593884
3,-0.072428696,0.037169542,"('repellent', 'pleasant')",0.15221463,0.18115059,0.039893,0.1091601,0.0692671
4,-0.6444558,-0.6632608,"('disliked', 'liked')",-6.0433307,-6.0756717,-3.3438933,-3.3694663,-0.025573
5,-2.229956,-2.1850562,"('distant', 'outgoing')",-0.3142927,-0.26420552,-1.2721243,-1.2246308,0.0474935
6,-2.65339,-2.5551536,"('distant', 'open')",-0.046369474,-0.010908509,-1.3498797,-1.2830311,0.0668486
7,0.30449736,0.3442672,"('insensitive', 'sensitive')",0.3043284,0.32454485,0.3044129,0.334406,0.0299931
8,-0.7893643,-0.800604,"('unaffectionate', 'affectionate')",0.7237697,0.67320585,-0.0327973,-0.0636991,-0.0309018
9,-0.77801865,-0.7881856,"('unaffectionate', 'caring')",0.927544,0.91664475,0.0747627,0.0642296,-0.0105331
10,0.21867725,0.23180193,"('unsympathetic', 'sympathetic')",-0.40712503,-0.503397,-0.0942239,-0.1357975,-0.0415736
11,0.8741598,0.92532086,"('unhelpful', 'helpful')",1.8102015,1.8808084,1.3421807,1.4030646,0.0608839
12,0.1315003,0.3146248,"('unsupportive', 'supportive')",-1.7751179,-1.7404281,-0.8218088,-0.7129017,0.1089071
13,0.76811194,0.6796305,"('impolite', 'polite')",-0.39388913,-0.41037768,0.1871114,0.1346264,-0.052485
14,1.7735302,1.7595782,"('antisocial', 'social')",-0.076447494,-0.22363773,0.8485414,0.7679703,-0.0805711
15,0.028646883,-0.12992716,"('boring', 'funny')",0.6053491,0.537452,0.316998,0.2037624,-0.1132356
16,-0.29997915,-0.2109412,"('unpopular', 'popular')",0.7204611,0.73734266,0.210241,0.2632007,0.0529597
17,0.51542544,0.5640842,"('nasty', 'nice')",-0.2499957,-0.22564638,0.1327149,0.1692189,0.036504
18,-0.30737337,-0.24790038,"('disagreeable', 'welcoming')",-0.2761466,-0.29313344,-0.29176,-0.2705169,0.0212431
19,-1.4969622,-1.5256544,"('inhospitable', 'hospitable')",-0.31067988,-0.23585983,-0.9038211,-0.8807572,0.0230639
20,0.5483892,0.5896886,"('rough', 'thoughtful')",1.1750929,1.1196089,0.8617411,0.8546487,-0.0070924
21,1.3264836,1.2928523,"('immoral', 'moral')",-0.16467325,-0.22851774,0.5809052,0.5321673,-0.0487379
22,0.29701814,0.29917663,"('untrustworthy', 'trustworthy')",-0.9703693,-1.0677522,-0.3366756,-0.3842878,-0.0476122
23,0.16509043,0.16132553,"('insincere', 'sincere')",5.42903,5.392109,2.7970603,2.7767172,-0.0203431
24,-0.15004931,-0.20109826,"('dishonest', 'honest')",0.59259135,0.57103825,0.221271,0.18497,-0.036301
25,-0.65358114,-0.6953341,"('egoistic', 'altruistic')",1.359024,1.2993296,0.3527215,0.3019978,-0.0507237
26,0.04015898,-0.045792006,"('hardhearted', 'benevolent')",1.9465283,1.7911706,0.9933437,0.8726893,-0.1206544
27,-0.6263745,-0.47190496,"('hardhearted', 'softhearted')",1.1763575,1.139942,0.2749915,0.3340185,0.059027
28,0.18488085,0.09945691,"('disloyal', 'loyal')",0.9754711,0.83937734,0.580176,0.4694171,-0.1107589
29,-0.03264027,-0.023870423,"('unfair', 'fair')",-0.6696512,-0.82594347,-0.3511457,-0.4249069,-0.0737612
30,1.5199841,1.4445027,"('intolerant', 'tolerant')",1.6577795,1.5732951,1.5888817,1.508899,-0.0799827
31,-1.7280959,-1.6098111,"('evil', 'good')",-1.0824637,-1.1451836,-1.4052799,-1.3774973,0.0277826
32,0.36958453,0.3100651,"('unkind', 'kind')",0.9791017,0.8051169,0.6743431,0.557591,-0.1167521
33,-0.4018099,-0.5016201,"('wrong', 'right')",-0.6100835,-0.6290462,-0.5059467,-0.5653331,-0.0593864
34,-0.12197472,0.02796604,"('mean', 'honorable')",5.833558,6.027563,2.8557916,3.0277646,0.171973
35,-0.89131236,-0.95210826,"('corrupt', 'incorrupt')",-0.23864326,-0.36193174,-0.5649778,-0.65702,-0.0920422
