,royal_male,royal_female,tuple,caribbean_male,caribbean_female,cruises_male,cruises_female,ltd_male,ltd_female,average_male,average_female,female-male
36,0.1688108,0.33889905,"('hostile', 'amicable')",0.3954876,0.47022197,0.7319036,0.9163078,0.30705532,0.19447196,0.4008143,0.4799752,0.0791609
37,-1.052109,-1.0556136,"('fake', 'genuine')",-1.2993852,-1.3025451,-1.080193,-1.0323095,-0.43717158,-0.48195747,-0.9672147,-0.9681064,-0.0008917
38,-0.2909979,-0.26780605,"('untruthful', 'truthful')",-0.12231404,-0.11354032,-0.506996,-0.4790993,-0.04342896,-0.013299383,-0.2409342,-0.2184363,0.0224979
39,1.1654767,1.1623174,"('exploitative', 'cooperative')",1.2873322,1.2914996,0.26382762,0.2692191,0.20129687,0.20058598,0.7294833,0.7309055,0.0014222
40,0.19351834,0.25507763,"('stingy', 'generous')",1.1592584,1.1443418,0.15890314,0.24774817,-1.4208825,-1.4342409,0.0226994,0.0532317,0.0305323
41,0.51729786,0.5763141,"('unforgiving', 'forgiving')",0.49578848,0.484767,0.29990986,0.51295614,0.038265646,0.10546905,0.3378155,0.4198766,0.0820611
42,1.2953588,1.4127773,"('unreliable', 'reliable')",1.0082743,0.9819127,0.29614538,0.37860394,-2.6309462,-2.4343576,-0.0077919,0.0847341,0.092526
43,0.476309,0.4343738,"('irresponsible', 'responsible')",0.59974194,0.5685443,0.181108,0.27188358,0.43055618,0.45190674,0.4219288,0.4316771,0.0097483
44,0.31235266,0.31841314,"('prejudiced', 'unprejudiced')",-0.71097106,-0.7337025,-0.84238166,-0.991205,-1.1098294,-1.0534184,-0.5877074,-0.6149782,-0.0272708
45,0.32415763,0.42576045,"('incompetent', 'competent')",-0.17075288,-0.12910658,-0.6722377,-0.323746,0.57210445,0.6639085,0.0133179,0.1592041,0.1458862
46,0.045985237,0.047503307,"('uncompetitive', 'competitive')",-0.0047914386,0.014691301,-0.8992595,-0.62780666,0.049314998,0.12943959,-0.2021877,-0.1090431,0.0931446
47,0.1723174,0.21194284,"('stupid', 'smart')",-0.2492747,-0.2633327,0.7206408,0.87745684,5.481321,5.4284396,1.5312511,1.5636266,0.0323755
48,-0.14136657,-0.12950253,"('unintelligent', 'intelligent')",0.06058877,0.059127383,0.3514747,0.5104273,0.2614373,0.2730496,0.1330335,0.1782754,0.0452419
49,-0.07007001,-0.054725833,"('unable', 'able')",0.3158329,0.3381228,0.03814891,0.13630208,-0.29281473,-0.25505129,-0.0022257,0.0411619,0.0433876
50,0.48105153,0.5216548,"('clumsy', 'skillful')",-0.2848348,-0.3211544,-0.28451675,-0.33758694,-1.1203132,-1.2089093,-0.3021533,-0.3364989,-0.0343456
51,0.79658055,0.64790624,"('uneducated', 'educated')",-0.00909356,-0.07480694,-0.7155816,-0.7004534,-0.0893942,-0.07555051,-0.0043722,-0.0507261,-0.0463539
52,0.093061864,0.060540546,"('irrational', 'rational')",0.46857038,0.49285173,0.6140303,0.550458,-0.8840624,-1.044347,0.0729,0.0148758,-0.0580242
53,0.5825831,0.5960596,"('uncreative', 'creative')",0.5632035,0.61698705,1.5713441,1.7537811,0.75051695,0.6330837,0.8669119,0.8999779,0.033066
54,0.1882723,0.22247621,"('incapable', 'capable')",0.37560916,0.3788372,1.0601883,1.0312506,0.57648593,0.4940127,0.5501389,0.5316442,-0.0184947
55,0.16223797,0.22075164,"('incompetent', 'clever')",-0.2825011,-0.26422542,-0.37006488,-0.13887063,0.71260095,0.8457054,0.0555682,0.1658402,0.110272
56,0.45580295,0.46028632,"('impractical', 'practical')",0.5792788,0.5969433,0.030785767,0.17032844,0.25572863,0.39267057,0.330399,0.4050572,0.0746582
57,0.80050105,0.74884915,"('unimaginative', 'imaginative')",0.1260869,0.106022805,-0.18727058,-0.031753212,-0.940511,-0.8081731,-0.0502984,0.0037364,0.0540348
58,1.2127603,1.2419287,"('undiscriminating', 'discriminating')",0.739655,0.73615056,0.55876815,0.7711542,0.3089312,0.34260798,0.7050287,0.7729604,0.0679317
