,fox_male,fox_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.64896846,0.40421823,"('unsociable', 'sociable')",-0.499882,-0.7129896,0.0745432,-0.1543857,-0.2289289
1,0.0008753352,0.13566655,"('unfriendly', 'friendly')",1.2355359,1.1875743,0.6182056,0.6616204,0.0434148
2,0.46437302,0.50139004,"('unlikable', 'likable')",0.63816965,0.6054443,0.5512713,0.5534172,0.0021459
3,0.7057971,0.8446648,"('repellent', 'pleasant')",0.80444866,0.8831768,0.7551229,0.8639208,0.1087979
4,-1.823444,-1.8145708,"('disliked', 'liked')",-6.533355,-6.771474,-4.1783996,-4.2930222,-0.1146226
5,-1.2426702,-0.9956343,"('distant', 'outgoing')",-0.35721418,-0.16259353,-0.7999422,-0.5791139,0.2208283
6,-1.6730539,-1.3749436,"('distant', 'open')",-0.64190775,-0.39850602,-1.1574808,-0.8867248,0.270756
7,0.71763784,0.72390854,"('insensitive', 'sensitive')",0.045140713,0.0747542,0.3813893,0.3993314,0.0179421
8,0.2347117,0.2719131,"('unaffectionate', 'affectionate')",0.7301209,0.7745719,0.4824163,0.5232425,0.0408262
9,1.1318663,1.1918857,"('unaffectionate', 'caring')",0.90671694,0.99693906,1.0192916,1.0944123,0.0751207
10,1.2037754,1.0310119,"('unsympathetic', 'sympathetic')",-0.894233,-0.99250907,0.1547712,0.0192514,-0.1355198
11,0.16777104,0.13668574,"('unhelpful', 'helpful')",1.5637817,1.601999,0.8657764,0.8693424,0.003566
12,0.2668035,0.32301468,"('unsupportive', 'supportive')",-2.2293594,-2.1990466,-0.9812779,-0.9380159,0.043262
13,-0.20075874,-0.40998775,"('impolite', 'polite')",-1.3012475,-1.3345435,-0.7510031,-0.8722656,-0.1212625
14,2.00911,1.8037723,"('antisocial', 'social')",0.17218588,-0.0439869,1.0906479,0.8798927,-0.2107552
15,1.1047506,0.96904284,"('boring', 'funny')",0.12016117,0.096222,0.6124559,0.5326324,-0.0798235
16,-1.5180651,-1.4725212,"('unpopular', 'popular')",0.31615037,0.31631416,-0.6009574,-0.5781035,0.0228539
17,-0.7058288,-0.65239596,"('nasty', 'nice')",-0.258952,-0.23726887,-0.4823904,-0.4448324,0.037558
18,-0.5262202,-0.56128865,"('disagreeable', 'welcoming')",-0.5268612,-0.51288575,-0.5265407,-0.5370872,-0.0105465
19,-1.0437261,-0.9337568,"('inhospitable', 'hospitable')",-0.48755455,-0.3781634,-0.7656403,-0.6559601,0.1096802
20,0.14215039,0.12953675,"('rough', 'thoughtful')",1.0009906,0.97906685,0.5715705,0.5543018,-0.0172687
21,1.6549491,1.5824924,"('immoral', 'moral')",-0.44225377,-0.5538059,0.6063477,0.5143433,-0.0920044
22,0.5820429,0.6091781,"('untrustworthy', 'trustworthy')",-0.8226672,-0.88568705,-0.1203122,-0.1382545,-0.0179423
23,1.1805696,1.1960644,"('insincere', 'sincere')",5.4588814,5.5561657,3.3197255,3.3761151,0.0563896
24,1.1137335,1.1283085,"('dishonest', 'honest')",0.3235413,0.37619385,0.7186374,0.7522512,0.0336138
25,0.35903716,0.53870636,"('egoistic', 'altruistic')",1.3572382,1.4629768,0.8581377,1.0008416,0.1427039
26,1.0050696,0.80306745,"('hardhearted', 'benevolent')",1.8938003,1.6740971,1.449435,1.2385823,-0.2108527
27,0.005602779,0.08670377,"('hardhearted', 'softhearted')",0.79250526,0.91185224,0.399054,0.499278,0.100224
28,1.1414441,1.0724336,"('disloyal', 'loyal')",1.2347108,1.0418484,1.1880774,1.0571411,-0.1309363
29,-0.09442965,-0.032006722,"('unfair', 'fair')",-0.32849452,-0.43140736,-0.2114621,-0.231707,-0.0202449
