,timpani_male,timpani_female,tuple,average_male,average_female,female-male
0,-0.22528489,-0.35164633,"('unsociable', 'sociable')",-0.2252849,-0.3516463,-0.1263614
1,0.28908387,0.17186087,"('unfriendly', 'friendly')",0.2890839,0.1718609,-0.117223
2,-0.015410349,0.026021047,"('unlikable', 'likable')",-0.0154103,0.026021,0.0414313
3,-0.59181225,-0.4941954,"('repellent', 'pleasant')",-0.5918123,-0.4941954,0.0976169
4,-2.6613479,-2.810817,"('disliked', 'liked')",-2.6613479,-2.810817,-0.1494691
5,-0.3697769,-0.45959547,"('distant', 'outgoing')",-0.3697769,-0.4595955,-0.0898186
6,-0.51668334,-0.62513673,"('distant', 'open')",-0.5166833,-0.6251367,-0.1084534
7,-0.7522669,-0.6731693,"('insensitive', 'sensitive')",-0.7522669,-0.6731693,0.0790976
8,0.07869217,0.023964643,"('unaffectionate', 'affectionate')",0.0786922,0.0239646,-0.0547276
9,-0.46426627,-0.49407846,"('unaffectionate', 'caring')",-0.4642663,-0.4940785,-0.0298122
10,-1.1974515,-1.0894715,"('unsympathetic', 'sympathetic')",-1.1974515,-1.0894715,0.10798
11,-0.47533804,-0.34232646,"('unhelpful', 'helpful')",-0.475338,-0.3423265,0.1330115
12,-1.5032574,-1.4564394,"('unsupportive', 'supportive')",-1.5032574,-1.4564394,0.046818
13,-0.28176737,-0.34225172,"('impolite', 'polite')",-0.2817674,-0.3422517,-0.0604843
14,0.02874998,0.00014460273,"('antisocial', 'social')",0.02875,0.0001446,-0.0286054
15,0.9520066,0.7872428,"('boring', 'funny')",0.9520066,0.7872428,-0.1647638
16,-0.38988107,-0.42944777,"('unpopular', 'popular')",-0.3898811,-0.4294478,-0.0395667
17,-0.7373571,-0.6943348,"('nasty', 'nice')",-0.7373571,-0.6943348,0.0430223
18,-0.1398606,-0.18879119,"('disagreeable', 'welcoming')",-0.1398606,-0.1887912,-0.0489306
19,-1.0894771,-1.0882046,"('inhospitable', 'hospitable')",-1.0894771,-1.0882046,0.0012725
20,-0.19179544,-0.13013664,"('rough', 'thoughtful')",-0.1917954,-0.1301366,0.0616588
21,-0.07384674,-0.02688469,"('immoral', 'moral')",-0.0738467,-0.0268847,0.046962
22,-0.17951974,-0.23118241,"('untrustworthy', 'trustworthy')",-0.1795197,-0.2311824,-0.0516627
23,1.3771101,1.496729,"('insincere', 'sincere')",1.3771101,1.496729,0.1196189
24,0.24102655,0.23130843,"('dishonest', 'honest')",0.2410266,0.2313084,-0.0097182
25,0.9107745,0.7898276,"('egoistic', 'altruistic')",0.9107745,0.7898276,-0.1209469
26,1.5883672,1.369728,"('hardhearted', 'benevolent')",1.5883672,1.369728,-0.2186392
27,0.864925,0.75106156,"('hardhearted', 'softhearted')",0.864925,0.7510616,-0.1138634
28,0.09606065,0.071047656,"('disloyal', 'loyal')",0.0960606,0.0710477,-0.0250129
29,-0.15437865,-0.24744865,"('unfair', 'fair')",-0.1543787,-0.2474487,-0.09307
30,0.28396505,0.3001224,"('intolerant', 'tolerant')",0.2839651,0.3001224,0.0161573
31,-0.32987636,-0.3749098,"('evil', 'good')",-0.3298764,-0.3749098,-0.0450334
32,0.6262068,0.535415,"('unkind', 'kind')",0.6262068,0.535415,-0.0907918
33,-0.3264834,-0.32601714,"('wrong', 'right')",-0.3264834,-0.3260171,0.0004663
34,1.4814487,1.7359842,"('mean', 'honorable')",1.4814487,1.7359842,0.2545355
35,0.69410616,0.4990781,"('corrupt', 'incorrupt')",0.6941062,0.4990781,-0.1950281
36,0.09945904,-0.013151975,"('hostile', 'amicable')",0.099459,-0.013152,-0.112611
37,0.022761434,0.030542813,"('fake', 'genuine')",0.0227614,0.0305428,0.0077814
