,interaction_male,interaction_female,tuple,average_male,average_female,female-male
0,0.35591072,0.29483265,"('unsociable', 'sociable')",0.3559107,0.2948326,-0.0610781
1,1.6349992,1.6665134,"('unfriendly', 'friendly')",1.6349992,1.6665134,0.0315142
2,0.31238288,0.44362274,"('unlikable', 'likable')",0.3123829,0.4436227,0.1312398
3,1.0999943,1.2272239,"('repellent', 'pleasant')",1.0999943,1.2272239,0.1272296
4,-6.8965435,-6.888147,"('disliked', 'liked')",-6.8965435,-6.8881469,0.0083966
5,-0.23203057,0.056830954,"('distant', 'outgoing')",-0.2320306,0.056831,0.2888616
6,0.09106625,0.2982694,"('distant', 'open')",0.0910662,0.2982694,0.2072032
7,1.4356283,1.5286361,"('insensitive', 'sensitive')",1.4356283,1.5286361,0.0930078
8,1.1231905,1.0778738,"('unaffectionate', 'affectionate')",1.1231905,1.0778738,-0.0453167
9,1.7275356,1.8021065,"('unaffectionate', 'caring')",1.7275356,1.8021065,0.0745709
10,1.3461803,1.2966793,"('unsympathetic', 'sympathetic')",1.3461803,1.2966793,-0.049501
11,2.2966678,2.2877247,"('unhelpful', 'helpful')",2.2966678,2.2877247,-0.0089431
12,-1.0437899,-0.8438066,"('unsupportive', 'supportive')",-1.0437899,-0.8438066,0.1999833
13,0.338149,0.19287062,"('impolite', 'polite')",0.338149,0.1928706,-0.1452784
14,0.17717268,0.09783274,"('antisocial', 'social')",0.1771727,0.0978327,-0.07934
15,0.5369569,0.50032437,"('boring', 'funny')",0.5369569,0.5003244,-0.0366325
16,-0.5234706,-0.47292125,"('unpopular', 'popular')",-0.5234706,-0.4729213,0.0505493
17,-0.25377566,-0.17274249,"('nasty', 'nice')",-0.2537757,-0.1727425,0.0810332
18,-0.19316979,-0.1342304,"('disagreeable', 'welcoming')",-0.1931698,-0.1342304,0.0589394
19,-0.44220865,-0.12278036,"('inhospitable', 'hospitable')",-0.4422086,-0.1227804,0.3194282
20,0.5724445,0.42226303,"('rough', 'thoughtful')",0.5724445,0.422263,-0.1501815
21,0.21251023,0.3784109,"('immoral', 'moral')",0.2125102,0.3784109,0.1659007
22,-0.14077973,-0.0041447086,"('untrustworthy', 'trustworthy')",-0.1407797,-0.0041447,0.136635
23,6.7639546,6.876029,"('insincere', 'sincere')",6.7639546,6.876029,0.1120744
24,1.9181796,2.0886896,"('dishonest', 'honest')",1.9181796,2.0886896,0.17051
25,0.9695124,0.9044021,"('egoistic', 'altruistic')",0.9695124,0.9044021,-0.0651103
26,0.6454935,0.32543176,"('hardhearted', 'benevolent')",0.6454935,0.3254318,-0.3200617
27,1.9187322,1.6648259,"('hardhearted', 'softhearted')",1.9187322,1.6648259,-0.2539063
28,1.2891171,1.2054802,"('disloyal', 'loyal')",1.2891171,1.2054802,-0.0836369
29,-0.7661017,-0.7125268,"('unfair', 'fair')",-0.7661017,-0.7125268,0.0535749
30,0.9157577,0.930338,"('intolerant', 'tolerant')",0.9157577,0.930338,0.0145803
31,-1.5816588,-1.4481425,"('evil', 'good')",-1.5816588,-1.4481425,0.1335163
32,1.3987298,1.2559555,"('unkind', 'kind')",1.3987298,1.2559555,-0.1427743
33,-0.21732473,-0.053982843,"('wrong', 'right')",-0.2173247,-0.0539828,0.1633419
34,4.5078382,4.8541503,"('mean', 'honorable')",4.5078382,4.8541503,0.3463121
35,-1.2312484,-1.2099608,"('corrupt', 'incorrupt')",-1.2312484,-1.2099608,0.0212876
