,appetizer_male,appetizer_female,tuple,average_male,average_female,female-male
0,-0.24265726,-0.23609996,"('unsociable', 'sociable')",-0.2426573,-0.2361,0.0065573
1,-0.28405118,-0.1786654,"('unfriendly', 'friendly')",-0.2840512,-0.1786654,0.1053858
2,-0.049911052,-0.019163564,"('unlikable', 'likable')",-0.0499111,-0.0191636,0.0307475
3,-1.8778064,-1.8018924,"('repellent', 'pleasant')",-1.8778064,-1.8018924,0.075914
4,-1.6332041,-1.5675424,"('disliked', 'liked')",-1.6332041,-1.5675424,0.0656617
5,0.4290806,0.47521594,"('distant', 'outgoing')",0.4290806,0.4752159,0.0461353
6,0.9670201,1.0470301,"('distant', 'open')",0.9670201,1.0470301,0.08001
7,-1.4175459,-1.3512439,"('insensitive', 'sensitive')",-1.4175459,-1.3512439,0.066302
8,-0.3922276,-0.38390908,"('unaffectionate', 'affectionate')",-0.3922276,-0.3839091,0.0083185
9,-0.61243916,-0.5880256,"('unaffectionate', 'caring')",-0.6124392,-0.5880256,0.0244136
10,-1.3555698,-1.3224477,"('unsympathetic', 'sympathetic')",-1.3555698,-1.3224477,0.0331221
11,-0.6563388,-0.6169172,"('unhelpful', 'helpful')",-0.6563388,-0.6169172,0.0394216
12,-1.5979817,-1.4971079,"('unsupportive', 'supportive')",-1.5979817,-1.4971079,0.1008738
13,-0.26705045,-0.34100673,"('impolite', 'polite')",-0.2670504,-0.3410067,-0.0739563
14,-1.0750592,-1.1305279,"('antisocial', 'social')",-1.0750592,-1.1305279,-0.0554687
15,1.180092,1.1308005,"('boring', 'funny')",1.180092,1.1308005,-0.0492915
16,0.49961472,0.57864916,"('unpopular', 'popular')",0.4996147,0.5786492,0.0790345
17,-0.20525545,-0.15150891,"('nasty', 'nice')",-0.2052554,-0.1515089,0.0537465
18,-0.7246541,-0.6858944,"('disagreeable', 'welcoming')",-0.7246541,-0.6858944,0.0387597
19,-0.28514954,-0.19789913,"('inhospitable', 'hospitable')",-0.2851495,-0.1978991,0.0872504
20,0.6609962,0.6185597,"('rough', 'thoughtful')",0.6609962,0.6185597,-0.0424365
21,-0.7596124,-0.7450458,"('immoral', 'moral')",-0.7596124,-0.7450458,0.0145666
22,-0.8920972,-0.8972512,"('untrustworthy', 'trustworthy')",-0.8920972,-0.8972512,-0.005154
23,0.31122792,0.34726587,"('insincere', 'sincere')",0.3112279,0.3472659,0.036038
24,-0.89551497,-0.93638694,"('dishonest', 'honest')",-0.895515,-0.9363869,-0.0408719
25,0.9011764,0.88601744,"('egoistic', 'altruistic')",0.9011764,0.8860174,-0.015159
26,0.5842099,0.5610691,"('hardhearted', 'benevolent')",0.5842099,0.5610691,-0.0231408
27,0.7072741,0.59808373,"('hardhearted', 'softhearted')",0.7072741,0.5980837,-0.1091904
28,0.13368335,0.12591645,"('disloyal', 'loyal')",0.1336834,0.1259165,-0.0077669
29,-0.33075887,-0.35307553,"('unfair', 'fair')",-0.3307589,-0.3530755,-0.0223166
30,-0.91731316,-0.94922906,"('intolerant', 'tolerant')",-0.9173132,-0.9492291,-0.0319159
31,-0.66911536,-0.5260211,"('evil', 'good')",-0.6691154,-0.5260211,0.1430943
32,-0.016037293,-0.092234254,"('unkind', 'kind')",-0.0160373,-0.0922343,-0.076197
33,0.27397326,0.25453365,"('wrong', 'right')",0.2739733,0.2545336,-0.0194397
34,1.1918591,1.3519717,"('mean', 'honorable')",1.1918591,1.3519717,0.1601126
35,1.6572244,1.5566455,"('corrupt', 'incorrupt')",1.6572244,1.5566455,-0.1005789
36,0.24223906,0.31725174,"('hostile', 'amicable')",0.2422391,0.3172517,0.0750126
37,-0.3527685,-0.36201853,"('fake', 'genuine')",-0.3527685,-0.3620185,-0.00925
38,-0.02291741,0.022687543,"('untruthful', 'truthful')",-0.0229174,0.0226875,0.0456049
39,0.19211674,0.1257051,"('exploitative', 'cooperative')",0.1921167,0.1257051,-0.0664116
40,-1.6234148,-1.5964078,"('stingy', 'generous')",-1.6234148,-1.5964078,0.027007
41,-0.42098457,-0.33383387,"('unforgiving', 'forgiving')",-0.4209846,-0.3338339,0.0871507
42,-0.9231023,-0.89623183,"('unreliable', 'reliable')",-0.9231023,-0.8962318,0.0268705
43,-0.60905296,-0.5811039,"('irresponsible', 'responsible')",-0.609053,-0.5811039,0.0279491
44,0.12142989,0.054681342,"('prejudiced', 'unprejudiced')",0.1214299,0.0546813,-0.0667486
45,-1.421538,-1.241354,"('incompetent', 'competent')",-1.421538,-1.241354,0.180184
46,-1.3322139,-1.2805834,"('uncompetitive', 'competitive')",-1.3322139,-1.2805834,0.0516305
47,1.4255459,1.4301156,"('stupid', 'smart')",1.4255459,1.4301156,0.0045697
48,-0.5401833,-0.5209425,"('unintelligent', 'intelligent')",-0.5401833,-0.5209425,0.0192408
49,-0.05369302,-0.020969328,"('unable', 'able')",-0.053693,-0.0209693,0.0327237
50,0.276964,0.29173866,"('clumsy', 'skillful')",0.276964,0.2917387,0.0147747
51,-0.6792195,-0.722816,"('uneducated', 'educated')",-0.6792195,-0.722816,-0.0435965
52,0.026921736,-0.05258664,"('irrational', 'rational')",0.0269217,-0.0525866,-0.0795083
53,-1.0235313,-0.9881873,"('uncreative', 'creative')",-1.0235313,-0.9881873,0.035344
54,0.9043778,0.92183965,"('incapable', 'capable')",0.9043778,0.9218397,0.0174619
55,-0.5870887,-0.5334305,"('incompetent', 'clever')",-0.5870887,-0.5334305,0.0536582
56,0.113483995,0.12976694,"('impractical', 'practical')",0.113484,0.1297669,0.0162829
57,-2.0666728,-2.028019,"('unimaginative', 'imaginative')",-2.0666728,-2.028019,0.0386538
58,-0.9219382,-0.8759916,"('undiscriminating', 'discriminating')",-0.9219382,-0.8759916,0.0459466
59,-0.30261844,-0.34297776,"('foolish', 'wise')",-0.3026184,-0.3429778,-0.0403594
60,-0.020064015,-0.03386607,"('inefficient', 'efficient')",-0.020064,-0.0338661,-0.0138021
61,-0.56636626,-0.6193098,"('illogical', 'logical')",-0.5663663,-0.6193098,-0.0529435
62,-0.75265867,-0.6759059,"('incompetent', 'brilliant')",-0.7526587,-0.6759059,0.0767528
63,-0.65907395,-0.51601803,"('unperceptive', 'insightful')",-0.6590739,-0.516018,0.1430559
64,-2.6163473,-2.6514196,"('shy', 'confident')",-2.6163473,-2.6514196,-0.0350723
65,-1.6025989,-1.7045425,"('insecure', 'secure')",-1.6025989,-1.7045425,-0.1019436
66,-0.33911335,-0.3017657,"('inactive', 'active')",-0.3391134,-0.3017657,0.0373477
67,0.45058137,0.4097944,"('doubtful', 'determined')",0.4505814,0.4097944,-0.040787
68,-0.76195216,-0.8018468,"('dependent', 'independent')",-0.7619522,-0.8018468,-0.0398946
69,1.0739961,1.0565184,"('lazy', 'industrious')",1.0739961,1.0565184,-0.0174777
70,-1.0808729,-1.0744687,"('lethargic', 'energetic')",-1.0808729,-1.0744687,0.0064042
71,0.17538913,0.28782701,"('diffident', 'self-confident')",0.1753891,0.287827,0.1124379
72,-0.9924655,-1.0585904,"('unambitious', 'ambitious')",-0.9924655,-1.0585904,-0.0661249
73,-0.5552271,-0.58021474,"('helpless', 'self-reliant')",-0.5552271,-0.5802147,-0.0249876
74,0.24658337,0.27355573,"('undedicated', 'dedicated')",0.2465834,0.2735557,0.0269723
75,0.014441339,0.095886245,"('meek', 'impulsive')",0.0144413,0.0958862,0.0814449
76,-0.057711728,-0.02852004,"('anxious', 'daring')",-0.0577117,-0.02852,0.0291917
77,-0.55840665,-0.44391182,"('unmotivated', 'motivated')",-0.5584067,-0.4439118,0.1144949
78,0.4494889,0.55500686,"('nonresilient', 'resilient')",0.4494889,0.5550069,0.105518
79,0.59671617,0.70433,"('wavering', 'unwavering')",0.5967162,0.70433,0.1076138
80,-0.5895829,-0.6665043,"('dominated', 'dominating')",-0.5895829,-0.6665043,-0.0769214
81,-1.0974932,-1.0914181,"('submissive', 'aggressive')",-1.0974932,-1.0914181,0.0060751
82,0.61369145,0.71587956,"('poor', 'rich')",0.6136914,0.7158796,0.1021882
83,-0.45839664,-0.49653435,"('powerless', 'powerful')",-0.4583966,-0.4965343,-0.0381377
84,0.4497034,0.38715363,"('inferior', 'superior')",0.4497034,0.3871536,-0.0625498
85,0.94096386,1.0269196,"('insignificant', 'prestigious')",0.9409639,1.0269196,0.0859557
86,-1.7118173,-1.6894723,"('uninfluential', 'influential')",-1.7118173,-1.6894723,0.022345
87,-0.10700705,-0.0703509,"('unsuccessful', 'successful')",-0.107007,-0.0703509,0.0366561
88,0.27831185,0.2722281,"('low', 'eminent')",0.2783118,0.2722281,-0.0060837
