,motive_male,motive_female,tuple,average_male,average_female,female-male
0,0.10027413,-0.056076363,"('unsociable', 'sociable')",0.1002741,-0.0560764,-0.1563505
1,1.1351708,1.1082846,"('unfriendly', 'friendly')",1.1351708,1.1082846,-0.0268862
2,0.46551794,0.6009607,"('unlikable', 'likable')",0.4655179,0.6009607,0.1354428
3,0.67574966,0.79480785,"('repellent', 'pleasant')",0.6757497,0.7948079,0.1190582
4,-7.730336,-7.692031,"('disliked', 'liked')",-7.7303362,-7.6920309,0.0383053
5,-0.21688102,0.0203988,"('distant', 'outgoing')",-0.216881,0.0203988,0.2372798
6,0.034204297,0.2550006,"('distant', 'open')",0.0342043,0.2550006,0.2207963
7,0.5835861,0.6399642,"('insensitive', 'sensitive')",0.5835861,0.6399642,0.0563781
8,1.1297917,1.1383314,"('unaffectionate', 'affectionate')",1.1297917,1.1383314,0.0085397
9,1.6080147,1.7319598,"('unaffectionate', 'caring')",1.6080147,1.7319598,0.1239451
10,1.208226,1.3363755,"('unsympathetic', 'sympathetic')",1.208226,1.3363755,0.1281495
11,2.0008686,2.094538,"('unhelpful', 'helpful')",2.0008686,2.094538,0.0936694
12,-1.7584822,-1.7225415,"('unsupportive', 'supportive')",-1.7584822,-1.7225415,0.0359407
13,0.32586133,0.26291457,"('impolite', 'polite')",0.3258613,0.2629146,-0.0629467
14,-0.30583775,-0.48021498,"('antisocial', 'social')",-0.3058378,-0.480215,-0.1743772
15,0.307455,0.24935058,"('boring', 'funny')",0.307455,0.2493506,-0.0581044
16,-0.33184713,-0.20284,"('unpopular', 'popular')",-0.3318471,-0.20284,0.1290071
17,0.047114857,0.10742059,"('nasty', 'nice')",0.0471149,0.1074206,0.0603057
18,-0.65779924,-0.7213829,"('disagreeable', 'welcoming')",-0.6577992,-0.7213829,-0.0635837
19,-0.42094588,-0.21677208,"('inhospitable', 'hospitable')",-0.4209459,-0.2167721,0.2041738
20,0.7287817,0.56242216,"('rough', 'thoughtful')",0.7287817,0.5624222,-0.1663595
21,0.057048686,0.246918,"('immoral', 'moral')",0.0570487,0.246918,0.1898693
22,-0.7260397,-0.72794974,"('untrustworthy', 'trustworthy')",-0.7260397,-0.7279497,-0.00191
23,6.6158648,6.660126,"('insincere', 'sincere')",6.6158648,6.6601262,0.0442614
24,1.793701,1.8024834,"('dishonest', 'honest')",1.7937011,1.8024834,0.0087823
25,0.31222045,0.23052973,"('egoistic', 'altruistic')",0.3122205,0.2305297,-0.0816908
26,0.33861887,0.10351427,"('hardhearted', 'benevolent')",0.3386189,0.1035143,-0.2351046
27,1.621402,1.5001708,"('hardhearted', 'softhearted')",1.621402,1.5001708,-0.1212312
28,1.2657447,1.2210635,"('disloyal', 'loyal')",1.2657447,1.2210635,-0.0446812
29,-0.4971783,-0.68522936,"('unfair', 'fair')",-0.4971783,-0.6852294,-0.1880511
30,0.71137464,0.76207715,"('intolerant', 'tolerant')",0.7113746,0.7620772,0.0507026
31,-1.811732,-1.7598422,"('evil', 'good')",-1.8117321,-1.7598422,0.0518899
32,1.3134173,1.2003348,"('unkind', 'kind')",1.3134173,1.2003348,-0.1130825
33,-0.5077848,-0.517417,"('wrong', 'right')",-0.5077848,-0.517417,-0.0096322
34,4.9489374,5.1826987,"('mean', 'honorable')",4.9489374,5.1826987,0.2337613
35,-1.1246047,-1.2396631,"('corrupt', 'incorrupt')",-1.1246047,-1.2396631,-0.1150584
36,-1.0705233,-1.1118433,"('hostile', 'amicable')",-1.0705233,-1.1118433,-0.04132
37,0.99160063,0.97344726,"('fake', 'genuine')",0.9916006,0.9734473,-0.0181533
38,-0.09218149,-0.01518514,"('untruthful', 'truthful')",-0.0921815,-0.0151851,0.0769964
39,-0.18448645,-0.23390807,"('exploitative', 'cooperative')",-0.1844864,-0.2339081,-0.0494217
40,-2.0379317,-2.1937013,"('stingy', 'generous')",-2.0379317,-2.1937013,-0.1557696
41,0.04698757,-0.029315434,"('unforgiving', 'forgiving')",0.0469876,-0.0293154,-0.076303
42,-2.3227842,-2.2839997,"('unreliable', 'reliable')",-2.3227842,-2.2839997,0.0387845
43,1.257393,1.3349847,"('irresponsible', 'responsible')",1.257393,1.3349847,0.0775917
44,-1.189626,-1.350544,"('prejudiced', 'unprejudiced')",-1.189626,-1.350544,-0.160918
45,0.23432107,0.19483997,"('incompetent', 'competent')",0.2343211,0.19484,-0.0394811
46,-0.54307705,-0.5132188,"('uncompetitive', 'competitive')",-0.5430771,-0.5132188,0.0298583
47,5.5479603,5.6806655,"('stupid', 'smart')",5.5479603,5.6806655,0.1327052
48,0.67948496,0.6311213,"('unintelligent', 'intelligent')",0.679485,0.6311213,-0.0483637
49,0.43597543,0.6299673,"('unable', 'able')",0.4359754,0.6299673,0.1939919
50,-0.13593322,-0.13211037,"('clumsy', 'skillful')",-0.1359332,-0.1321104,0.0038228
51,0.35696033,0.38441563,"('uneducated', 'educated')",0.3569603,0.3844156,0.0274553
52,-0.31964177,-0.33699077,"('irrational', 'rational')",-0.3196418,-0.3369908,-0.017349
53,-0.18453836,-0.17199668,"('uncreative', 'creative')",-0.1845384,-0.1719967,0.0125417
54,1.1511943,1.382412,"('incapable', 'capable')",1.1511943,1.382412,0.2312177
55,0.6932053,0.6513527,"('incompetent', 'clever')",0.6932053,0.6513527,-0.0418526
56,0.65992117,0.6893641,"('impractical', 'practical')",0.6599212,0.6893641,0.0294429
57,-2.8110404,-2.7354293,"('unimaginative', 'imaginative')",-2.8110404,-2.7354293,0.0756111
58,-0.106727056,-0.14520128,"('undiscriminating', 'discriminating')",-0.1067271,-0.1452013,-0.0384742
59,-0.068669006,0.021311186,"('foolish', 'wise')",-0.068669,0.0213112,0.0899802
60,1.2028943,1.2021235,"('inefficient', 'efficient')",1.2028943,1.2021235,-0.0007708
61,0.18228263,0.0062458254,"('illogical', 'logical')",0.1822826,0.0062458,-0.1760368
62,1.0945636,1.2195041,"('incompetent', 'brilliant')",1.0945636,1.2195041,0.1249405
63,0.40958095,0.5025959,"('unperceptive', 'insightful')",0.4095809,0.5025959,0.093015
64,-6.1522703,-6.0125585,"('shy', 'confident')",-6.1522703,-6.0125585,0.1397118
65,0.25825837,0.21330038,"('insecure', 'secure')",0.2582584,0.2133004,-0.044958
66,0.04133994,0.044248164,"('inactive', 'active')",0.0413399,0.0442482,0.0029083
67,-0.03238161,-0.09449524,"('doubtful', 'determined')",-0.0323816,-0.0944952,-0.0621136
68,-0.5706258,-0.47681066,"('dependent', 'independent')",-0.5706258,-0.4768107,0.0938151
69,-2.0000727,-1.9328321,"('lazy', 'industrious')",-2.0000727,-1.9328321,0.0672406
70,1.2981652,1.3800268,"('lethargic', 'energetic')",1.2981652,1.3800268,0.0818616
71,0.3496242,0.35101467,"('diffident', 'self-confident')",0.3496242,0.3510147,0.0013905
72,1.0174394,1.0449009,"('unambitious', 'ambitious')",1.0174394,1.0449009,0.0274615
73,-3.1604667,-3.1341815,"('helpless', 'self-reliant')",-3.1604667,-3.1341815,0.0262852
74,-0.039293453,-0.1640323,"('undedicated', 'dedicated')",-0.0392935,-0.1640323,-0.1247388
75,-0.6839952,-0.49067676,"('meek', 'impulsive')",-0.6839952,-0.4906768,0.1933184
76,0.5696999,0.50470334,"('anxious', 'daring')",0.5696999,0.5047033,-0.0649966
77,-1.1357455,-0.9760034,"('unmotivated', 'motivated')",-1.1357455,-0.9760034,0.1597421
78,-0.6445737,-0.62092936,"('nonresilient', 'resilient')",-0.6445737,-0.6209294,0.0236443
79,-0.38188848,-0.1314482,"('wavering', 'unwavering')",-0.3818885,-0.1314482,0.2504403
80,-0.26110083,-0.3655249,"('dominated', 'dominating')",-0.2611008,-0.3655249,-0.1044241
81,0.27967536,0.33379188,"('submissive', 'aggressive')",0.2796754,0.3337919,0.0541165
82,6.8469095,7.1009912,"('poor', 'rich')",6.8469095,7.1009912,0.2540817
83,-0.15833578,-0.16220765,"('powerless', 'powerful')",-0.1583358,-0.1622076,-0.0038718
84,0.36656186,0.388976,"('inferior', 'superior')",0.3665619,0.388976,0.0224141
85,-1.2151241,-1.2208378,"('insignificant', 'prestigious')",-1.2151241,-1.2208378,-0.0057137
86,0.40120843,0.51924837,"('uninfluential', 'influential')",0.4012084,0.5192484,0.11804
87,-0.104895726,0.05425047,"('unsuccessful', 'successful')",-0.1048957,0.0542505,0.1591462
88,0.1428775,0.24202152,"('low', 'eminent')",0.1428775,0.2420215,0.099144
