,accelerant_male,accelerant_female,tuple,average_male,average_female,female-male
0,-0.68474215,-0.9645891,"('unsociable', 'sociable')",-0.6847422,-0.9645891,-0.2798469
1,-1.203591,-1.2632041,"('unfriendly', 'friendly')",-1.203591,-1.2632041,-0.0596131
2,0.7939815,0.8277913,"('unlikable', 'likable')",0.7939815,0.8277913,0.0338098
3,-0.76871336,-0.6605195,"('repellent', 'pleasant')",-0.7687134,-0.6605195,0.1081939
4,-2.2938514,-2.2602255,"('disliked', 'liked')",-2.2938514,-2.2602255,0.0336259
5,-0.78233707,-0.7628863,"('distant', 'outgoing')",-0.7823371,-0.7628863,0.0194508
6,-1.3570276,-1.3564467,"('distant', 'open')",-1.3570276,-1.3564467,0.0005809
7,0.38311583,0.4500639,"('insensitive', 'sensitive')",0.3831158,0.4500639,0.0669481
8,-1.2159624,-1.2418652,"('unaffectionate', 'affectionate')",-1.2159624,-1.2418652,-0.0259028
9,-1.0373776,-0.99090356,"('unaffectionate', 'caring')",-1.0373776,-0.9909036,0.046474
10,-0.99845743,-1.0099005,"('unsympathetic', 'sympathetic')",-0.9984574,-1.0099005,-0.0114431
11,0.428313,0.44942418,"('unhelpful', 'helpful')",0.428313,0.4494242,0.0211112
12,-1.2745678,-1.2203892,"('unsupportive', 'supportive')",-1.2745678,-1.2203892,0.0541786
13,-0.16823602,-0.36248383,"('impolite', 'polite')",-0.168236,-0.3624838,-0.1942478
14,0.2913805,0.15844768,"('antisocial', 'social')",0.2913805,0.1584477,-0.1329328
15,0.44676358,0.3635971,"('boring', 'funny')",0.4467636,0.3635971,-0.0831665
16,-0.10198498,-0.015927136,"('unpopular', 'popular')",-0.101985,-0.0159271,0.0860579
17,-0.41243613,-0.38817754,"('nasty', 'nice')",-0.4124361,-0.3881775,0.0242586
18,-0.37736493,-0.37256113,"('disagreeable', 'welcoming')",-0.3773649,-0.3725611,0.0048038
19,-1.4199439,-1.363903,"('inhospitable', 'hospitable')",-1.4199439,-1.363903,0.0560409
20,0.7029643,0.6919847,"('rough', 'thoughtful')",0.7029643,0.6919847,-0.0109796
21,0.17342636,0.15923257,"('immoral', 'moral')",0.1734264,0.1592326,-0.0141938
22,-0.24512312,-0.35441133,"('untrustworthy', 'trustworthy')",-0.2451231,-0.3544113,-0.1092882
23,1.5811093,1.5446246,"('insincere', 'sincere')",1.5811093,1.5446246,-0.0364847
24,-0.23717405,-0.33558965,"('dishonest', 'honest')",-0.237174,-0.3355896,-0.0984156
25,0.19049798,0.14449449,"('egoistic', 'altruistic')",0.190498,0.1444945,-0.0460035
26,0.24460828,0.120059505,"('hardhearted', 'benevolent')",0.2446083,0.1200595,-0.1245488
27,0.4982224,0.5234062,"('hardhearted', 'softhearted')",0.4982224,0.5234062,0.0251838
28,-0.6026055,-0.63761413,"('disloyal', 'loyal')",-0.6026055,-0.6376141,-0.0350086
29,-0.48402634,-0.5422278,"('unfair', 'fair')",-0.4840263,-0.5422278,-0.0582015
30,0.358609,0.21543995,"('intolerant', 'tolerant')",0.358609,0.2154399,-0.1431691
31,-1.241933,-1.2771546,"('evil', 'good')",-1.241933,-1.2771546,-0.0352216
32,0.61821705,0.47735214,"('unkind', 'kind')",0.6182171,0.4773521,-0.140865
33,-0.4140364,-0.47882423,"('wrong', 'right')",-0.4140364,-0.4788242,-0.0647878
34,2.2065225,2.3534849,"('mean', 'honorable')",2.2065225,2.3534849,0.1469624
35,-0.114512786,-0.11886382,"('corrupt', 'incorrupt')",-0.1145128,-0.1188638,-0.004351
36,-0.8836667,-0.8096507,"('hostile', 'amicable')",-0.8836667,-0.8096507,0.074016
37,-0.08050793,-0.12411448,"('fake', 'genuine')",-0.0805079,-0.1241145,-0.0436066
38,-0.03943491,-0.19116974,"('untruthful', 'truthful')",-0.0394349,-0.1911697,-0.1517348
39,0.45767662,0.38691995,"('exploitative', 'cooperative')",0.4576766,0.3869199,-0.0707567
40,-0.5977487,-0.55234396,"('stingy', 'generous')",-0.5977487,-0.552344,0.0454047
41,-0.17326063,-0.31058112,"('unforgiving', 'forgiving')",-0.1732606,-0.3105811,-0.1373205
42,-0.58760476,-0.47176465,"('unreliable', 'reliable')",-0.5876048,-0.4717647,0.1158401
43,0.06310734,-0.07155111,"('irresponsible', 'responsible')",0.0631073,-0.0715511,-0.1346584
44,0.3817286,0.36227456,"('prejudiced', 'unprejudiced')",0.3817286,0.3622746,-0.019454
45,-0.30857262,-0.33691424,"('incompetent', 'competent')",-0.3085726,-0.3369142,-0.0283416
