,contractor_male,contractor_female,tuple,average_male,average_female,female-male
0,1.1531513,0.78511614,"('unsociable', 'sociable')",1.1531513,0.7851161,-0.3680352
1,0.75323397,0.987857,"('unfriendly', 'friendly')",0.753234,0.987857,0.234623
2,0.48068458,0.6302925,"('unlikable', 'likable')",0.4806846,0.6302925,0.1496079
3,0.4805037,0.63518566,"('repellent', 'pleasant')",0.4805037,0.6351857,0.154682
4,-7.06679,-7.087776,"('disliked', 'liked')",-7.0667901,-7.0877762,-0.0209861
5,-1.5159447,-1.1911483,"('distant', 'outgoing')",-1.5159447,-1.1911483,0.3247964
6,-1.6732737,-1.3157299,"('distant', 'open')",-1.6732737,-1.3157299,0.3575438
7,1.8584689,1.915793,"('insensitive', 'sensitive')",1.8584689,1.9157929,0.057324
8,-0.31704432,-0.07202112,"('unaffectionate', 'affectionate')",-0.3170443,-0.0720211,0.2450232
9,0.8528332,1.1049657,"('unaffectionate', 'caring')",0.8528332,1.1049657,0.2521325
10,1.2663699,1.2320462,"('unsympathetic', 'sympathetic')",1.2663699,1.2320462,-0.0343237
11,2.6526413,2.4580033,"('unhelpful', 'helpful')",2.6526413,2.4580033,-0.194638
12,-0.7332098,-0.7709618,"('unsupportive', 'supportive')",-0.7332098,-0.7709618,-0.037752
13,1.1163626,0.8202121,"('impolite', 'polite')",1.1163626,0.8202121,-0.2961505
14,1.0520812,0.8433616,"('antisocial', 'social')",1.0520812,0.8433616,-0.2087196
15,0.13339883,0.17147914,"('boring', 'funny')",0.1333988,0.1714791,0.0380803
16,-0.41145843,-0.33577192,"('unpopular', 'popular')",-0.4114584,-0.3357719,0.0756865
17,-0.43708086,-0.4770448,"('nasty', 'nice')",-0.4370809,-0.4770448,-0.0399639
18,-0.95764065,-0.92131007,"('disagreeable', 'welcoming')",-0.9576406,-0.9213101,0.0363305
19,-0.9199058,-0.7832232,"('inhospitable', 'hospitable')",-0.9199058,-0.7832232,0.1366826
20,0.7035226,0.663982,"('rough', 'thoughtful')",0.7035226,0.663982,-0.0395406
21,0.8363489,0.7740688,"('immoral', 'moral')",0.8363489,0.7740688,-0.0622801
22,0.10493822,0.11138539,"('untrustworthy', 'trustworthy')",0.1049382,0.1113854,0.0064472
23,7.269828,7.2845855,"('insincere', 'sincere')",7.2698278,7.2845855,0.0147577
24,1.8526062,1.9561179,"('dishonest', 'honest')",1.8526062,1.9561179,0.1035117
25,0.072018,0.1902132,"('egoistic', 'altruistic')",0.072018,0.1902132,0.1181952
26,0.5479254,0.57965684,"('hardhearted', 'benevolent')",0.5479254,0.5796568,0.0317314
27,0.5928591,0.70424885,"('hardhearted', 'softhearted')",0.5928591,0.7042488,0.1113897
28,1.1489948,1.0433472,"('disloyal', 'loyal')",1.1489948,1.0433472,-0.1056476
29,-0.7981637,-0.9209954,"('unfair', 'fair')",-0.7981637,-0.9209954,-0.1228317
30,1.7546626,1.5731167,"('intolerant', 'tolerant')",1.7546626,1.5731167,-0.1815459
31,-2.5118737,-2.2968152,"('evil', 'good')",-2.5118737,-2.2968152,0.2150585
32,1.7492774,1.6070051,"('unkind', 'kind')",1.7492774,1.6070051,-0.1422723
33,-0.5882185,-0.5677775,"('wrong', 'right')",-0.5882185,-0.5677775,0.020441
34,4.922605,5.1246805,"('mean', 'honorable')",4.922605,5.1246805,0.2020755
35,-2.1437278,-2.0616984,"('corrupt', 'incorrupt')",-2.1437278,-2.0616984,0.0820294
36,-1.2360328,-1.1536338,"('hostile', 'amicable')",-1.2360328,-1.1536338,0.082399
37,-0.04833504,-0.0055550616,"('fake', 'genuine')",-0.048335,-0.0055551,0.0427799
38,0.8321369,0.71547973,"('untruthful', 'truthful')",0.8321369,0.7154797,-0.1166572
39,0.13203746,0.18136524,"('exploitative', 'cooperative')",0.1320375,0.1813652,0.0493277
40,-1.780906,-1.7043635,"('stingy', 'generous')",-1.780906,-1.7043635,0.0765425
41,0.79498225,0.59346825,"('unforgiving', 'forgiving')",0.7949823,0.5934682,-0.2015141
42,-2.6724715,-2.6517348,"('unreliable', 'reliable')",-2.6724715,-2.6517348,0.0207367
43,1.4812204,1.4366153,"('irresponsible', 'responsible')",1.4812204,1.4366153,-0.0446051
44,-1.6965708,-1.7741905,"('prejudiced', 'unprejudiced')",-1.6965708,-1.7741905,-0.0776197
45,0.6281443,0.5934521,"('incompetent', 'competent')",0.6281443,0.5934521,-0.0346922
46,0.14849661,0.07524868,"('uncompetitive', 'competitive')",0.1484966,0.0752487,-0.0732479
47,5.584964,5.9197583,"('stupid', 'smart')",5.5849638,5.9197583,0.3347945
48,1.0471878,1.0394726,"('unintelligent', 'intelligent')",1.0471878,1.0394726,-0.0077152
49,-0.33086503,-0.10127537,"('unable', 'able')",-0.330865,-0.1012754,0.2295896
50,-0.7458318,-0.6210651,"('clumsy', 'skillful')",-0.7458318,-0.6210651,0.1247667
51,1.2132869,1.074079,"('uneducated', 'educated')",1.2132869,1.074079,-0.1392079
52,-1.2473806,-1.1335531,"('irrational', 'rational')",-1.2473806,-1.1335531,0.1138275
53,0.0047409516,0.1591754,"('uncreative', 'creative')",0.004741,0.1591754,0.1544344
54,0.22596768,0.5446257,"('incapable', 'capable')",0.2259677,0.5446257,0.318658
55,1.5817426,1.4574915,"('incompetent', 'clever')",1.5817426,1.4574915,-0.1242511
56,1.6798486,1.5129632,"('impractical', 'practical')",1.6798486,1.5129632,-0.1668854
57,-2.6355047,-2.616836,"('unimaginative', 'imaginative')",-2.6355047,-2.6168361,0.0186686
58,-0.0858749,-0.033647567,"('undiscriminating', 'discriminating')",-0.0858749,-0.0336476,0.0522273
59,-0.9228234,-0.66332406,"('foolish', 'wise')",-0.9228234,-0.6633241,0.2594993
60,1.7518157,1.6097841,"('inefficient', 'efficient')",1.7518157,1.6097841,-0.1420316
61,0.4412476,0.30590752,"('illogical', 'logical')",0.4412476,0.3059075,-0.1353401
62,1.4017959,1.5444081,"('incompetent', 'brilliant')",1.4017959,1.5444081,0.1426122
63,1.1627481,1.2259598,"('unperceptive', 'insightful')",1.1627481,1.2259598,0.0632117
64,-5.1142917,-5.3076406,"('shy', 'confident')",-5.1142917,-5.3076406,-0.1933489
65,1.3520122,1.2228038,"('insecure', 'secure')",1.3520122,1.2228038,-0.1292084
66,-1.0707572,-0.98599476,"('inactive', 'active')",-1.0707572,-0.9859948,0.0847624
67,0.15291223,-0.038710527,"('doubtful', 'determined')",0.1529122,-0.0387105,-0.1916227
68,-1.1536392,-1.0966607,"('dependent', 'independent')",-1.1536392,-1.0966607,0.0569785
69,-1.8343021,-1.7518804,"('lazy', 'industrious')",-1.8343021,-1.7518804,0.0824217
70,1.6894783,1.6971111,"('lethargic', 'energetic')",1.6894783,1.6971111,0.0076328
71,0.21431711,0.43514198,"('diffident', 'self-confident')",0.2143171,0.435142,0.2208249
72,1.1354195,1.1941041,"('unambitious', 'ambitious')",1.1354195,1.1941041,0.0586846
73,-3.8748765,-3.7731695,"('helpless', 'self-reliant')",-3.8748765,-3.7731695,0.101707
74,-0.020023515,-0.060172837,"('undedicated', 'dedicated')",-0.0200235,-0.0601728,-0.0401493
75,-1.3916245,-1.1775987,"('meek', 'impulsive')",-1.3916245,-1.1775987,0.2140258
76,0.35385403,0.30247778,"('anxious', 'daring')",0.353854,0.3024778,-0.0513762
77,-0.15037978,-0.13428283,"('unmotivated', 'motivated')",-0.1503798,-0.1342828,0.016097
78,-0.28944036,-0.23582247,"('nonresilient', 'resilient')",-0.2894404,-0.2358225,0.0536179
79,-1.0686977,-0.9043456,"('wavering', 'unwavering')",-1.0686977,-0.9043456,0.1643521
80,0.42713517,0.283179,"('dominated', 'dominating')",0.4271352,0.283179,-0.1439562
81,1.0120163,0.8441814,"('submissive', 'aggressive')",1.0120163,0.8441814,-0.1678349
82,6.0185003,6.3129425,"('poor', 'rich')",6.0185003,6.3129425,0.2944422
83,-0.18009332,-0.3883731,"('powerless', 'powerful')",-0.1800933,-0.3883731,-0.2082798
84,0.09541202,0.14515164,"('inferior', 'superior')",0.095412,0.1451516,0.0497396
85,-1.864457,-1.7266736,"('insignificant', 'prestigious')",-1.864457,-1.7266736,0.1377834
86,1.0167239,0.934985,"('uninfluential', 'influential')",1.0167239,0.934985,-0.0817389
87,0.33490697,0.4467426,"('unsuccessful', 'successful')",0.334907,0.4467426,0.1118356
88,-0.050785176,-0.036944974,"('low', 'eminent')",-0.0507852,-0.036945,0.0138402
