,desire_male,desire_female,tuple,average_male,average_female,female-male
0,0.14708963,-0.05209208,"('unsociable', 'sociable')",0.1470896,-0.0520921,-0.1991817
1,1.0884203,1.0601025,"('unfriendly', 'friendly')",1.0884203,1.0601025,-0.0283178
2,0.4307908,0.5929597,"('unlikable', 'likable')",0.4307908,0.5929597,0.1621689
3,0.83839947,1.0242101,"('repellent', 'pleasant')",0.8383995,1.0242101,0.1858106
4,-7.391781,-7.3587594,"('disliked', 'liked')",-7.3917809,-7.3587594,0.0330215
5,-0.692848,-0.45325205,"('distant', 'outgoing')",-0.692848,-0.453252,0.239596
6,-0.29346222,-0.057438027,"('distant', 'open')",-0.2934622,-0.057438,0.2360242
7,0.6500807,0.66646063,"('insensitive', 'sensitive')",0.6500807,0.6664606,0.0163799
8,1.036016,1.0427532,"('unaffectionate', 'affectionate')",1.036016,1.0427532,0.0067372
9,1.4187131,1.5628831,"('unaffectionate', 'caring')",1.4187131,1.5628831,0.14417
10,1.5384477,1.5911325,"('unsympathetic', 'sympathetic')",1.5384477,1.5911325,0.0526848
11,2.1743603,2.1561615,"('unhelpful', 'helpful')",2.1743603,2.1561615,-0.0181988
12,-1.7024027,-1.7016255,"('unsupportive', 'supportive')",-1.7024027,-1.7016255,0.0007772
13,0.47449547,0.32096985,"('impolite', 'polite')",0.4744955,0.3209698,-0.1535257
14,-0.040191427,-0.24504799,"('antisocial', 'social')",-0.0401914,-0.245048,-0.2048566
15,0.31211495,0.1353159,"('boring', 'funny')",0.312115,0.1353159,-0.1767991
16,-0.5346925,-0.3960488,"('unpopular', 'popular')",-0.5346925,-0.3960488,0.1386437
17,-0.10695009,-0.07369931,"('nasty', 'nice')",-0.1069501,-0.0736993,0.0332508
18,-0.6747489,-0.8164995,"('disagreeable', 'welcoming')",-0.6747489,-0.8164995,-0.1417506
19,-0.889381,-0.6915306,"('inhospitable', 'hospitable')",-0.889381,-0.6915306,0.1978504
20,0.9167719,0.75552106,"('rough', 'thoughtful')",0.9167719,0.7555211,-0.1612508
21,0.25824055,0.3307622,"('immoral', 'moral')",0.2582406,0.3307622,0.0725216
22,-0.3715113,-0.40662828,"('untrustworthy', 'trustworthy')",-0.3715113,-0.4066283,-0.035117
23,6.3416,6.301873,"('insincere', 'sincere')",6.3415999,6.3018732,-0.0397267
24,1.7764547,1.739445,"('dishonest', 'honest')",1.7764547,1.739445,-0.0370097
25,0.36588717,0.25276732,"('egoistic', 'altruistic')",0.3658872,0.2527673,-0.1131199
26,0.24363467,0.0696816,"('hardhearted', 'benevolent')",0.2436347,0.0696816,-0.1739531
27,1.6136576,1.5268606,"('hardhearted', 'softhearted')",1.6136576,1.5268606,-0.086797
28,1.3700784,1.3646109,"('disloyal', 'loyal')",1.3700784,1.3646109,-0.0054675
29,-0.68425584,-0.79691803,"('unfair', 'fair')",-0.6842558,-0.796918,-0.1126622
30,0.98724484,0.9332222,"('intolerant', 'tolerant')",0.9872448,0.9332222,-0.0540226
31,-2.065703,-1.9812913,"('evil', 'good')",-2.0657029,-1.9812913,0.0844116
32,1.5485286,1.4334178,"('unkind', 'kind')",1.5485286,1.4334178,-0.1151108
33,-0.5921094,-0.517592,"('wrong', 'right')",-0.5921094,-0.517592,0.0745174
34,4.450557,4.66368,"('mean', 'honorable')",4.4505572,4.6636801,0.2131229
35,-1.3544825,-1.4258022,"('corrupt', 'incorrupt')",-1.3544825,-1.4258022,-0.0713197
36,-1.3985611,-1.3701292,"('hostile', 'amicable')",-1.3985611,-1.3701292,0.0284319
37,1.0603946,1.0356675,"('fake', 'genuine')",1.0603946,1.0356675,-0.0247271
38,-0.078721926,-0.047018886,"('untruthful', 'truthful')",-0.0787219,-0.0470189,0.031703
39,-0.024563543,-0.08954169,"('exploitative', 'cooperative')",-0.0245635,-0.0895417,-0.0649782
40,-1.7758579,-1.9765109,"('stingy', 'generous')",-1.7758579,-1.9765109,-0.200653
41,0.24512447,0.2086638,"('unforgiving', 'forgiving')",0.2451245,0.2086638,-0.0364607
42,-2.0611174,-2.0795474,"('unreliable', 'reliable')",-2.0611174,-2.0795474,-0.01843
43,1.2678823,1.3082132,"('irresponsible', 'responsible')",1.2678823,1.3082132,0.0403309
44,-1.1640041,-1.2133292,"('prejudiced', 'unprejudiced')",-1.1640041,-1.2133292,-0.0493251
45,0.33814922,0.35479495,"('incompetent', 'competent')",0.3381492,0.3547949,0.0166457
46,-0.19820642,-0.16626747,"('uncompetitive', 'competitive')",-0.1982064,-0.1662675,0.0319389
47,5.2264776,5.4213877,"('stupid', 'smart')",5.2264776,5.4213877,0.1949101
48,0.78595936,0.6156076,"('unintelligent', 'intelligent')",0.7859594,0.6156076,-0.1703518
49,0.16137531,0.35912892,"('unable', 'able')",0.1613753,0.3591289,0.1977536
50,-0.13864003,-0.11909945,"('clumsy', 'skillful')",-0.13864,-0.1190995,0.0195405
51,0.67867017,0.51399064,"('uneducated', 'educated')",0.6786702,0.5139906,-0.1646796
52,-0.58672345,-0.5259873,"('irrational', 'rational')",-0.5867234,-0.5259873,0.0607361
53,-0.06370927,-0.063661404,"('uncreative', 'creative')",-0.0637093,-0.0636614,4.79e-05
54,1.0030142,1.2356584,"('incapable', 'capable')",1.0030142,1.2356584,0.2326442
55,0.9939619,0.8458711,"('incompetent', 'clever')",0.9939619,0.8458711,-0.1480908
56,0.73984814,0.7079408,"('impractical', 'practical')",0.7398481,0.7079408,-0.0319073
57,-2.416884,-2.4044445,"('unimaginative', 'imaginative')",-2.4168839,-2.4044445,0.0124394
58,-0.14413802,-0.25365415,"('undiscriminating', 'discriminating')",-0.144138,-0.2536542,-0.1095162
59,-0.3343724,-0.21399522,"('foolish', 'wise')",-0.3343724,-0.2139952,0.1203772
60,1.1199824,1.0744394,"('inefficient', 'efficient')",1.1199824,1.0744394,-0.045543
61,0.12087342,-0.06719693,"('illogical', 'logical')",0.1208734,-0.0671969,-0.1880703
62,1.387466,1.4302561,"('incompetent', 'brilliant')",1.387466,1.4302561,0.0427901
63,0.5381682,0.55053973,"('unperceptive', 'insightful')",0.5381682,0.5505397,0.0123715
64,-5.9446154,-5.789638,"('shy', 'confident')",-5.9446154,-5.789638,0.1549774
65,0.51663005,0.41415912,"('insecure', 'secure')",0.5166301,0.4141591,-0.102471
66,-0.31699038,-0.26742426,"('inactive', 'active')",-0.3169904,-0.2674243,0.0495661
67,-0.29638475,-0.31072855,"('doubtful', 'determined')",-0.2963848,-0.3107285,-0.0143437
68,-0.58350617,-0.5741452,"('dependent', 'independent')",-0.5835062,-0.5741452,0.009361
69,-2.3171268,-2.1638021,"('lazy', 'industrious')",-2.3171268,-2.1638021,0.1533247
70,1.3690525,1.4166329,"('lethargic', 'energetic')",1.3690525,1.4166329,0.0475804
71,-0.012123827,0.046172164,"('diffident', 'self-confident')",-0.0121238,0.0461722,0.058296
72,1.05849,1.0748804,"('unambitious', 'ambitious')",1.05849,1.0748804,0.0163904
