,formicarium_male,formicarium_female,tuple,average_male,average_female,female-male
0,0.3562967,0.12059188,"('unsociable', 'sociable')",0.3562967,0.1205919,-0.2357048
1,-1.0412257,-1.2240189,"('unfriendly', 'friendly')",-1.0412257,-1.2240189,-0.1827932
2,0.15707003,0.141244,"('unlikable', 'likable')",0.15707,0.141244,-0.015826
3,-0.44663206,-0.25412977,"('repellent', 'pleasant')",-0.4466321,-0.2541298,0.1925023
4,-2.762731,-2.9107919,"('disliked', 'liked')",-2.7627311,-2.9107919,-0.1480608
5,-1.2731825,-1.6218976,"('distant', 'outgoing')",-1.2731825,-1.6218976,-0.3487151
6,-1.3363045,-1.6739208,"('distant', 'open')",-1.3363045,-1.6739208,-0.3376163
7,-0.16220228,-0.0125611015,"('insensitive', 'sensitive')",-0.1622023,-0.0125611,0.1496412
8,-1.3994443,-1.602281,"('unaffectionate', 'affectionate')",-1.3994443,-1.602281,-0.2028367
9,-1.1390054,-1.3067092,"('unaffectionate', 'caring')",-1.1390054,-1.3067092,-0.1677038
10,0.14838392,0.06896804,"('unsympathetic', 'sympathetic')",0.1483839,0.068968,-0.0794159
11,0.6908004,0.82573783,"('unhelpful', 'helpful')",0.6908004,0.8257378,0.1349374
12,-1.0855955,-1.0927383,"('unsupportive', 'supportive')",-1.0855955,-1.0927383,-0.0071428
13,0.00822562,0.10071704,"('impolite', 'polite')",0.0082256,0.100717,0.0924914
14,0.94413906,1.1110228,"('antisocial', 'social')",0.9441391,1.1110228,0.1668837
15,0.16130652,0.08373827,"('boring', 'funny')",0.1613065,0.0837383,-0.0775682
16,-1.3799282,-1.1479372,"('unpopular', 'popular')",-1.3799282,-1.1479372,0.231991
17,-0.4019184,-0.31945688,"('nasty', 'nice')",-0.4019184,-0.3194569,0.0824615
18,-1.4565251,-1.2731844,"('disagreeable', 'welcoming')",-1.4565251,-1.2731844,0.1833407
19,-1.1344637,-1.4806901,"('inhospitable', 'hospitable')",-1.1344637,-1.4806901,-0.3462264
20,0.59125143,0.7765211,"('rough', 'thoughtful')",0.5912514,0.7765211,0.1852697
21,-0.09544024,0.16797717,"('immoral', 'moral')",-0.0954402,0.1679772,0.2634174
22,0.4655665,0.5180832,"('untrustworthy', 'trustworthy')",0.4655665,0.5180832,0.0525167
23,1.8724116,2.0837045,"('insincere', 'sincere')",1.8724116,2.0837045,0.2112929
24,0.24965134,0.21394612,"('dishonest', 'honest')",0.2496513,0.2139461,-0.0357052
25,-0.40369385,-0.54782885,"('egoistic', 'altruistic')",-0.4036939,-0.5478289,-0.144135
26,1.5957748,1.0608182,"('hardhearted', 'benevolent')",1.5957748,1.0608182,-0.5349566
27,0.11331489,0.03620176,"('hardhearted', 'softhearted')",0.1133149,0.0362018,-0.0771131
28,0.43176967,0.23761085,"('disloyal', 'loyal')",0.4317697,0.2376108,-0.1941589
29,-0.24137443,-0.24609277,"('unfair', 'fair')",-0.2413744,-0.2460928,-0.0047184
30,0.44557375,0.53528816,"('intolerant', 'tolerant')",0.4455737,0.5352882,0.0897145
31,-1.4552832,-1.7176192,"('evil', 'good')",-1.4552832,-1.7176192,-0.262336
32,0.77597946,0.61717093,"('unkind', 'kind')",0.7759795,0.6171709,-0.1588086
33,-0.31146622,-0.48329714,"('wrong', 'right')",-0.3114662,-0.4832971,-0.1718309
34,1.754675,1.9352484,"('mean', 'honorable')",1.754675,1.9352484,0.1805734
35,-0.056602884,-0.52040064,"('corrupt', 'incorrupt')",-0.0566029,-0.5204006,-0.4637977
36,-0.6300205,-1.134525,"('hostile', 'amicable')",-0.6300205,-1.1345249,-0.5045044
37,-0.0343415,0.12562265,"('fake', 'genuine')",-0.0343415,0.1256226,0.1599641
38,-0.34178418,-0.352521,"('untruthful', 'truthful')",-0.3417842,-0.352521,-0.0107368
39,0.21816057,0.32734114,"('exploitative', 'cooperative')",0.2181606,0.3273411,0.1091805
40,-0.22296898,-0.3469579,"('stingy', 'generous')",-0.222969,-0.3469579,-0.1239889
41,0.6485237,0.5154193,"('unforgiving', 'forgiving')",0.6485237,0.5154193,-0.1331044
42,0.06825936,0.0070314594,"('unreliable', 'reliable')",0.0682594,0.0070315,-0.0612279
43,0.15948245,0.42530212,"('irresponsible', 'responsible')",0.1594824,0.4253021,0.2658197
44,-0.024053913,0.10822051,"('prejudiced', 'unprejudiced')",-0.0240539,0.1082205,0.1322744
45,0.5002139,0.49213484,"('incompetent', 'competent')",0.5002139,0.4921348,-0.0080791
46,-0.8385682,-0.6497264,"('uncompetitive', 'competitive')",-0.8385682,-0.6497264,0.1888418
47,2.1492994,2.2913501,"('stupid', 'smart')",2.1492994,2.2913501,0.1420507
48,0.42551354,0.70407766,"('unintelligent', 'intelligent')",0.4255135,0.7040777,0.2785642
49,-0.56688976,-0.24855307,"('unable', 'able')",-0.5668898,-0.2485531,0.3183367
50,0.11726805,0.11883917,"('clumsy', 'skillful')",0.117268,0.1188392,0.0015712
51,-0.30324858,-0.2642052,"('uneducated', 'educated')",-0.3032486,-0.2642052,0.0390434
52,-1.1525595,-1.3514757,"('irrational', 'rational')",-1.1525595,-1.3514757,-0.1989162
53,-1.531758,-1.6511847,"('uncreative', 'creative')",-1.531758,-1.6511847,-0.1194267
54,-0.41362584,-0.6252177,"('incapable', 'capable')",-0.4136258,-0.6252177,-0.2115919
55,0.07869616,0.47381574,"('incompetent', 'clever')",0.0786962,0.4738157,0.3951195
56,0.6436674,0.7756624,"('impractical', 'practical')",0.6436674,0.7756624,0.131995
57,-1.2867333,-1.4019531,"('unimaginative', 'imaginative')",-1.2867333,-1.4019531,-0.1152198
58,0.4616787,0.2848955,"('undiscriminating', 'discriminating')",0.4616787,0.2848955,-0.1767832
59,-0.4513506,-0.53240013,"('foolish', 'wise')",-0.4513506,-0.5324001,-0.0810495
60,0.42854553,1.021167,"('inefficient', 'efficient')",0.4285455,1.021167,0.5926215
61,-0.10201385,-0.31760886,"('illogical', 'logical')",-0.1020138,-0.3176089,-0.2155951
62,0.42879483,0.82327163,"('incompetent', 'brilliant')",0.4287948,0.8232716,0.3944768
63,-0.1181752,0.07517311,"('unperceptive', 'insightful')",-0.1181752,0.0751731,0.1933483
64,-2.2288373,-2.2153318,"('shy', 'confident')",-2.2288373,-2.2153318,0.0135055
65,1.1657128,1.2769122,"('insecure', 'secure')",1.1657128,1.2769122,0.1111994
66,-0.57850695,-1.0085925,"('inactive', 'active')",-0.5785069,-1.0085925,-0.4300856
67,0.5252463,0.5477829,"('doubtful', 'determined')",0.5252463,0.5477829,0.0225366
68,-0.6515745,-0.49783796,"('dependent', 'independent')",-0.6515745,-0.497838,0.1537365
69,0.012015725,-0.24860498,"('lazy', 'industrious')",0.0120157,-0.248605,-0.2606207
70,0.87614584,0.80496883,"('lethargic', 'energetic')",0.8761458,0.8049688,-0.071177
71,-0.42009217,-0.47525844,"('diffident', 'self-confident')",-0.4200922,-0.4752584,-0.0551662
72,-0.017324243,0.06724315,"('unambitious', 'ambitious')",-0.0173242,0.0672432,0.0845674
73,-0.5293058,-0.50739855,"('helpless', 'self-reliant')",-0.5293058,-0.5073985,0.0219073
74,0.0012261067,-0.0880577,"('undedicated', 'dedicated')",0.0012261,-0.0880577,-0.0892838
75,-0.51690954,-0.6209715,"('meek', 'impulsive')",-0.5169095,-0.6209715,-0.104062
76,0.15366597,0.5288079,"('anxious', 'daring')",0.153666,0.5288079,0.3751419
