,cupboard_male,cupboard_female,tuple,average_male,average_female,female-male
0,-0.18118928,-0.20783778,"('unsociable', 'sociable')",-0.1811893,-0.2078378,-0.0266485
1,2.0863626,2.0239623,"('unfriendly', 'friendly')",2.0863626,2.0239623,-0.0624003
2,-0.013648316,0.19702585,"('unlikable', 'likable')",-0.0136483,0.1970259,0.2106742
3,0.79139346,1.0334674,"('repellent', 'pleasant')",0.7913935,1.0334674,0.2420739
4,-6.569264,-6.772984,"('disliked', 'liked')",-6.5692639,-6.772984,-0.2037201
5,-0.19657375,-0.1340447,"('distant', 'outgoing')",-0.1965737,-0.1340447,0.062529
6,0.31379536,0.28141192,"('distant', 'open')",0.3137954,0.2814119,-0.0323835
7,1.555922,1.6802858,"('insensitive', 'sensitive')",1.555922,1.6802858,0.1243638
8,1.4260479,1.3928046,"('unaffectionate', 'affectionate')",1.4260479,1.3928046,-0.0332433
9,1.6333647,1.786293,"('unaffectionate', 'caring')",1.6333647,1.786293,0.1529283
10,0.75187683,0.88068503,"('unsympathetic', 'sympathetic')",0.7518768,0.880685,0.1288082
11,1.7437414,2.0705698,"('unhelpful', 'helpful')",1.7437414,2.0705698,0.3268284
12,-1.3049585,-1.2247515,"('unsupportive', 'supportive')",-1.3049585,-1.2247515,0.080207
13,-0.44301257,-0.23596902,"('impolite', 'polite')",-0.4430126,-0.235969,0.2070436
14,-0.35493007,-0.35476404,"('antisocial', 'social')",-0.3549301,-0.354764,0.0001661
15,0.7655485,0.6973273,"('boring', 'funny')",0.7655485,0.6973273,-0.0682212
16,-0.6164125,-0.4995453,"('unpopular', 'popular')",-0.6164125,-0.4995453,0.1168672
17,-0.15641062,-0.10825374,"('nasty', 'nice')",-0.1564106,-0.1082537,0.0481569
18,-0.6095617,-0.5142154,"('disagreeable', 'welcoming')",-0.6095617,-0.5142154,0.0953463
19,-0.35341108,-0.23545921,"('inhospitable', 'hospitable')",-0.3534111,-0.2354592,0.1179519
20,1.1086165,0.9016669,"('rough', 'thoughtful')",1.1086165,0.9016669,-0.2069496
21,-0.62882257,-0.38602906,"('immoral', 'moral')",-0.6288226,-0.3860291,0.2427935
22,-0.62856776,-0.4791395,"('untrustworthy', 'trustworthy')",-0.6285678,-0.4791395,0.1494283
23,6.423693,6.7764096,"('insincere', 'sincere')",6.4236932,6.7764096,0.3527164
24,1.7601193,1.9272507,"('dishonest', 'honest')",1.7601193,1.9272507,0.1671314
25,1.2423633,1.2371104,"('egoistic', 'altruistic')",1.2423633,1.2371104,-0.0052529
26,1.1897676,0.7365784,"('hardhearted', 'benevolent')",1.1897676,0.7365784,-0.4531892
27,2.0296166,1.8625529,"('hardhearted', 'softhearted')",2.0296166,1.8625529,-0.1670637
28,1.1438737,1.0818261,"('disloyal', 'loyal')",1.1438737,1.0818261,-0.0620476
29,-0.23072523,-0.42301106,"('unfair', 'fair')",-0.2307252,-0.4230111,-0.1922859
30,0.6623992,0.87466437,"('intolerant', 'tolerant')",0.6623992,0.8746644,0.2122652
31,-0.5360154,-0.7230635,"('evil', 'good')",-0.5360154,-0.7230635,-0.1870481
32,1.3737788,1.2955599,"('unkind', 'kind')",1.3737788,1.2955599,-0.0782189
33,-0.16302402,-0.055355035,"('wrong', 'right')",-0.163024,-0.055355,0.107669
34,4.3104267,4.760774,"('mean', 'honorable')",4.3104267,4.7607741,0.4503474
35,-0.6274853,-0.8658701,"('corrupt', 'incorrupt')",-0.6274853,-0.8658701,-0.2383848
36,-0.6851417,-0.96973157,"('hostile', 'amicable')",-0.6851417,-0.9697316,-0.2845899
37,1.093874,1.0553895,"('fake', 'genuine')",1.093874,1.0553895,-0.0384845
38,0.15143698,0.42603144,"('untruthful', 'truthful')",0.151437,0.4260314,0.2745944
39,0.060930364,0.121854216,"('exploitative', 'cooperative')",0.0609304,0.1218542,0.0609238
40,-0.987843,-1.1821117,"('stingy', 'generous')",-0.987843,-1.1821117,-0.1942687
41,0.28425008,0.09641144,"('unforgiving', 'forgiving')",0.2842501,0.0964114,-0.1878387
42,-2.7525818,-2.6938741,"('unreliable', 'reliable')",-2.7525818,-2.6938741,0.0587077
43,0.8543869,1.1052276,"('irresponsible', 'responsible')",0.8543869,1.1052276,0.2508407
44,-1.6294986,-1.76656,"('prejudiced', 'unprejudiced')",-1.6294986,-1.76656,-0.1370614
45,0.5640352,0.5391677,"('incompetent', 'competent')",0.5640352,0.5391677,-0.0248675
46,-0.9917069,-0.92382497,"('uncompetitive', 'competitive')",-0.9917069,-0.923825,0.0678819
47,4.7848344,5.027028,"('stupid', 'smart')",4.7848344,5.0270281,0.2421937
48,0.29400808,0.3647975,"('unintelligent', 'intelligent')",0.2940081,0.3647975,0.0707894
49,-0.12602322,0.065372154,"('unable', 'able')",-0.1260232,0.0653722,0.1913954
50,-0.382263,-0.3173172,"('clumsy', 'skillful')",-0.382263,-0.3173172,0.0649458
51,0.3993511,0.5861007,"('uneducated', 'educated')",0.3993511,0.5861007,0.1867496
52,-0.16228952,-0.37379003,"('irrational', 'rational')",-0.1622895,-0.37379,-0.2115005
53,0.41790503,0.31664968,"('uncreative', 'creative')",0.417905,0.3166497,-0.1012553
54,1.0318161,1.2861975,"('incapable', 'capable')",1.0318161,1.2861975,0.2543814
55,0.7799911,0.9576383,"('incompetent', 'clever')",0.7799911,0.9576383,0.1776472
56,0.317136,0.5284304,"('impractical', 'practical')",0.317136,0.5284304,0.2112944
57,-2.006386,-2.2093017,"('unimaginative', 'imaginative')",-2.006386,-2.2093017,-0.2029157
58,0.67777824,0.62140787,"('undiscriminating', 'discriminating')",0.6777782,0.6214079,-0.0563703
59,-0.10939059,-0.12928998,"('foolish', 'wise')",-0.1093906,-0.12929,-0.0198994
60,-0.03834571,0.35960793,"('inefficient', 'efficient')",-0.0383457,0.3596079,0.3979536
61,0.5321183,0.45423114,"('illogical', 'logical')",0.5321183,0.4542311,-0.0778872
62,0.5666119,0.95668745,"('incompetent', 'brilliant')",0.5666119,0.9566875,0.3900756
63,0.24438539,0.4909019,"('unperceptive', 'insightful')",0.2443854,0.4909019,0.2465165
64,-6.709986,-6.6036954,"('shy', 'confident')",-6.7099862,-6.6036954,0.1062908
65,-0.35957068,-0.03987611,"('insecure', 'secure')",-0.3595707,-0.0398761,0.3196946
66,0.056206763,-0.2207602,"('inactive', 'active')",0.0562068,-0.2207602,-0.276967
67,-0.6442081,-0.6268952,"('doubtful', 'determined')",-0.6442081,-0.6268952,0.0173129
68,-1.1308614,-0.861331,"('dependent', 'independent')",-1.1308614,-0.861331,0.2695304
69,-1.8440098,-1.9882379,"('lazy', 'industrious')",-1.8440098,-1.9882379,-0.1442281
70,1.388926,1.447969,"('lethargic', 'energetic')",1.388926,1.447969,0.059043
71,0.36714318,0.3511597,"('diffident', 'self-confident')",0.3671432,0.3511597,-0.0159835
72,0.72641385,0.93041,"('unambitious', 'ambitious')",0.7264138,0.93041,0.2039962
73,-2.7600021,-2.6177347,"('helpless', 'self-reliant')",-2.7600021,-2.6177347,0.1422674
74,0.56433564,0.45704827,"('undedicated', 'dedicated')",0.5643356,0.4570483,-0.1072873
75,-0.7766366,-0.8319129,"('meek', 'impulsive')",-0.7766366,-0.8319129,-0.0552763
76,0.41017833,0.3873286,"('anxious', 'daring')",0.4101783,0.3873286,-0.0228497
77,-1.632242,-1.4145064,"('unmotivated', 'motivated')",-1.632242,-1.4145064,0.2177356
78,-0.9217489,-0.97279394,"('nonresilient', 'resilient')",-0.9217489,-0.9727939,-0.051045
79,0.0048279427,-0.11519448,"('wavering', 'unwavering')",0.0048279,-0.1151945,-0.1200224
80,-0.11472733,-0.22191392,"('dominated', 'dominating')",-0.1147273,-0.2219139,-0.1071866
81,-0.51175636,-0.39614773,"('submissive', 'aggressive')",-0.5117564,-0.3961477,0.1156087
82,6.378445,6.685781,"('poor', 'rich')",6.3784451,6.685781,0.3073359
83,-0.7087429,-0.70221734,"('powerless', 'powerful')",-0.7087429,-0.7022173,0.0065256
84,0.46574894,0.4237873,"('inferior', 'superior')",0.4657489,0.4237873,-0.0419616
85,-0.45926195,-0.6338535,"('insignificant', 'prestigious')",-0.459262,-0.6338535,-0.1745915
86,0.62974405,0.6097131,"('uninfluential', 'influential')",0.6297441,0.6097131,-0.020031
87,0.25872612,0.44149026,"('unsuccessful', 'successful')",0.2587261,0.4414903,0.1827642
88,0.53597474,0.51621795,"('low', 'eminent')",0.5359747,0.5162179,-0.0197568
