,slavery_male,slavery_female,tuple,average_male,average_female,female-male
0,0.15429962,0.21315888,"('unsociable', 'sociable')",0.1542996,0.2131589,0.0588593
1,1.2984463,1.2499616,"('unfriendly', 'friendly')",1.2984463,1.2499616,-0.0484847
2,0.63990825,0.7807201,"('unlikable', 'likable')",0.6399083,0.7807201,0.1408118
3,0.8157609,1.0788324,"('repellent', 'pleasant')",0.8157609,1.0788324,0.2630715
4,-7.540959,-7.356097,"('disliked', 'liked')",-7.5409589,-7.3560972,0.1848617
5,-0.10114697,-0.11772302,"('distant', 'outgoing')",-0.101147,-0.117723,-0.016576
6,0.13172832,0.07648938,"('distant', 'open')",0.1317283,0.0764894,-0.0552389
7,1.3760024,1.5028611,"('insensitive', 'sensitive')",1.3760024,1.5028611,0.1268587
8,1.0817755,0.95462495,"('unaffectionate', 'affectionate')",1.0817755,0.954625,-0.1271505
9,1.5977634,1.5260006,"('unaffectionate', 'caring')",1.5977634,1.5260006,-0.0717628
10,1.4554933,1.6381581,"('unsympathetic', 'sympathetic')",1.4554933,1.6381581,0.1826648
11,2.1251142,2.1884031,"('unhelpful', 'helpful')",2.1251142,2.1884031,0.0632889
12,-1.0269448,-0.91460735,"('unsupportive', 'supportive')",-1.0269448,-0.9146073,0.1123375
13,0.37366652,0.43234465,"('impolite', 'polite')",0.3736665,0.4323446,0.0586781
14,0.35764787,0.4175059,"('antisocial', 'social')",0.3576479,0.4175059,0.059858
15,0.16178559,0.18244001,"('boring', 'funny')",0.1617856,0.18244,0.0206544
16,-0.625823,-0.5356853,"('unpopular', 'popular')",-0.625823,-0.5356853,0.0901377
17,-0.052783847,-0.025279142,"('nasty', 'nice')",-0.0527838,-0.0252791,0.0275047
18,-0.11692135,-0.1045563,"('disagreeable', 'welcoming')",-0.1169214,-0.1045563,0.0123651
19,-0.09630636,-0.13061558,"('inhospitable', 'hospitable')",-0.0963064,-0.1306156,-0.0343092
20,0.48216188,0.47702554,"('rough', 'thoughtful')",0.4821619,0.4770255,-0.0051364
21,0.344603,0.5887987,"('immoral', 'moral')",0.344603,0.5887987,0.2441957
22,0.07791824,0.124614485,"('untrustworthy', 'trustworthy')",0.0779182,0.1246145,0.0466963
23,6.9798827,7.0350494,"('insincere', 'sincere')",6.9798827,7.0350494,0.0551667
24,2.2220538,2.2943544,"('dishonest', 'honest')",2.2220538,2.2943544,0.0723006
