,stripe_male,stripe_female,tuple,average_male,average_female,female-male
0,0.6447819,0.4938819,"('unsociable', 'sociable')",0.6447819,0.4938819,-0.1509
1,1.2847542,1.1647624,"('unfriendly', 'friendly')",1.2847542,1.1647624,-0.1199918
2,0.5418306,0.7715027,"('unlikable', 'likable')",0.5418306,0.7715027,0.2296721
3,1.0579332,1.1594591,"('repellent', 'pleasant')",1.0579332,1.1594591,0.1015259
4,-6.9593787,-6.9046416,"('disliked', 'liked')",-6.9593787,-6.9046416,0.0547371
5,-0.29258195,-0.11186177,"('distant', 'outgoing')",-0.2925819,-0.1118618,0.1807201
6,-0.1146124,0.019723363,"('distant', 'open')",-0.1146124,0.0197234,0.1343358
7,0.96474,0.95791113,"('insensitive', 'sensitive')",0.96474,0.9579111,-0.0068289
8,0.7936042,0.73755723,"('unaffectionate', 'affectionate')",0.7936042,0.7375572,-0.056047
9,1.4864,1.5097276,"('unaffectionate', 'caring')",1.4864,1.5097276,0.0233276
10,1.4914109,1.545978,"('unsympathetic', 'sympathetic')",1.4914109,1.545978,0.0545671
11,2.2367897,2.2276068,"('unhelpful', 'helpful')",2.2367897,2.2276068,-0.0091829
12,-1.4409958,-1.3692013,"('unsupportive', 'supportive')",-1.4409958,-1.3692013,0.0717945
13,0.73162436,0.74437296,"('impolite', 'polite')",0.7316244,0.744373,0.0127486
14,0.22211885,0.06518893,"('antisocial', 'social')",0.2221189,0.0651889,-0.15693
15,0.7534759,0.63327056,"('boring', 'funny')",0.7534759,0.6332706,-0.1202053
16,0.021958336,0.024527337,"('unpopular', 'popular')",0.0219583,0.0245273,0.002569
17,-0.10013898,-0.021556407,"('nasty', 'nice')",-0.100139,-0.0215564,0.0785826
18,-0.531332,-0.63908756,"('disagreeable', 'welcoming')",-0.531332,-0.6390876,-0.1077556
19,-0.6976706,-0.48571783,"('inhospitable', 'hospitable')",-0.6976706,-0.4857178,0.2119528
20,0.68432486,0.514635,"('rough', 'thoughtful')",0.6843249,0.514635,-0.1696899
21,0.37733793,0.5020171,"('immoral', 'moral')",0.3773379,0.5020171,0.1246792
22,0.04881706,0.10950975,"('untrustworthy', 'trustworthy')",0.0488171,0.1095098,0.0606927
23,6.470199,6.412203,"('insincere', 'sincere')",6.4701991,6.4122028,-0.0579963
24,1.8068702,1.8844396,"('dishonest', 'honest')",1.8068702,1.8844396,0.0775694
25,0.5364009,0.38649967,"('egoistic', 'altruistic')",0.5364009,0.3864997,-0.1499012
26,0.40155628,0.1779189,"('hardhearted', 'benevolent')",0.4015563,0.1779189,-0.2236374
27,1.3840826,1.2117952,"('hardhearted', 'softhearted')",1.3840826,1.2117952,-0.1722874
28,1.0344323,0.9971386,"('disloyal', 'loyal')",1.0344323,0.9971386,-0.0372937
29,-0.78809345,-0.79838467,"('unfair', 'fair')",-0.7880934,-0.7983847,-0.0102913
30,1.1529515,1.0790608,"('intolerant', 'tolerant')",1.1529515,1.0790608,-0.0738907
31,-1.7530043,-1.6652765,"('evil', 'good')",-1.7530043,-1.6652765,0.0877278
32,1.3677652,1.3999602,"('unkind', 'kind')",1.3677652,1.3999602,0.032195
33,-0.6093561,-0.5132657,"('wrong', 'right')",-0.6093561,-0.5132657,0.0960904
34,4.614258,4.7363935,"('mean', 'honorable')",4.6142578,4.7363935,0.1221357
35,-1.4304904,-1.5202129,"('corrupt', 'incorrupt')",-1.4304904,-1.5202129,-0.0897225
36,-1.103327,-1.1591156,"('hostile', 'amicable')",-1.103327,-1.1591156,-0.0557886
37,0.49340767,0.53857523,"('fake', 'genuine')",0.4934077,0.5385752,0.0451675
38,-0.07262871,0.0029037371,"('untruthful', 'truthful')",-0.0726287,0.0029037,0.0755324
39,0.07674915,0.035570703,"('exploitative', 'cooperative')",0.0767492,0.0355707,-0.0411785
40,-1.3892583,-1.5107892,"('stingy', 'generous')",-1.3892583,-1.5107892,-0.1215309
41,-0.024101235,-0.02282476,"('unforgiving', 'forgiving')",-0.0241012,-0.0228248,0.0012764
42,-1.6876968,-1.6466546,"('unreliable', 'reliable')",-1.6876968,-1.6466546,0.0410422
43,1.5673314,1.5401045,"('irresponsible', 'responsible')",1.5673314,1.5401045,-0.0272269
44,-1.2932062,-1.330344,"('prejudiced', 'unprejudiced')",-1.2932062,-1.330344,-0.0371378
45,0.5475898,0.5982609,"('incompetent', 'competent')",0.5475898,0.5982609,0.0506711
46,-0.117572516,-0.064415544,"('uncompetitive', 'competitive')",-0.1175725,-0.0644155,0.053157
47,5.129905,5.3338637,"('stupid', 'smart')",5.1299052,5.3338637,0.2039585
48,1.2204012,1.0302575,"('unintelligent', 'intelligent')",1.2204012,1.0302575,-0.1901437
49,0.34692156,0.50888485,"('unable', 'able')",0.3469216,0.5088848,0.1619632
50,0.0926283,0.14228767,"('clumsy', 'skillful')",0.0926283,0.1422877,0.0496594
51,0.67231506,0.63433594,"('uneducated', 'educated')",0.6723151,0.6343359,-0.0379792
52,-0.8919749,-0.9486311,"('irrational', 'rational')",-0.8919749,-0.9486311,-0.0566562
53,0.124983765,0.08749451,"('uncreative', 'creative')",0.1249838,0.0874945,-0.0374893
54,0.9148191,1.1639524,"('incapable', 'capable')",0.9148191,1.1639524,0.2491333
55,1.2331642,1.1312177,"('incompetent', 'clever')",1.2331642,1.1312177,-0.1019465
56,1.2844949,1.2977725,"('impractical', 'practical')",1.2844949,1.2977725,0.0132776
57,-2.2081199,-2.1654086,"('unimaginative', 'imaginative')",-2.2081199,-2.1654086,0.0427113
58,-0.015572518,-0.06750147,"('undiscriminating', 'discriminating')",-0.0155725,-0.0675015,-0.051929
59,-0.20134065,-0.09970097,"('foolish', 'wise')",-0.2013406,-0.099701,0.1016396
60,1.2673965,1.2802721,"('inefficient', 'efficient')",1.2673965,1.2802721,0.0128756
61,0.23588082,0.033722397,"('illogical', 'logical')",0.2358808,0.0337224,-0.2021584
62,1.6311926,1.745587,"('incompetent', 'brilliant')",1.6311926,1.745587,0.1143944
63,0.81958324,0.9218795,"('unperceptive', 'insightful')",0.8195832,0.9218795,0.1022963
64,-5.8362775,-5.6230717,"('shy', 'confident')",-5.8362775,-5.6230717,0.2132058
65,0.9430402,0.9947662,"('insecure', 'secure')",0.9430402,0.9947662,0.051726
66,-0.29667747,-0.2286253,"('inactive', 'active')",-0.2966775,-0.2286253,0.0680522
67,-0.62884635,-0.5338358,"('doubtful', 'determined')",-0.6288463,-0.5338358,0.0950105
68,-0.26541427,-0.24225649,"('dependent', 'independent')",-0.2654143,-0.2422565,0.0231578
69,-1.9449176,-1.8242186,"('lazy', 'industrious')",-1.9449176,-1.8242186,0.120699
70,1.8481383,1.8595622,"('lethargic', 'energetic')",1.8481383,1.8595622,0.0114239
71,0.49503952,0.5629314,"('diffident', 'self-confident')",0.4950395,0.5629314,0.0678919
72,0.9749341,1.1135848,"('unambitious', 'ambitious')",0.9749341,1.1135848,0.1386507
73,-3.0202513,-2.9937282,"('helpless', 'self-reliant')",-3.0202513,-2.9937282,0.0265231
74,0.09568536,-0.039993074,"('undedicated', 'dedicated')",0.0956854,-0.0399931,-0.1356785
75,-0.84035236,-0.6321964,"('meek', 'impulsive')",-0.8403524,-0.6321964,0.208156
76,0.984679,0.8826885,"('anxious', 'daring')",0.984679,0.8826885,-0.1019905
77,-0.9135418,-0.8380562,"('unmotivated', 'motivated')",-0.9135418,-0.8380562,0.0754856
78,-0.495234,-0.5221622,"('nonresilient', 'resilient')",-0.495234,-0.5221622,-0.0269282
79,-0.47064635,-0.37019983,"('wavering', 'unwavering')",-0.4706464,-0.3701998,0.1004466
80,0.018851653,-0.04157536,"('dominated', 'dominating')",0.0188517,-0.0415754,-0.0604271
81,0.63227034,0.65846497,"('submissive', 'aggressive')",0.6322703,0.658465,0.0261947
82,7.0792265,7.1654058,"('poor', 'rich')",7.0792265,7.1654058,0.0861793
83,-0.37570015,-0.35183036,"('powerless', 'powerful')",-0.3757001,-0.3518304,0.0238697
84,0.10780947,0.112880416,"('inferior', 'superior')",0.1078095,0.1128804,0.0050709
85,-1.2516595,-1.5062989,"('insignificant', 'prestigious')",-1.2516595,-1.5062989,-0.2546394
86,0.7244706,0.8053092,"('uninfluential', 'influential')",0.7244706,0.8053092,0.0808386
87,0.2010544,0.26465794,"('unsuccessful', 'successful')",0.2010544,0.2646579,0.0636035
88,0.4440492,0.37662083,"('low', 'eminent')",0.4440492,0.3766208,-0.0674284
