,eyelid_male,eyelid_female,tuple,average_male,average_female,female-male
0,-0.1437647,-0.36951464,"('unsociable', 'sociable')",-0.1437647,-0.3695146,-0.2257499
1,-0.3403156,-0.3801835,"('unfriendly', 'friendly')",-0.3403156,-0.3801835,-0.0398679
2,0.109098665,0.2916801,"('unlikable', 'likable')",0.1090987,0.2916801,0.1825814
3,0.13812228,0.3398433,"('repellent', 'pleasant')",0.1381223,0.3398433,0.201721
4,-3.2500474,-3.1966474,"('disliked', 'liked')",-3.2500474,-3.1966474,0.0534
5,-1.2372435,-1.2688478,"('distant', 'outgoing')",-1.2372435,-1.2688478,-0.0316043
6,-1.3983177,-1.3829002,"('distant', 'open')",-1.3983177,-1.3829002,0.0154175
7,0.6643448,0.7112794,"('insensitive', 'sensitive')",0.6643448,0.7112794,0.0469346
8,-0.65888655,-0.6531689,"('unaffectionate', 'affectionate')",-0.6588866,-0.6531689,0.0057177
9,-0.26851884,-0.2789809,"('unaffectionate', 'caring')",-0.2685188,-0.2789809,-0.0104621
10,0.014548376,-0.009583492,"('unsympathetic', 'sympathetic')",0.0145484,-0.0095835,-0.0241319
11,1.53077,1.5666786,"('unhelpful', 'helpful')",1.5307699,1.5666786,0.0359087
12,-1.047164,-1.0612938,"('unsupportive', 'supportive')",-1.047164,-1.0612938,-0.0141298
13,0.3033713,0.11688228,"('impolite', 'polite')",0.3033713,0.1168823,-0.186489
14,0.6359331,0.55693,"('antisocial', 'social')",0.6359331,0.55693,-0.0790031
15,0.44057,0.41347942,"('boring', 'funny')",0.44057,0.4134794,-0.0270906
16,-0.67872983,-0.5791765,"('unpopular', 'popular')",-0.6787298,-0.5791765,0.0995533
17,-0.4523195,-0.390356,"('nasty', 'nice')",-0.4523195,-0.390356,0.0619635
18,-0.76159793,-0.78908855,"('disagreeable', 'welcoming')",-0.7615979,-0.7890885,-0.0274906
19,-1.1517407,-1.0446093,"('inhospitable', 'hospitable')",-1.1517407,-1.0446093,0.1071314
20,0.74315476,0.6612672,"('rough', 'thoughtful')",0.7431548,0.6612672,-0.0818876
21,0.377791,0.35227093,"('immoral', 'moral')",0.377791,0.3522709,-0.0255201
22,-0.29383284,-0.27590728,"('untrustworthy', 'trustworthy')",-0.2938328,-0.2759073,0.0179255
23,3.3572161,3.3321104,"('insincere', 'sincere')",3.3572161,3.3321104,-0.0251057
24,0.2403081,0.19155803,"('dishonest', 'honest')",0.2403081,0.191558,-0.0487501
25,-0.65641254,-0.6740775,"('egoistic', 'altruistic')",-0.6564125,-0.6740775,-0.017665
26,-0.13854523,-0.16898105,"('hardhearted', 'benevolent')",-0.1385452,-0.168981,-0.0304358
27,0.49062124,0.3462588,"('hardhearted', 'softhearted')",0.4906212,0.3462588,-0.1443624
28,0.14342773,0.07199684,"('disloyal', 'loyal')",0.1434277,0.0719968,-0.0714309
29,-0.4410708,-0.5319937,"('unfair', 'fair')",-0.4410708,-0.5319937,-0.0909229
30,0.8435146,0.711131,"('intolerant', 'tolerant')",0.8435146,0.711131,-0.1323836
31,-1.8316542,-1.7646613,"('evil', 'good')",-1.8316542,-1.7646613,0.0669929
32,0.25385252,0.17832308,"('unkind', 'kind')",0.2538525,0.1783231,-0.0755294
33,-0.5102992,-0.53378266,"('wrong', 'right')",-0.5102992,-0.5337827,-0.0234835
34,2.625441,2.7284863,"('mean', 'honorable')",2.6254411,2.7284863,0.1030452
35,-0.9304507,-0.96563065,"('corrupt', 'incorrupt')",-0.9304507,-0.9656307,-0.03518
36,-0.9127281,-0.75274396,"('hostile', 'amicable')",-0.9127281,-0.752744,0.1599841
37,0.047441486,0.0472429,"('fake', 'genuine')",0.0474415,0.0472429,-0.0001986
38,-0.14631172,-0.16141635,"('untruthful', 'truthful')",-0.1463117,-0.1614164,-0.0151047
39,0.41049284,0.4215085,"('exploitative', 'cooperative')",0.4104928,0.4215085,0.0110157
40,-1.742637,-1.7118707,"('stingy', 'generous')",-1.742637,-1.7118707,0.0307663
41,0.40921146,0.35414383,"('unforgiving', 'forgiving')",0.4092115,0.3541438,-0.0550677
42,-1.3892372,-1.2282169,"('unreliable', 'reliable')",-1.3892372,-1.2282169,0.1610203
43,0.08100443,0.007822624,"('irresponsible', 'responsible')",0.0810044,0.0078226,-0.0731818
44,-0.71362245,-0.68966436,"('prejudiced', 'unprejudiced')",-0.7136225,-0.6896644,0.0239581
45,-0.16466747,-0.14450653,"('incompetent', 'competent')",-0.1646675,-0.1445065,0.020161
46,-0.26016662,-0.18547378,"('uncompetitive', 'competitive')",-0.2601666,-0.1854738,0.0746928
47,2.9332428,2.965135,"('stupid', 'smart')",2.9332428,2.9651351,0.0318923
48,0.87101114,0.7380211,"('unintelligent', 'intelligent')",0.8710111,0.7380211,-0.13299
49,0.4314732,0.4491393,"('unable', 'able')",0.4314732,0.4491393,0.0176661
50,0.13747239,0.31416646,"('clumsy', 'skillful')",0.1374724,0.3141665,0.1766941
51,0.7809095,0.90081024,"('uneducated', 'educated')",0.7809095,0.9008102,0.1199007
52,-0.7762078,-0.7822691,"('irrational', 'rational')",-0.7762078,-0.7822691,-0.0060613
53,-1.3648013,-1.3409595,"('uncreative', 'creative')",-1.3648013,-1.3409595,0.0238418
54,-0.54396665,-0.37629887,"('incapable', 'capable')",-0.5439667,-0.3762989,0.1676678
55,0.62984294,0.63647634,"('incompetent', 'clever')",0.6298429,0.6364763,0.0066334
56,1.1729156,1.0223217,"('impractical', 'practical')",1.1729156,1.0223217,-0.1505939
57,-2.025677,-2.001775,"('unimaginative', 'imaginative')",-2.025677,-2.001775,0.023902
58,-0.20989263,-0.2470425,"('undiscriminating', 'discriminating')",-0.2098926,-0.2470425,-0.0371499
59,-0.38489908,-0.30328536,"('foolish', 'wise')",-0.3848991,-0.3032854,0.0816137
