,sentencing_male,sentencing_female,tuple,average_male,average_female,female-male
0,0.029990487,-0.09720213,"('unsociable', 'sociable')",0.0299905,-0.0972021,-0.1271926
1,1.0135345,0.9951097,"('unfriendly', 'friendly')",1.0135345,0.9951097,-0.0184248
2,0.47187492,0.63909096,"('unlikable', 'likable')",0.4718749,0.639091,0.1672161
3,0.77115667,0.825976,"('repellent', 'pleasant')",0.7711567,0.825976,0.0548193
4,-7.3506284,-7.3929896,"('disliked', 'liked')",-7.3506284,-7.3929896,-0.0423612
5,-0.3473196,-0.2181819,"('distant', 'outgoing')",-0.3473196,-0.2181819,0.1291377
6,-0.09186332,0.035770167,"('distant', 'open')",-0.0918633,0.0357702,0.1276335
7,0.7819435,0.84385484,"('insensitive', 'sensitive')",0.7819435,0.8438548,0.0619113
8,0.8475173,0.8458254,"('unaffectionate', 'affectionate')",0.8475173,0.8458254,-0.0016919
9,1.4839627,1.5913259,"('unaffectionate', 'caring')",1.4839627,1.5913259,0.1073632
10,1.3158803,1.3814868,"('unsympathetic', 'sympathetic')",1.3158803,1.3814868,0.0656065
11,2.03811,2.1063068,"('unhelpful', 'helpful')",2.03811,2.1063068,0.0681968
12,-1.4981606,-1.5206424,"('unsupportive', 'supportive')",-1.4981606,-1.5206424,-0.0224818
13,0.42637584,0.38933036,"('impolite', 'polite')",0.4263758,0.3893304,-0.0370454
14,-0.08504747,-0.23730077,"('antisocial', 'social')",-0.0850475,-0.2373008,-0.1522533
15,0.08335595,0.026242694,"('boring', 'funny')",0.0833559,0.0262427,-0.0571132
16,-0.43864617,-0.37912685,"('unpopular', 'popular')",-0.4386462,-0.3791268,0.0595194
17,-0.042334855,-0.02085344,"('nasty', 'nice')",-0.0423349,-0.0208534,0.0214815
18,-0.56582737,-0.6078178,"('disagreeable', 'welcoming')",-0.5658274,-0.6078178,-0.0419904
19,-0.7193276,-0.5755822,"('inhospitable', 'hospitable')",-0.7193276,-0.5755822,0.1437454
20,0.82821023,0.6627229,"('rough', 'thoughtful')",0.8282102,0.6627229,-0.1654873
21,0.091738395,0.25845128,"('immoral', 'moral')",0.0917384,0.2584513,0.1667129
22,-0.35616806,-0.350627,"('untrustworthy', 'trustworthy')",-0.3561681,-0.350627,0.0055411
23,6.436489,6.4829106,"('insincere', 'sincere')",6.4364891,6.4829106,0.0464215
24,1.7757432,1.7822207,"('dishonest', 'honest')",1.7757432,1.7822207,0.0064775
25,0.2510844,0.1832315,"('egoistic', 'altruistic')",0.2510844,0.1832315,-0.0678529
26,0.21025974,0.0432537,"('hardhearted', 'benevolent')",0.2102597,0.0432537,-0.167006
27,1.6679227,1.5798432,"('hardhearted', 'softhearted')",1.6679227,1.5798432,-0.0880795
28,1.325784,1.3559687,"('disloyal', 'loyal')",1.325784,1.3559687,0.0301847
29,-0.46861142,-0.6122766,"('unfair', 'fair')",-0.4686114,-0.6122766,-0.1436652
30,1.0249125,1.0606668,"('intolerant', 'tolerant')",1.0249125,1.0606668,0.0357543
31,-1.7499337,-1.7447093,"('evil', 'good')",-1.7499337,-1.7447093,0.0052244
32,1.5095301,1.4295806,"('unkind', 'kind')",1.5095301,1.4295806,-0.0799495
33,-0.38131598,-0.3201652,"('wrong', 'right')",-0.381316,-0.3201652,0.0611508
34,4.6604815,4.841266,"('mean', 'honorable')",4.6604815,4.8412662,0.1807847
35,-1.1513151,-1.2771007,"('corrupt', 'incorrupt')",-1.1513151,-1.2771007,-0.1257856
36,-1.0468371,-1.0989853,"('hostile', 'amicable')",-1.0468371,-1.0989853,-0.0521482
37,0.9658912,0.9574245,"('fake', 'genuine')",0.9658912,0.9574245,-0.0084667
38,0.011764865,0.09526254,"('untruthful', 'truthful')",0.0117649,0.0952625,0.0834976
39,-0.02209466,-0.040919796,"('exploitative', 'cooperative')",-0.0220947,-0.0409198,-0.0188251
40,-1.6779953,-1.8827125,"('stingy', 'generous')",-1.6779953,-1.8827125,-0.2047172
41,0.10241477,0.12836361,"('unforgiving', 'forgiving')",0.1024148,0.1283636,0.0259488
42,-2.1002975,-2.0959,"('unreliable', 'reliable')",-2.1002975,-2.0959001,0.0043974
43,1.335476,1.4092288,"('irresponsible', 'responsible')",1.335476,1.4092288,0.0737528
44,-1.1028825,-1.1833376,"('prejudiced', 'unprejudiced')",-1.1028825,-1.1833376,-0.0804551
45,0.41956896,0.4046972,"('incompetent', 'competent')",0.419569,0.4046972,-0.0148718
46,-0.332694,-0.2794045,"('uncompetitive', 'competitive')",-0.332694,-0.2794045,0.0532895
47,5.51086,5.6789045,"('stupid', 'smart')",5.51086,5.6789045,0.1680445
48,0.42479286,0.34890556,"('unintelligent', 'intelligent')",0.4247929,0.3489056,-0.0758873
49,0.2907639,0.44037575,"('unable', 'able')",0.2907639,0.4403757,0.1496118
50,-0.2671169,-0.25951448,"('clumsy', 'skillful')",-0.2671169,-0.2595145,0.0076024
51,0.33121336,0.29447886,"('uneducated', 'educated')",0.3312134,0.2944789,-0.0367345
52,-0.5807668,-0.6057596,"('irrational', 'rational')",-0.5807668,-0.6057596,-0.0249928
53,-0.27806053,-0.26312754,"('uncreative', 'creative')",-0.2780605,-0.2631275,0.014933
54,1.0802135,1.2476972,"('incapable', 'capable')",1.0802135,1.2476972,0.1674837
55,0.7968312,0.7978728,"('incompetent', 'clever')",0.7968312,0.7978728,0.0010416
56,0.9319113,0.9713416,"('impractical', 'practical')",0.9319113,0.9713416,0.0394303
57,-2.6095824,-2.6133213,"('unimaginative', 'imaginative')",-2.6095824,-2.6133213,-0.0037389
58,0.05348923,-0.00093345717,"('undiscriminating', 'discriminating')",0.0534892,-0.0009335,-0.0544227
59,-0.099026605,-0.021873806,"('foolish', 'wise')",-0.0990266,-0.0218738,0.0771528
60,1.1574984,1.202579,"('inefficient', 'efficient')",1.1574984,1.202579,0.0450806
61,0.17122313,0.04958661,"('illogical', 'logical')",0.1712231,0.0495866,-0.1216365
62,1.31003,1.3840544,"('incompetent', 'brilliant')",1.31003,1.3840544,0.0740244
63,0.4443108,0.49940574,"('unperceptive', 'insightful')",0.4443108,0.4994057,0.0550949
64,-5.855498,-5.7779245,"('shy', 'confident')",-5.8554978,-5.7779245,0.0775733
65,0.54931897,0.55078167,"('insecure', 'secure')",0.549319,0.5507817,0.0014627
66,-0.16166759,-0.22950679,"('inactive', 'active')",-0.1616676,-0.2295068,-0.0678392
67,-0.23349068,-0.17215559,"('doubtful', 'determined')",-0.2334907,-0.1721556,0.0613351
68,-0.3981806,-0.33611214,"('dependent', 'independent')",-0.3981806,-0.3361121,0.0620685
69,-1.9425296,-1.8757973,"('lazy', 'industrious')",-1.9425296,-1.8757973,0.0667323
70,1.4123356,1.414282,"('lethargic', 'energetic')",1.4123356,1.414282,0.0019464
71,0.37240046,0.37990552,"('diffident', 'self-confident')",0.3724005,0.3799055,0.007505
72,0.95613587,0.9854822,"('unambitious', 'ambitious')",0.9561359,0.9854822,0.0293463
