,congo_male,congo_female,tuple,average_male,average_female,female-male
0,-0.012997242,-0.06389388,"('unsociable', 'sociable')",-0.0129972,-0.0638939,-0.0508967
1,1.3757051,1.2365319,"('unfriendly', 'friendly')",1.3757051,1.2365319,-0.1391732
2,0.8403108,0.81543314,"('unlikable', 'likable')",0.8403108,0.8154331,-0.0248777
3,0.3753972,0.56508297,"('repellent', 'pleasant')",0.3753972,0.565083,0.1896858
4,-7.4580383,-7.612178,"('disliked', 'liked')",-7.4580383,-7.6121778,-0.1541395
5,-0.09735742,-0.18886885,"('distant', 'outgoing')",-0.0973574,-0.1888689,-0.0915115
6,0.47008425,0.35753083,"('distant', 'open')",0.4700842,0.3575308,-0.1125534
7,0.82173705,0.93907464,"('insensitive', 'sensitive')",0.8217371,0.9390746,0.1173375
8,1.5358964,1.4472835,"('unaffectionate', 'affectionate')",1.5358964,1.4472835,-0.0886129
9,2.288899,2.222804,"('unaffectionate', 'caring')",2.2888989,2.2228041,-0.0660948
10,0.7267198,0.8235996,"('unsympathetic', 'sympathetic')",0.7267198,0.8235996,0.0968798
11,1.9781232,1.9656328,"('unhelpful', 'helpful')",1.9781232,1.9656328,-0.0124904
12,-1.0703939,-1.1562696,"('unsupportive', 'supportive')",-1.0703939,-1.1562696,-0.0858757
13,-0.089456365,-0.08087441,"('impolite', 'polite')",-0.0894564,-0.0808744,0.008582
14,0.027671173,0.13867013,"('antisocial', 'social')",0.0276712,0.1386701,0.1109989
15,0.676321,0.6014303,"('boring', 'funny')",0.676321,0.6014303,-0.0748907
16,-0.25409144,-0.27837813,"('unpopular', 'popular')",-0.2540914,-0.2783781,-0.0242867
17,-0.33058348,-0.3307878,"('nasty', 'nice')",-0.3305835,-0.3307878,-0.0002043
18,0.029739913,-0.045073852,"('disagreeable', 'welcoming')",0.0297399,-0.0450739,-0.0748138
19,-0.5342993,-0.5345064,"('inhospitable', 'hospitable')",-0.5342993,-0.5345064,-0.0002071
20,0.40568328,0.4160977,"('rough', 'thoughtful')",0.4056833,0.4160977,0.0104144
21,-0.14430773,-0.034705114,"('immoral', 'moral')",-0.1443077,-0.0347051,0.1096026
22,-0.0014769267,-0.06238246,"('untrustworthy', 'trustworthy')",-0.0014769,-0.0623825,-0.0609056
23,6.8636146,6.872971,"('insincere', 'sincere')",6.8636146,6.8729711,0.0093565
24,1.9479775,1.8898666,"('dishonest', 'honest')",1.9479775,1.8898666,-0.0581109
25,0.67610836,0.53963935,"('egoistic', 'altruistic')",0.6761084,0.5396394,-0.136469
26,0.7131703,0.529415,"('hardhearted', 'benevolent')",0.7131703,0.529415,-0.1837553
27,1.4389709,1.3575696,"('hardhearted', 'softhearted')",1.4389709,1.3575696,-0.0814013
28,1.0920871,1.0059271,"('disloyal', 'loyal')",1.0920871,1.0059271,-0.08616
29,0.28555718,0.105336696,"('unfair', 'fair')",0.2855572,0.1053367,-0.1802205
30,0.83000857,0.8943374,"('intolerant', 'tolerant')",0.8300086,0.8943374,0.0643288
31,-0.7549488,-0.8545032,"('evil', 'good')",-0.7549488,-0.8545032,-0.0995544
32,1.1079522,1.0089073,"('unkind', 'kind')",1.1079522,1.0089073,-0.0990449
33,-0.07414214,-0.19528459,"('wrong', 'right')",-0.0741421,-0.1952846,-0.1211425
34,4.438565,4.5755134,"('mean', 'honorable')",4.4385648,4.5755134,0.1369486
35,-0.6291939,-0.8812097,"('corrupt', 'incorrupt')",-0.6291939,-0.8812097,-0.2520158
36,-0.7044334,-0.8693544,"('hostile', 'amicable')",-0.7044334,-0.8693544,-0.164921
37,0.42318735,0.5424118,"('fake', 'genuine')",0.4231873,0.5424118,0.1192245
38,0.4323479,0.2967597,"('untruthful', 'truthful')",0.4323479,0.2967597,-0.1355882
39,0.4977653,0.46343097,"('exploitative', 'cooperative')",0.4977653,0.463431,-0.0343343
40,-1.5908985,-1.6934121,"('stingy', 'generous')",-1.5908985,-1.6934121,-0.1025136
41,0.20237891,0.037913434,"('unforgiving', 'forgiving')",0.2023789,0.0379134,-0.1644655
42,-2.3182764,-2.2909188,"('unreliable', 'reliable')",-2.3182764,-2.2909188,0.0273576
43,1.3734798,1.3722926,"('irresponsible', 'responsible')",1.3734798,1.3722926,-0.0011872
44,-1.6768898,-1.5507226,"('prejudiced', 'unprejudiced')",-1.6768898,-1.5507226,0.1261672
45,0.25757614,0.28801548,"('incompetent', 'competent')",0.2575761,0.2880155,0.0304394
46,-0.99441427,-0.9363207,"('uncompetitive', 'competitive')",-0.9944143,-0.9363207,0.0580936
47,5.6828613,5.741602,"('stupid', 'smart')",5.6828613,5.7416019,0.0587406
48,0.7671399,0.8171597,"('unintelligent', 'intelligent')",0.7671399,0.8171597,0.0500198
49,0.15283774,0.25537586,"('unable', 'able')",0.1528377,0.2553759,0.1025382
50,-0.22973704,-0.20234574,"('clumsy', 'skillful')",-0.229737,-0.2023457,0.0273913
51,0.10101933,0.1691282,"('uneducated', 'educated')",0.1010193,0.1691282,0.0681089
52,0.047085762,-0.13420862,"('irrational', 'rational')",0.0470858,-0.1342086,-0.1812944
53,0.5217893,0.44745192,"('uncreative', 'creative')",0.5217893,0.4474519,-0.0743374
54,1.5890383,1.5746875,"('incapable', 'capable')",1.5890383,1.5746875,-0.0143508
55,0.7184355,0.8591173,"('incompetent', 'clever')",0.7184355,0.8591173,0.1406818
56,0.50243086,0.5223492,"('impractical', 'practical')",0.5024309,0.5223492,0.0199183
57,-3.0269642,-2.9965904,"('unimaginative', 'imaginative')",-3.0269642,-2.9965904,0.0303738
58,-0.54073995,-0.53816545,"('undiscriminating', 'discriminating')",-0.54074,-0.5381655,0.0025745
59,0.57197887,0.4643521,"('foolish', 'wise')",0.5719789,0.4643521,-0.1076268
60,0.28416532,0.4817181,"('inefficient', 'efficient')",0.2841653,0.4817181,0.1975528
61,0.7064026,0.5423461,"('illogical', 'logical')",0.7064026,0.5423461,-0.1640565
62,1.2306402,1.327711,"('incompetent', 'brilliant')",1.2306402,1.327711,0.0970708
63,1.3545188,1.268363,"('unperceptive', 'insightful')",1.3545188,1.268363,-0.0861558
64,-6.131258,-6.1670933,"('shy', 'confident')",-6.131258,-6.1670933,-0.0358353
65,0.39074922,0.49085346,"('insecure', 'secure')",0.3907492,0.4908535,0.1001043
66,0.122730926,0.0033884607,"('inactive', 'active')",0.1227309,0.0033885,-0.1193424
67,-0.12811661,-0.11776418,"('doubtful', 'determined')",-0.1281166,-0.1177642,0.0103524
68,-0.7322629,-0.6774764,"('dependent', 'independent')",-0.7322629,-0.6774764,0.0547865
69,-1.2156144,-1.3766247,"('lazy', 'industrious')",-1.2156144,-1.3766247,-0.1610103
70,0.94687456,1.0607127,"('lethargic', 'energetic')",0.9468746,1.0607127,0.1138381
71,0.8369242,0.7805679,"('diffident', 'self-confident')",0.8369242,0.7805679,-0.0563563
72,0.8057622,0.9004923,"('unambitious', 'ambitious')",0.8057622,0.9004923,0.0947301
73,-3.6971476,-3.5972362,"('helpless', 'self-reliant')",-3.6971476,-3.5972362,0.0999114
74,0.19058537,0.117019996,"('undedicated', 'dedicated')",0.1905854,0.11702,-0.0735654
75,-0.9230362,-0.8937177,"('meek', 'impulsive')",-0.9230362,-0.8937177,0.0293185
