,garden_male,garden_female,tuple,average_male,average_female,female-male
0,-0.12532997,-0.21682113,"('unsociable', 'sociable')",-0.12533,-0.2168211,-0.0914911
1,1.369206,1.3964065,"('unfriendly', 'friendly')",1.369206,1.3964065,0.0272005
2,0.16532585,0.24064624,"('unlikable', 'likable')",0.1653259,0.2406462,0.0753203
3,0.37843913,0.33589348,"('repellent', 'pleasant')",0.3784391,0.3358935,-0.0425456
4,-7.1234875,-7.204532,"('disliked', 'liked')",-7.1234875,-7.2045321,-0.0810446
5,-0.22206444,-0.18393905,"('distant', 'outgoing')",-0.2220644,-0.1839391,0.0381253
6,0.3872726,0.39009762,"('distant', 'open')",0.3872726,0.3900976,0.002825
7,0.54962444,0.5779637,"('insensitive', 'sensitive')",0.5496244,0.5779637,0.0283393
8,1.3946855,1.358496,"('unaffectionate', 'affectionate')",1.3946855,1.358496,-0.0361895
9,1.6062293,1.6651052,"('unaffectionate', 'caring')",1.6062293,1.6651052,0.0588759
10,0.64587235,0.577627,"('unsympathetic', 'sympathetic')",0.6458724,0.577627,-0.0682454
11,1.3836529,1.4462029,"('unhelpful', 'helpful')",1.3836529,1.4462029,0.06255
12,-1.6111972,-1.5972028,"('unsupportive', 'supportive')",-1.6111972,-1.5972028,0.0139944
13,-0.2727464,-0.32019883,"('impolite', 'polite')",-0.2727464,-0.3201988,-0.0474524
14,0.22608462,0.14036013,"('antisocial', 'social')",0.2260846,0.1403601,-0.0857245
15,0.40179825,0.35540032,"('boring', 'funny')",0.4017982,0.3554003,-0.0463979
16,-0.5334398,-0.4735574,"('unpopular', 'popular')",-0.5334398,-0.4735574,0.0598824
17,-0.19847184,-0.15398921,"('nasty', 'nice')",-0.1984718,-0.1539892,0.0444826
18,-0.4682353,-0.5392907,"('disagreeable', 'welcoming')",-0.4682353,-0.5392907,-0.0710554
19,-0.2001507,-0.14537522,"('inhospitable', 'hospitable')",-0.2001507,-0.1453752,0.0547755
20,0.64067096,0.5172708,"('rough', 'thoughtful')",0.640671,0.5172708,-0.1234002
21,-0.59004986,-0.5691192,"('immoral', 'moral')",-0.5900499,-0.5691192,0.0209307
22,-0.7431716,-0.8015872,"('untrustworthy', 'trustworthy')",-0.7431716,-0.8015872,-0.0584156
23,6.102607,6.1331525,"('insincere', 'sincere')",6.1026068,6.1331525,0.0305457
24,1.4220643,1.2751061,"('dishonest', 'honest')",1.4220643,1.2751061,-0.1469582
25,0.857693,0.8484441,"('egoistic', 'altruistic')",0.857693,0.8484441,-0.0092489
