,latte_male,latte_female,tuple,average_male,average_female,female-male
0,0.424456,0.45946977,"('unsociable', 'sociable')",0.424456,0.4594698,0.0350138
1,-1.0244408,-0.9939562,"('unfriendly', 'friendly')",-1.0244408,-0.9939562,0.0304846
2,0.7713523,0.84254766,"('unlikable', 'likable')",0.7713523,0.8425477,0.0711954
3,0.14374036,0.23660697,"('repellent', 'pleasant')",0.1437404,0.236607,0.0928666
4,-3.6465764,-3.8114734,"('disliked', 'liked')",-3.6465764,-3.8114734,-0.164897
5,-1.9713149,-1.8805553,"('distant', 'outgoing')",-1.9713149,-1.8805553,0.0907596
6,-2.115356,-2.1271582,"('distant', 'open')",-2.115356,-2.1271582,-0.0118022
7,0.43422297,0.6904782,"('insensitive', 'sensitive')",0.434223,0.6904782,0.2562552
8,-1.2697632,-1.315748,"('unaffectionate', 'affectionate')",-1.2697632,-1.315748,-0.0459848
9,-0.68749017,-0.47981247,"('unaffectionate', 'caring')",-0.6874902,-0.4798125,0.2076777
10,0.82278883,1.0135832,"('unsympathetic', 'sympathetic')",0.8227888,1.0135832,0.1907944
11,1.6189086,1.946351,"('unhelpful', 'helpful')",1.6189086,1.9463511,0.3274425
12,-1.1589457,-0.98261553,"('unsupportive', 'supportive')",-1.1589457,-0.9826155,0.1763302
13,0.7212881,0.9518241,"('impolite', 'polite')",0.7212881,0.9518241,0.230536
14,1.1219478,1.2627022,"('antisocial', 'social')",1.1219478,1.2627022,0.1407544
15,0.3364578,0.18454435,"('boring', 'funny')",0.3364578,0.1845444,-0.1519134
16,0.1241205,-0.0029206052,"('unpopular', 'popular')",0.1241205,-0.0029206,-0.1270411
17,0.14757076,0.14837003,"('nasty', 'nice')",0.1475708,0.14837,0.0007992
18,-0.51398546,-0.417348,"('disagreeable', 'welcoming')",-0.5139855,-0.417348,0.0966375
19,-1.0231743,-1.0843643,"('inhospitable', 'hospitable')",-1.0231743,-1.0843643,-0.06119
20,0.27761653,0.53668594,"('rough', 'thoughtful')",0.2776165,0.5366859,0.2590694
21,0.5152486,0.9192832,"('immoral', 'moral')",0.5152486,0.9192832,0.4040346
22,0.3985064,0.5204115,"('untrustworthy', 'trustworthy')",0.3985064,0.5204115,0.1219051
23,3.741038,4.0322685,"('insincere', 'sincere')",3.7410381,4.0322685,0.2912304
24,0.49614653,0.6782239,"('dishonest', 'honest')",0.4961465,0.6782239,0.1820774
25,-0.55636984,-0.70122814,"('egoistic', 'altruistic')",-0.5563698,-0.7012281,-0.1448583
26,0.24345085,0.022737212,"('hardhearted', 'benevolent')",0.2434509,0.0227372,-0.2207137
27,0.36618814,0.38860014,"('hardhearted', 'softhearted')",0.3661881,0.3886001,0.022412
28,0.57930255,0.58574325,"('disloyal', 'loyal')",0.5793025,0.5857432,0.0064407
29,-0.83362097,-0.8507682,"('unfair', 'fair')",-0.833621,-0.8507682,-0.0171472
30,1.5177171,1.6376216,"('intolerant', 'tolerant')",1.5177171,1.6376216,0.1199045
31,-2.2177808,-2.446724,"('evil', 'good')",-2.2177808,-2.4467239,-0.2289431
32,1.295196,1.3719274,"('unkind', 'kind')",1.2951961,1.3719274,0.0767313
33,-0.68584704,-0.7639096,"('wrong', 'right')",-0.685847,-0.7639096,-0.0780626
34,1.9369713,2.1870673,"('mean', 'honorable')",1.9369713,2.1870673,0.250096
