,st_male,st_female,tuple,jude_male,jude_female,medical_male,medical_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.5365327,-0.7961067,"('unsociable', 'sociable')",-0.89071524,-1.000059,1.2828262,1.1388903,0.024289113,-0.075006545,-0.0300332,-0.1830705,-0.1530373
1,-0.6482149,-0.8331702,"('unfriendly', 'friendly')",0.81062275,0.71960765,0.5502508,0.43003964,1.9038844,1.6846594,0.6541358,0.5002841,-0.1538517
2,0.65427923,0.7133772,"('unlikable', 'likable')",1.2591105,1.2766551,1.2314249,1.2608765,0.55817676,0.61839306,0.9257478,0.9673254,0.0415776
3,-1.2335258,-1.0351628,"('repellent', 'pleasant')",-0.92618173,-0.76821256,-0.50401044,-0.3949021,0.13562553,0.28031558,-0.6320231,-0.4794905,0.1525326
4,1.7352172,1.4885666,"('disliked', 'liked')",2.0252354,1.8719784,0.11360627,0.14776734,-6.149038,-6.077715,-0.5687447,-0.6423506,-0.0736059
5,0.55566925,0.4162089,"('distant', 'outgoing')",1.6963364,1.6049082,-0.41482326,-0.4042522,0.1530945,0.07023384,0.4975692,0.4217747,-0.0757945
6,-0.18487595,-0.19648392,"('distant', 'open')",1.4781193,1.4179782,-0.54742676,-0.5237406,0.32643947,0.20284477,0.268064,0.2251496,-0.0429144
7,-0.5239882,-0.4704977,"('insensitive', 'sensitive')",-0.5411581,-0.47026885,-0.16253099,-0.0917399,0.94294494,0.94179434,-0.0711831,-0.022678,0.0485051
8,-0.3265942,-0.3946841,"('unaffectionate', 'affectionate')",1.4527274,1.4126177,-0.16582398,-0.23573415,0.5370243,0.34765556,0.3743334,0.2824638,-0.0918696
9,-0.12130325,-0.13127239,"('unaffectionate', 'caring')",0.83997136,0.82179654,1.392047,1.3985077,1.3250365,1.2561517,0.8589379,0.8362959,-0.022642
10,-1.0794144,-1.0330088,"('unsympathetic', 'sympathetic')",-2.2535603,-2.125209,-0.2027084,-0.15342912,-0.07494112,-0.06477475,-0.9026561,-0.8441054,0.0585507
11,0.18294959,0.17158066,"('unhelpful', 'helpful')",-1.2154365,-1.1727589,1.0991733,1.1159921,2.2536652,2.2986994,0.5800879,0.6033783,0.0232904
12,0.63828665,0.68644595,"('unsupportive', 'supportive')",0.85898733,0.8860934,2.1122365,2.2500274,-1.3992124,-1.3208625,0.5525745,0.6254261,0.0728516
