,msci_male,msci_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.27591494,0.3609404,"('unsociable', 'sociable')",-0.23454775,-0.3338556,0.0206836,0.0135424,-0.0071412
1,-1.0617516,-1.1344377,"('unfriendly', 'friendly')",1.8758551,1.6633694,0.4070517,0.2644659,-0.1425858
2,1.1802714,1.2346001,"('unlikable', 'likable')",0.8815903,1.0027739,1.0309309,1.1186869,0.087756
3,0.24849764,0.49419302,"('repellent', 'pleasant')",-0.034425154,0.05633402,0.1070362,0.2752635,0.1682273
4,-0.22651234,-0.34959963,"('disliked', 'liked')",-5.343409,-5.3217654,-2.7849607,-2.8356826,-0.0507219
5,-1.1784877,-1.3091979,"('distant', 'outgoing')",-0.10256339,-0.20027727,-0.6405255,-0.7547376,-0.1142121
6,-1.7670188,-1.897545,"('distant', 'open')",0.36871177,0.23039775,-0.6991535,-0.8335736,-0.1344201
7,-0.04837674,0.21804118,"('insensitive', 'sensitive')",0.506876,0.57106495,0.2292496,0.3945531,0.1653035
8,-1.3840915,-1.5386564,"('unaffectionate', 'affectionate')",0.7727249,0.60746187,-0.3056833,-0.4655972,-0.1599139
9,-0.95299613,-1.0167391,"('unaffectionate', 'caring')",1.0488805,0.9076068,0.0479422,-0.0545662,-0.1025084
10,-0.29225773,-0.023816269,"('unsympathetic', 'sympathetic')",-0.4237303,-0.4248123,-0.357994,-0.2243143,0.1336797
11,0.38086426,0.46936724,"('unhelpful', 'helpful')",1.621777,1.5953454,1.0013206,1.0323563,0.0310357
12,0.18750821,0.3223354,"('unsupportive', 'supportive')",-1.5942253,-1.5786828,-0.7033585,-0.6281737,0.0751848
13,0.45785812,0.5544442,"('impolite', 'polite')",-0.41403097,-0.32407185,0.0219136,0.1151862,0.0932726
14,1.3625646,1.5479655,"('antisocial', 'social')",-0.17054066,-0.0951558,0.5960119,0.7264048,0.1303929
15,0.15392433,-0.075434685,"('boring', 'funny')",1.0979943,1.0418408,0.6259593,0.4832031,-0.1427562
16,0.063793406,0.014739614,"('unpopular', 'popular')",0.9233535,0.94861037,0.4935735,0.481675,-0.0118985
17,-0.2832534,-0.26135644,"('nasty', 'nice')",-0.2173997,-0.23081912,-0.2503265,-0.2460878,0.0042387
18,-0.57636255,-0.56865,"('disagreeable', 'welcoming')",-0.09519544,-0.12763059,-0.335779,-0.3481403,-0.0123613
19,-0.8926436,-0.94334006,"('inhospitable', 'hospitable')",0.102515385,0.087583564,-0.3950641,-0.4278783,-0.0328142
20,0.8248262,0.86608493,"('rough', 'thoughtful')",0.9610204,0.92474544,0.8929233,0.8954152,0.0024919
21,0.81776893,1.0012937,"('immoral', 'moral')",-0.6758806,-0.54831195,0.0709442,0.2264909,0.1555467
22,0.018036492,0.13219294,"('untrustworthy', 'trustworthy')",-1.1479685,-1.1442347,-0.564966,-0.5060208,0.0589452
