,disney_male,disney_female,tuple,walt_male,walt_female,co_male,co_female,average_male,average_female,female-male
0,0.04084484,-0.114473276,"('unsociable', 'sociable')",0.1114911,-0.08720408,0.020490056,-0.16995192,0.0576087,-0.1238764,-0.1814851
1,0.8035424,0.7562262,"('unfriendly', 'friendly')",1.1155103,0.9841594,1.4546065,1.3476903,1.124553,1.0293586,-0.0951944
2,-0.4735,-0.46508285,"('unlikable', 'likable')",-0.45052865,-0.4068462,0.7610407,0.8709373,-0.0543293,-0.0003306,0.0539987
3,-1.2966055,-1.1961781,"('repellent', 'pleasant')",-1.2475433,-1.2604584,0.6744789,0.6456552,-0.6232233,-0.6036604,0.0195629
4,-0.53320557,-0.50230783,"('disliked', 'liked')",0.13342275,0.17870726,-7.186998,-7.1466126,-2.5289268,-2.4900711,0.0388557
5,0.499387,0.615324,"('distant', 'outgoing')",0.5687285,0.69380933,-0.79382604,-0.68717825,0.0914298,0.2073183,0.1158885
6,-0.16740985,-0.0017645806,"('distant', 'open')",0.5018262,0.64038765,-0.7018894,-0.60543376,-0.122491,0.0110631,0.1335541
7,0.20479214,0.232711,"('insensitive', 'sensitive')",-0.3865189,-0.43013215,0.056974374,0.012766264,-0.0415841,-0.0615516,-0.0199675
8,1.1449775,1.1799064,"('unaffectionate', 'affectionate')",1.8521489,1.8003454,0.20236677,0.10673053,1.0664977,1.0289941,-0.0375036
9,1.6818687,1.7195253,"('unaffectionate', 'caring')",1.6466848,1.6186236,0.73274195,0.6442225,1.3537652,1.3274572,-0.026308
10,-0.39218038,-0.41422832,"('unsympathetic', 'sympathetic')",-0.8898776,-1.1260412,-0.3026322,-0.4907438,-0.5282301,-0.6770044,-0.1487743
11,1.0165836,0.9086571,"('unhelpful', 'helpful')",0.12740533,0.08836996,2.3872027,2.2193048,1.1770639,1.0721107,-0.1049532
12,0.77776396,0.8575481,"('unsupportive', 'supportive')",1.0494695,1.0093161,-2.0836055,-2.0929139,-0.0854574,-0.0753499,0.0101075
13,-0.47641304,-0.59417385,"('impolite', 'polite')",-0.579288,-0.7443218,-0.0061788633,-0.107607976,-0.35396,-0.4820346,-0.1280746
14,-0.5812881,-0.7453656,"('antisocial', 'social')",-0.5319193,-0.72429436,-0.12258391,-0.2532815,-0.4119304,-0.5743138,-0.1623834
15,1.857835,1.7586492,"('boring', 'funny')",1.8055869,1.7879543,0.8646863,0.88094485,1.5093695,1.4758495,-0.03352
16,0.66417974,0.7229499,"('unpopular', 'popular')",1.1667731,1.286364,0.11833574,0.07043956,0.6497629,0.6932511,0.0434882
17,0.04949311,0.1559236,"('nasty', 'nice')",-0.0068761185,0.13659373,-0.2602927,-0.2340565,-0.0725586,0.0194869,0.0920455
18,-0.002238065,0.046123646,"('disagreeable', 'welcoming')",0.6197767,0.5291307,-1.0216285,-1.102082,-0.1346966,-0.1756092,-0.0409126
19,-0.31600177,-0.26129416,"('inhospitable', 'hospitable')",0.008448657,0.08017574,-0.41872916,-0.32787585,-0.2420941,-0.1696648,0.0724293
20,-0.329319,-0.33904254,"('rough', 'thoughtful')",-0.46712804,-0.589183,0.33354998,0.37633294,-0.154299,-0.1839642,-0.0296652
21,-0.5232759,-0.6227955,"('immoral', 'moral')",-0.7195566,-0.93399644,-0.5596423,-0.6188577,-0.600825,-0.7252165,-0.1243915
22,-1.3372036,-1.3725451,"('untrustworthy', 'trustworthy')",-1.4741503,-1.6291282,-1.0248853,-1.011035,-1.2787464,-1.3375694,-0.058823
23,1.163872,1.0729089,"('insincere', 'sincere')",0.45322052,0.30919227,5.996885,5.785735,2.5379925,2.3892787,-0.1487138
24,-0.24454457,-0.24106497,"('dishonest', 'honest')",-0.7101776,-0.80746627,0.48112038,0.38924643,-0.1578673,-0.2197616,-0.0618943
25,0.22666767,0.17350647,"('egoistic', 'altruistic')",0.15351795,0.13834175,1.1845895,1.1664189,0.5215917,0.4927557,-0.028836
26,0.8684801,0.7500123,"('hardhearted', 'benevolent')",1.8617109,1.7636677,1.2524679,1.1887128,1.327553,1.2341309,-0.0934221
27,0.08732014,0.16868953,"('hardhearted', 'softhearted')",-0.27675194,-0.28203925,0.5527255,0.4282966,0.1210979,0.1049823,-0.0161156
28,0.2442804,0.12454865,"('disloyal', 'loyal')",-0.2662231,-0.3947033,0.72490966,0.51017076,0.2343223,0.0800054,-0.1543169
