,village_male,village_female,tuple,average_male,average_female,female-male
0,1.0315479,0.75379896,"('unsociable', 'sociable')",1.0315479,0.753799,-0.2777489
1,1.4868182,1.4203663,"('unfriendly', 'friendly')",1.4868182,1.4203663,-0.0664519
2,0.35478246,0.4329664,"('unlikable', 'likable')",0.3547825,0.4329664,0.0781839
3,-0.17478737,-0.022447066,"('repellent', 'pleasant')",-0.1747874,-0.0224471,0.1523403
4,-6.125064,-6.3305616,"('disliked', 'liked')",-6.1250639,-6.3305616,-0.2054977
5,-0.62664586,-0.5480968,"('distant', 'outgoing')",-0.6266459,-0.5480968,0.0785491
6,-0.25890744,-0.16464043,"('distant', 'open')",-0.2589074,-0.1646404,0.094267
7,1.1452487,1.067587,"('insensitive', 'sensitive')",1.1452487,1.067587,-0.0776617
8,1.3689275,1.2844162,"('unaffectionate', 'affectionate')",1.3689275,1.2844162,-0.0845113
9,1.8056537,1.7737938,"('unaffectionate', 'caring')",1.8056537,1.7737938,-0.0318599
10,0.90501165,0.96516633,"('unsympathetic', 'sympathetic')",0.9050117,0.9651663,0.0601546
11,2.3968194,2.3711104,"('unhelpful', 'helpful')",2.3968194,2.3711104,-0.025709
12,-1.1622361,-1.2761296,"('unsupportive', 'supportive')",-1.1622361,-1.2761296,-0.1138935
13,0.2737353,0.20175737,"('impolite', 'polite')",0.2737353,0.2017574,-0.0719779
14,-0.110859215,-0.14872982,"('antisocial', 'social')",-0.1108592,-0.1487298,-0.0378706
15,1.3207895,1.1279327,"('boring', 'funny')",1.3207895,1.1279327,-0.1928568
16,0.6363899,0.4174003,"('unpopular', 'popular')",0.6363899,0.4174003,-0.2189896
17,0.0033980608,-0.06378292,"('nasty', 'nice')",0.0033981,-0.0637829,-0.067181
18,-0.69595027,-0.79244125,"('disagreeable', 'welcoming')",-0.6959503,-0.7924412,-0.0964909
19,0.10219397,0.117467284,"('inhospitable', 'hospitable')",0.102194,0.1174673,0.0152733
20,0.57968366,0.5138639,"('rough', 'thoughtful')",0.5796837,0.5138639,-0.0658198
21,-0.27667916,-0.18992946,"('immoral', 'moral')",-0.2766792,-0.1899295,0.0867497
22,-0.16162696,-0.2147448,"('untrustworthy', 'trustworthy')",-0.161627,-0.2147448,-0.0531178
23,6.147436,6.2642646,"('insincere', 'sincere')",6.1474361,6.2642646,0.1168285
24,1.2909333,1.2728397,"('dishonest', 'honest')",1.2909333,1.2728397,-0.0180936
25,1.0148546,0.8385179,"('egoistic', 'altruistic')",1.0148546,0.8385179,-0.1763367
26,0.47979912,0.40483063,"('hardhearted', 'benevolent')",0.4797991,0.4048306,-0.0749685
27,1.3119628,1.1531372,"('hardhearted', 'softhearted')",1.3119628,1.1531372,-0.1588256
28,0.9088917,0.9179732,"('disloyal', 'loyal')",0.9088917,0.9179732,0.0090815
29,-0.60697496,-0.71424943,"('unfair', 'fair')",-0.606975,-0.7142494,-0.1072744
30,1.3524554,1.3185283,"('intolerant', 'tolerant')",1.3524554,1.3185283,-0.0339271
31,-1.0901825,-1.1344471,"('evil', 'good')",-1.0901825,-1.1344471,-0.0442646
32,0.9540597,0.8823658,"('unkind', 'kind')",0.9540597,0.8823658,-0.0716939
33,0.12975965,0.0015611798,"('wrong', 'right')",0.1297597,0.0015612,-0.1281985
34,5.157447,5.328206,"('mean', 'honorable')",5.1574469,5.3282061,0.1707592
35,-0.4882922,-0.74098486,"('corrupt', 'incorrupt')",-0.4882922,-0.7409849,-0.2526927
36,-0.12686348,-0.33224156,"('hostile', 'amicable')",-0.1268635,-0.3322416,-0.2053781
37,0.61918473,0.6406386,"('fake', 'genuine')",0.6191847,0.6406386,0.0214539
38,1.1563646,1.1395544,"('untruthful', 'truthful')",1.1563646,1.1395544,-0.0168102
39,0.32280603,0.2710579,"('exploitative', 'cooperative')",0.322806,0.2710579,-0.0517481
40,-2.0692284,-2.2456725,"('stingy', 'generous')",-2.0692284,-2.2456725,-0.1764441
41,0.54490674,0.44377467,"('unforgiving', 'forgiving')",0.5449067,0.4437747,-0.101132
42,-2.4474201,-2.4350047,"('unreliable', 'reliable')",-2.4474201,-2.4350047,0.0124154
43,1.4545757,1.44479,"('irresponsible', 'responsible')",1.4545757,1.44479,-0.0097857
44,-1.8310245,-1.7244134,"('prejudiced', 'unprejudiced')",-1.8310245,-1.7244134,0.1066111
45,0.8067999,0.75813913,"('incompetent', 'competent')",0.8067999,0.7581391,-0.0486608
46,0.060890727,-0.042894766,"('uncompetitive', 'competitive')",0.0608907,-0.0428948,-0.1037855
47,4.8873434,5.199143,"('stupid', 'smart')",4.8873434,5.1991429,0.3117995
48,0.50969183,0.39389494,"('unintelligent', 'intelligent')",0.5096918,0.3938949,-0.1157969
49,-0.3077276,-0.22410375,"('unable', 'able')",-0.3077276,-0.2241037,0.0836239
50,-0.69205457,-0.7159297,"('clumsy', 'skillful')",-0.6920546,-0.7159297,-0.0238751
51,0.4255129,0.36231425,"('uneducated', 'educated')",0.4255129,0.3623143,-0.0631986
52,-0.02095429,-0.16395059,"('irrational', 'rational')",-0.0209543,-0.1639506,-0.1429963
53,0.08867704,0.05918731,"('uncreative', 'creative')",0.088677,0.0591873,-0.0294897
54,1.2518517,1.3284591,"('incapable', 'capable')",1.2518517,1.3284591,0.0766074
