,crew_male,crew_female,tuple,average_male,average_female,female-male
0,0.47320804,0.5334907,"('unsociable', 'sociable')",0.473208,0.5334907,0.0602827
1,0.7952786,0.5231334,"('unfriendly', 'friendly')",0.7952786,0.5231334,-0.2721452
2,0.27911484,0.31293496,"('unlikable', 'likable')",0.2791148,0.312935,0.0338202
3,0.9786086,1.0664928,"('repellent', 'pleasant')",0.9786086,1.0664928,0.0878842
4,-7.340695,-7.607535,"('disliked', 'liked')",-7.3406949,-7.6075349,-0.26684
5,-1.0088212,-1.5270369,"('distant', 'outgoing')",-1.0088212,-1.5270369,-0.5182157
6,-0.51742214,-1.1090237,"('distant', 'open')",-0.5174221,-1.1090237,-0.5916016
7,1.607077,1.64162,"('insensitive', 'sensitive')",1.607077,1.64162,0.034543
8,0.71838814,0.60651237,"('unaffectionate', 'affectionate')",0.7183881,0.6065124,-0.1118757
9,1.3208637,1.3495498,"('unaffectionate', 'caring')",1.3208637,1.3495498,0.0286861
10,1.3602742,1.5019832,"('unsympathetic', 'sympathetic')",1.3602742,1.5019832,0.141709
11,1.5367922,1.8132153,"('unhelpful', 'helpful')",1.5367922,1.8132153,0.2764231
12,-1.3964812,-1.3497652,"('unsupportive', 'supportive')",-1.3964812,-1.3497652,0.046716
13,0.15824091,0.4381699,"('impolite', 'polite')",0.1582409,0.4381699,0.279929
14,0.3880801,0.60138214,"('antisocial', 'social')",0.3880801,0.6013821,0.213302
15,0.43461803,0.2751117,"('boring', 'funny')",0.434618,0.2751117,-0.1595063
16,-0.74833506,-1.047868,"('unpopular', 'popular')",-0.7483351,-1.047868,-0.2995329
17,-0.21546416,-0.14745267,"('nasty', 'nice')",-0.2154642,-0.1474527,0.0680115
18,-0.775833,-0.91769075,"('disagreeable', 'welcoming')",-0.775833,-0.9176908,-0.1418578
19,-0.88666064,-1.0209286,"('inhospitable', 'hospitable')",-0.8866606,-1.0209286,-0.134268
20,0.62721527,0.5106769,"('rough', 'thoughtful')",0.6272153,0.5106769,-0.1165384
21,0.19289002,0.53365976,"('immoral', 'moral')",0.19289,0.5336598,0.3407698
22,0.15338291,0.15851516,"('untrustworthy', 'trustworthy')",0.1533829,0.1585152,0.0051323
23,6.103738,6.356926,"('insincere', 'sincere')",6.1037378,6.356926,0.2531882
24,1.4947577,1.3550119,"('dishonest', 'honest')",1.4947577,1.3550119,-0.1397458
25,0.65779245,0.4863907,"('egoistic', 'altruistic')",0.6577924,0.4863907,-0.1714017
26,1.1257069,1.060816,"('hardhearted', 'benevolent')",1.1257069,1.060816,-0.0648909
27,1.4444059,1.152901,"('hardhearted', 'softhearted')",1.4444059,1.1529011,-0.2915048
28,1.3594341,1.2909423,"('disloyal', 'loyal')",1.3594341,1.2909423,-0.0684918
29,-0.09458694,-0.3850212,"('unfair', 'fair')",-0.0945869,-0.3850212,-0.2904343
30,0.940918,1.1033703,"('intolerant', 'tolerant')",0.940918,1.1033703,0.1624523
31,-1.4275583,-1.8036243,"('evil', 'good')",-1.4275583,-1.8036243,-0.376066
32,1.2235147,1.2409955,"('unkind', 'kind')",1.2235147,1.2409955,0.0174808
33,-0.16022381,-0.48556852,"('wrong', 'right')",-0.1602238,-0.4855685,-0.3253447
34,4.1448035,4.224585,"('mean', 'honorable')",4.1448035,4.2245851,0.0797816
35,-1.0065438,-1.625908,"('corrupt', 'incorrupt')",-1.0065438,-1.625908,-0.6193642
36,-0.8105008,-1.1806552,"('hostile', 'amicable')",-0.8105008,-1.1806552,-0.3701544
37,0.932219,0.7933701,"('fake', 'genuine')",0.932219,0.7933701,-0.1388489
38,-0.6332601,-0.58782005,"('untruthful', 'truthful')",-0.6332601,-0.5878201,0.04544
39,0.22847661,0.34669644,"('exploitative', 'cooperative')",0.2284766,0.3466964,0.1182198
40,-1.3436033,-1.7531016,"('stingy', 'generous')",-1.3436033,-1.7531016,-0.4094983
41,0.5701743,0.58690584,"('unforgiving', 'forgiving')",0.5701743,0.5869058,0.0167315
42,-1.902919,-2.2566557,"('unreliable', 'reliable')",-1.9029191,-2.2566557,-0.3537366
43,1.0731517,1.3486127,"('irresponsible', 'responsible')",1.0731517,1.3486127,0.275461
44,-0.9303725,-1.1573148,"('prejudiced', 'unprejudiced')",-0.9303725,-1.1573148,-0.2269423
45,0.888813,0.81160104,"('incompetent', 'competent')",0.888813,0.811601,-0.077212
46,-0.49481222,-0.2869129,"('uncompetitive', 'competitive')",-0.4948122,-0.2869129,0.2078993
47,4.7514086,4.9629316,"('stupid', 'smart')",4.7514086,4.9629316,0.211523
48,0.48161662,0.6508367,"('unintelligent', 'intelligent')",0.4816166,0.6508367,0.1692201
49,-0.25767857,-0.24359399,"('unable', 'able')",-0.2576786,-0.243594,0.0140846
50,-0.46210408,-0.7867736,"('clumsy', 'skillful')",-0.4621041,-0.7867736,-0.3246695
51,0.7195145,0.84694606,"('uneducated', 'educated')",0.7195145,0.8469461,0.1274316
52,-0.1740486,-0.68065214,"('irrational', 'rational')",-0.1740486,-0.6806521,-0.5066035
53,-0.06271863,0.0066317515,"('uncreative', 'creative')",-0.0627186,0.0066318,0.0693504
54,0.9634863,0.86575145,"('incapable', 'capable')",0.9634863,0.8657514,-0.0977349
55,1.2233261,1.4548483,"('incompetent', 'clever')",1.2233261,1.4548483,0.2315222
56,0.48904997,0.67620456,"('impractical', 'practical')",0.48905,0.6762046,0.1871546
57,-1.7984667,-1.9213674,"('unimaginative', 'imaginative')",-1.7984667,-1.9213674,-0.1229007
58,0.4990294,0.5205896,"('undiscriminating', 'discriminating')",0.4990294,0.5205896,0.0215602
59,-0.5646073,-0.9026949,"('foolish', 'wise')",-0.5646073,-0.9026949,-0.3380876
60,0.52446795,0.8318369,"('inefficient', 'efficient')",0.5244679,0.8318369,0.307369
61,0.69461566,0.5226531,"('illogical', 'logical')",0.6946157,0.5226531,-0.1719626
62,0.6286934,0.7703735,"('incompetent', 'brilliant')",0.6286934,0.7703735,0.1416801
63,0.12118633,0.18458827,"('unperceptive', 'insightful')",0.1211863,0.1845883,0.063402
64,-5.952208,-5.909232,"('shy', 'confident')",-5.952208,-5.9092321,0.0429759
65,0.59999055,0.72316194,"('insecure', 'secure')",0.5999905,0.7231619,0.1231714
66,-0.053639594,-0.5613031,"('inactive', 'active')",-0.0536396,-0.5613031,-0.5076635
67,-0.34299663,-0.14387439,"('doubtful', 'determined')",-0.3429966,-0.1438744,0.1991222
68,-0.77534795,-0.79575473,"('dependent', 'independent')",-0.7753479,-0.7957547,-0.0204068
69,-2.1380327,-2.6518478,"('lazy', 'industrious')",-2.1380327,-2.6518478,-0.5138151
70,1.8330866,1.6894816,"('lethargic', 'energetic')",1.8330866,1.6894816,-0.143605
71,0.20241924,-0.103903286,"('diffident', 'self-confident')",0.2024192,-0.1039033,-0.3063225
72,0.8271381,0.873613,"('unambitious', 'ambitious')",0.8271381,0.873613,0.0464749
73,-2.9064727,-3.1188123,"('helpless', 'self-reliant')",-2.9064727,-3.1188123,-0.2123396
74,0.71036196,0.77760094,"('undedicated', 'dedicated')",0.710362,0.7776009,0.0672389
75,-0.9748723,-1.1136667,"('meek', 'impulsive')",-0.9748723,-1.1136667,-0.1387944
76,0.76199913,0.80262685,"('anxious', 'daring')",0.7619991,0.8026268,0.0406277
77,-1.3190312,-0.9554876,"('unmotivated', 'motivated')",-1.3190312,-0.9554876,0.3635436
78,-0.85075873,-0.8180131,"('nonresilient', 'resilient')",-0.8507587,-0.8180131,0.0327456
79,-0.4360107,-0.78126395,"('wavering', 'unwavering')",-0.4360107,-0.7812639,-0.3452532
80,0.5797282,0.59188384,"('dominated', 'dominating')",0.5797282,0.5918838,0.0121556
81,0.209077,0.44665325,"('submissive', 'aggressive')",0.209077,0.4466532,0.2375762
