,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.2700706,-1.3608394,"('unsociable', 'sociable')",-1.1954373,-1.4407405,-1.4069922,-1.5543247,-0.3172941,-0.54712296,-1.0474485,-1.2257569,-0.1783084
1,-0.67885685,-0.71508485,"('unfriendly', 'friendly')",-0.57673866,-0.7320127,1.0754726,1.0200912,1.4212667,1.1513586,0.310286,0.1810881,-0.1291979
2,0.4672251,0.6345211,"('unlikable', 'likable')",1.6183165,1.6392833,0.8901075,0.9300526,0.75575674,0.8139086,0.9328516,1.0044414,0.0715898
3,-0.05249195,-0.012862809,"('repellent', 'pleasant')",-0.96054953,-0.96472263,-1.2735907,-1.1958734,0.19826882,0.2724659,-0.5220908,-0.4752482,0.0468426
4,-0.36266136,-0.43085554,"('disliked', 'liked')",0.84098023,0.830595,0.9446268,1.014443,-5.61707,-5.5519404,-1.0485311,-1.0344394,0.0140917
5,0.59170884,0.5946177,"('distant', 'outgoing')",0.89242643,0.99832165,2.9570808,2.9872286,0.09739484,0.067466654,1.1346527,1.1619086,0.0272559
6,1.2784296,1.3006849,"('distant', 'open')",0.9331068,1.0837688,2.232407,2.3218942,-0.31834325,-0.38819206,1.0314001,1.0795389,0.0481388
7,-0.19968775,-0.17533106,"('insensitive', 'sensitive')",-1.5649436,-1.5513309,-0.9575091,-0.9082693,-0.18686378,-0.27745792,-0.7272511,-0.7280973,-0.0008462
8,-0.61576974,-0.64285177,"('unaffectionate', 'affectionate')",-0.1331183,-0.18014428,1.2713934,1.2510312,0.37516168,0.23836257,0.2244168,0.1665994,-0.0578174
9,0.49807656,0.5630696,"('unaffectionate', 'caring')",-0.54799616,-0.6502081,0.6395158,0.63383806,1.0185738,0.93517727,0.4020425,0.3704692,-0.0315733
10,-1.4322444,-1.4061273,"('unsympathetic', 'sympathetic')",-2.4733453,-2.6901488,-3.536528,-3.6679795,-0.99992895,-1.1790414,-2.1105118,-2.2358241,-0.1253123
11,-1.0862993,-1.0465753,"('unhelpful', 'helpful')",-2.219548,-2.239353,-2.1711254,-2.1769252,1.5305377,1.5200939,-0.9866087,-0.9856899,0.0009188
12,0.40367314,0.49258333,"('unsupportive', 'supportive')",-0.3586561,-0.41502964,0.15993543,0.19309717,-1.7471375,-1.7528565,-0.3855463,-0.3705514,0.0149949
13,-0.81743795,-0.8259881,"('impolite', 'polite')",-1.3190362,-1.4031197,-1.8974012,-2.0199864,-0.74210805,-0.8278823,-1.1939958,-1.2692441,-0.0752483
