,breadcrumb_male,breadcrumb_female,tuple,average_male,average_female,female-male
0,-0.60003823,-0.62264764,"('unsociable', 'sociable')",-0.6000382,-0.6226476,-0.0226094
1,-0.7094368,-0.85252255,"('unfriendly', 'friendly')",-0.7094368,-0.8525226,-0.1430858
2,-0.7147364,-0.6961971,"('unlikable', 'likable')",-0.7147364,-0.6961971,0.0185393
3,-1.7686219,-1.5796759,"('repellent', 'pleasant')",-1.7686219,-1.5796759,0.188946
4,-0.6376815,-0.6077004,"('disliked', 'liked')",-0.6376815,-0.6077004,0.0299811
5,0.2912335,0.30360082,"('distant', 'outgoing')",0.2912335,0.3036008,0.0123673
6,0.49610403,0.48797885,"('distant', 'open')",0.496104,0.4879788,-0.0081252
7,-0.7894403,-0.7360883,"('insensitive', 'sensitive')",-0.7894403,-0.7360883,0.053352
8,0.13019668,-0.048710622,"('unaffectionate', 'affectionate')",0.1301967,-0.0487106,-0.1789073
9,-0.15637171,-0.27490756,"('unaffectionate', 'caring')",-0.1563717,-0.2749076,-0.1185359
10,-1.6264105,-1.5516092,"('unsympathetic', 'sympathetic')",-1.6264105,-1.5516092,0.0748013
11,-0.65955967,-0.6242729,"('unhelpful', 'helpful')",-0.6595597,-0.6242729,0.0352868
12,-1.5417231,-1.4936843,"('unsupportive', 'supportive')",-1.5417231,-1.4936843,0.0480388
13,-0.68788767,-0.63964003,"('impolite', 'polite')",-0.6878877,-0.63964,0.0482477
14,-1.5296223,-1.4981223,"('antisocial', 'social')",-1.5296223,-1.4981223,0.0315
15,1.3050075,1.2094711,"('boring', 'funny')",1.3050075,1.2094711,-0.0955364
16,-0.4162473,-0.32575035,"('unpopular', 'popular')",-0.4162473,-0.3257504,0.0904969
17,-0.27877063,-0.177705,"('nasty', 'nice')",-0.2787706,-0.177705,0.1010656
18,-1.6164069,-1.4255754,"('disagreeable', 'welcoming')",-1.6164069,-1.4255754,0.1908315
19,-0.2247905,-0.040062197,"('inhospitable', 'hospitable')",-0.2247905,-0.0400622,0.1847283
20,-0.7505059,-0.67385554,"('rough', 'thoughtful')",-0.7505059,-0.6738555,0.0766504
21,-0.96160114,-0.73134446,"('immoral', 'moral')",-0.9616011,-0.7313445,0.2302566
22,-0.87809527,-0.9022292,"('untrustworthy', 'trustworthy')",-0.8780953,-0.9022292,-0.0241339
23,-0.075513706,-0.057782404,"('insincere', 'sincere')",-0.0755137,-0.0577824,0.0177313
24,-0.9904524,-1.041442,"('dishonest', 'honest')",-0.9904524,-1.041442,-0.0509896
25,0.95367706,0.8869446,"('egoistic', 'altruistic')",0.9536771,0.8869446,-0.0667325
26,0.5157033,0.22860408,"('hardhearted', 'benevolent')",0.5157033,0.2286041,-0.2870992
27,0.7691196,0.71355695,"('hardhearted', 'softhearted')",0.7691196,0.7135569,-0.0555627
28,-0.39517057,-0.52206063,"('disloyal', 'loyal')",-0.3951706,-0.5220606,-0.12689
29,0.019043893,-0.008211687,"('unfair', 'fair')",0.0190439,-0.0082117,-0.0272556
30,-1.0657674,-0.9369045,"('intolerant', 'tolerant')",-1.0657674,-0.9369045,0.1288629
31,-0.21197805,-0.14350615,"('evil', 'good')",-0.211978,-0.1435062,0.0684718
32,-0.30270806,-0.3914499,"('unkind', 'kind')",-0.3027081,-0.3914499,-0.0887418
33,0.72997725,0.72082996,"('wrong', 'right')",0.7299773,0.72083,-0.0091473
34,0.583302,0.7809196,"('mean', 'honorable')",0.583302,0.7809196,0.1976176
35,1.8583268,1.7995976,"('corrupt', 'incorrupt')",1.8583268,1.7995976,-0.0587292
36,0.33312583,0.2968728,"('hostile', 'amicable')",0.3331258,0.2968728,-0.036253
37,-0.12372953,-0.06932412,"('fake', 'genuine')",-0.1237295,-0.0693241,0.0544054
38,-0.32436657,-0.3694563,"('untruthful', 'truthful')",-0.3243666,-0.3694563,-0.0450897
39,0.3791058,0.4450516,"('exploitative', 'cooperative')",0.3791058,0.4450516,0.0659458
40,-1.5188155,-1.5227128,"('stingy', 'generous')",-1.5188155,-1.5227128,-0.0038973
41,-0.67950696,-0.6796464,"('unforgiving', 'forgiving')",-0.679507,-0.6796464,-0.0001394
42,-0.3652859,-0.22023073,"('unreliable', 'reliable')",-0.3652859,-0.2202307,0.1450552
43,-1.086105,-1.0745034,"('irresponsible', 'responsible')",-1.086105,-1.0745034,0.0116016
44,0.5213634,0.59878075,"('prejudiced', 'unprejudiced')",0.5213634,0.5987808,0.0774174
45,-0.48799255,-0.516491,"('incompetent', 'competent')",-0.4879926,-0.516491,-0.0284984
46,-1.7344109,-1.6706758,"('uncompetitive', 'competitive')",-1.7344109,-1.6706758,0.0637351
47,0.7591088,0.73844695,"('stupid', 'smart')",0.7591088,0.738447,-0.0206618
48,-1.6050005,-1.580957,"('unintelligent', 'intelligent')",-1.6050005,-1.5809571,0.0240434
49,-0.79681003,-0.59740925,"('unable', 'able')",-0.79681,-0.5974092,0.1994008
50,0.026112773,0.012298962,"('clumsy', 'skillful')",0.0261128,0.012299,-0.0138138
51,-1.6734674,-1.557426,"('uneducated', 'educated')",-1.6734674,-1.557426,0.1160414
52,-0.16913843,-0.36416215,"('irrational', 'rational')",-0.1691384,-0.3641621,-0.1950237
53,-1.2543471,-1.3038679,"('uncreative', 'creative')",-1.2543471,-1.3038679,-0.0495208
54,-0.08958651,-0.10051739,"('incapable', 'capable')",-0.0895865,-0.1005174,-0.0109309
55,-1.4556028,-1.3006871,"('incompetent', 'clever')",-1.4556028,-1.3006871,0.1549157
56,-0.51352555,-0.3661497,"('impractical', 'practical')",-0.5135255,-0.3661497,0.1473758
57,-1.5962069,-1.6267731,"('unimaginative', 'imaginative')",-1.5962069,-1.6267731,-0.0305662
58,-0.54811263,-0.58390397,"('undiscriminating', 'discriminating')",-0.5481126,-0.583904,-0.0357914
59,0.11710227,-0.007439006,"('foolish', 'wise')",0.1171023,-0.007439,-0.1245413
60,-1.0762503,-0.83277625,"('inefficient', 'efficient')",-1.0762503,-0.8327762,0.2434741
61,-0.69129723,-0.76239747,"('illogical', 'logical')",-0.6912972,-0.7623975,-0.0711003
62,-1.2898977,-1.1932808,"('incompetent', 'brilliant')",-1.2898977,-1.1932808,0.0966169
63,-1.0197461,-0.93232363,"('unperceptive', 'insightful')",-1.0197461,-0.9323236,0.0874225
64,-2.2222822,-2.153651,"('shy', 'confident')",-2.2222822,-2.153651,0.0686312
65,-1.1270682,-1.1508902,"('insecure', 'secure')",-1.1270682,-1.1508902,-0.023822
66,0.334329,0.2480719,"('inactive', 'active')",0.334329,0.2480719,-0.0862571
67,-0.3822165,-0.30607784,"('doubtful', 'determined')",-0.3822165,-0.3060778,0.0761387
68,-1.2709912,-1.104017,"('dependent', 'independent')",-1.2709912,-1.104017,0.1669742
69,0.93349224,0.9357755,"('lazy', 'industrious')",0.9334922,0.9357755,0.0022833
70,-0.64470595,-0.64635354,"('lethargic', 'energetic')",-0.644706,-0.6463535,-0.0016475
71,0.8322505,0.94241637,"('diffident', 'self-confident')",0.8322505,0.9424164,0.1101659
72,-1.6773736,-1.7873287,"('unambitious', 'ambitious')",-1.6773736,-1.7873287,-0.1099551
73,0.17001969,0.27254367,"('helpless', 'self-reliant')",0.1700197,0.2725437,0.102524
74,0.11447828,0.10175861,"('undedicated', 'dedicated')",0.1144783,0.1017586,-0.0127197
75,0.43888304,0.39764738,"('meek', 'impulsive')",0.438883,0.3976474,-0.0412356
76,-0.6079947,-0.511246,"('anxious', 'daring')",-0.6079947,-0.511246,0.0967487
77,-1.4963377,-1.2900406,"('unmotivated', 'motivated')",-1.4963377,-1.2900406,0.2062971
78,0.38286355,0.3857538,"('nonresilient', 'resilient')",0.3828636,0.3857538,0.0028902
79,0.6759405,0.62707543,"('wavering', 'unwavering')",0.6759405,0.6270754,-0.0488651
