,advent_male,advent_female,tuple,average_male,average_female,female-male
0,0.3307532,0.1829892,"('unsociable', 'sociable')",0.3307532,0.1829892,-0.147764
1,1.1796129,1.0768315,"('unfriendly', 'friendly')",1.1796129,1.0768315,-0.1027814
2,0.5049323,0.6732226,"('unlikable', 'likable')",0.5049323,0.6732226,0.1682903
3,1.0177968,1.0551621,"('repellent', 'pleasant')",1.0177968,1.0551621,0.0373653
4,-6.9841313,-6.864705,"('disliked', 'liked')",-6.9841313,-6.8647051,0.1194262
5,-0.10668858,0.03794368,"('distant', 'outgoing')",-0.1066886,0.0379437,0.1446323
6,-0.053112164,0.086015835,"('distant', 'open')",-0.0531122,0.0860158,0.139128
7,0.54606223,0.55716944,"('insensitive', 'sensitive')",0.5460622,0.5571694,0.0111072
8,0.86144286,0.80662113,"('unaffectionate', 'affectionate')",0.8614429,0.8066211,-0.0548218
9,1.5582106,1.5714263,"('unaffectionate', 'caring')",1.5582106,1.5714263,0.0132157
10,1.2243664,1.2759954,"('unsympathetic', 'sympathetic')",1.2243664,1.2759954,0.051629
11,2.0751014,2.0758421,"('unhelpful', 'helpful')",2.0751014,2.0758421,0.0007407
12,-1.2876885,-1.2862959,"('unsupportive', 'supportive')",-1.2876885,-1.2862959,0.0013926
13,0.6966087,0.6317111,"('impolite', 'polite')",0.6966087,0.6317111,-0.0648976
14,0.0031037247,-0.16282314,"('antisocial', 'social')",0.0031037,-0.1628231,-0.1659268
15,0.38189897,0.30417764,"('boring', 'funny')",0.381899,0.3041776,-0.0777214
16,-0.16758987,-0.12789848,"('unpopular', 'popular')",-0.1675899,-0.1278985,0.0396914
17,-0.19723083,-0.12175283,"('nasty', 'nice')",-0.1972308,-0.1217528,0.075478
18,-0.48765188,-0.6238874,"('disagreeable', 'welcoming')",-0.4876519,-0.6238874,-0.1362355
19,-0.66860074,-0.4496474,"('inhospitable', 'hospitable')",-0.6686007,-0.4496474,0.2189533
20,0.5636708,0.43828246,"('rough', 'thoughtful')",0.5636708,0.4382825,-0.1253883
21,0.23111841,0.34630498,"('immoral', 'moral')",0.2311184,0.346305,0.1151866
22,-0.13759127,-0.11043282,"('untrustworthy', 'trustworthy')",-0.1375913,-0.1104328,0.0271585
23,6.173657,6.0818434,"('insincere', 'sincere')",6.1736569,6.0818434,-0.0918135
24,1.6640084,1.6719092,"('dishonest', 'honest')",1.6640084,1.6719092,0.0079008
25,0.4069435,0.33478132,"('egoistic', 'altruistic')",0.4069435,0.3347813,-0.0721622
26,0.17004703,0.018404532,"('hardhearted', 'benevolent')",0.170047,0.0184045,-0.1516425
27,1.2137696,1.0755059,"('hardhearted', 'softhearted')",1.2137696,1.0755059,-0.1382637
28,0.98550063,0.95601773,"('disloyal', 'loyal')",0.9855006,0.9560177,-0.0294829
29,-0.8172333,-0.8461979,"('unfair', 'fair')",-0.8172333,-0.8461979,-0.0289646
30,0.87378675,0.80972195,"('intolerant', 'tolerant')",0.8737867,0.8097219,-0.0640648
31,-1.6242234,-1.5640885,"('evil', 'good')",-1.6242234,-1.5640885,0.0601349
32,1.2654228,1.2841457,"('unkind', 'kind')",1.2654228,1.2841457,0.0187229
33,-0.24601384,-0.19403157,"('wrong', 'right')",-0.2460138,-0.1940316,0.0519822
34,4.465314,4.542339,"('mean', 'honorable')",4.4653139,4.5423388,0.0770249
35,-1.3236426,-1.3744259,"('corrupt', 'incorrupt')",-1.3236426,-1.3744259,-0.0507833
36,-1.0273955,-1.0324922,"('hostile', 'amicable')",-1.0273955,-1.0324922,-0.0050967
37,0.5749543,0.6134006,"('fake', 'genuine')",0.5749543,0.6134006,0.0384463
38,-0.1312409,-0.064456,"('untruthful', 'truthful')",-0.1312409,-0.064456,0.0667849
39,0.020267325,-0.0145293465,"('exploitative', 'cooperative')",0.0202673,-0.0145293,-0.0347966
40,-1.4710447,-1.6264441,"('stingy', 'generous')",-1.4710447,-1.6264441,-0.1553994
41,-0.13070516,-0.11931512,"('unforgiving', 'forgiving')",-0.1307052,-0.1193151,0.0113901
42,-1.9160318,-1.8458489,"('unreliable', 'reliable')",-1.9160318,-1.8458489,0.0701829
43,1.2672722,1.2447221,"('irresponsible', 'responsible')",1.2672722,1.2447221,-0.0225501
44,-1.2991613,-1.2966012,"('prejudiced', 'unprejudiced')",-1.2991613,-1.2966012,0.0025601
45,0.19958743,0.26913288,"('incompetent', 'competent')",0.1995874,0.2691329,0.0695455
46,-0.23607606,-0.19437791,"('uncompetitive', 'competitive')",-0.2360761,-0.1943779,0.0416982
47,5.20493,5.3432107,"('stupid', 'smart')",5.2049298,5.3432107,0.1382809
48,0.95522356,0.7492839,"('unintelligent', 'intelligent')",0.9552236,0.7492839,-0.2059397
49,0.074011296,0.24538015,"('unable', 'able')",0.0740113,0.2453801,0.1713688
50,0.008625621,0.093384214,"('clumsy', 'skillful')",0.0086256,0.0933842,0.0847586
51,0.4521318,0.44812933,"('uneducated', 'educated')",0.4521318,0.4481293,-0.0040025
52,-0.7608801,-0.76397306,"('irrational', 'rational')",-0.7608801,-0.7639731,-0.003093
53,0.043930653,0.030252483,"('uncreative', 'creative')",0.0439307,0.0302525,-0.0136782
54,1.0771017,1.2702494,"('incapable', 'capable')",1.0771017,1.2702494,0.1931477
55,1.0084502,0.88943154,"('incompetent', 'clever')",1.0084502,0.8894315,-0.1190187
56,1.0007365,1.0032935,"('impractical', 'practical')",1.0007365,1.0032935,0.002557
57,-2.2876823,-2.199851,"('unimaginative', 'imaginative')",-2.2876823,-2.199851,0.0878313
58,-0.2767983,-0.26947966,"('undiscriminating', 'discriminating')",-0.2767983,-0.2694797,0.0073186
59,-0.12004269,0.015661884,"('foolish', 'wise')",-0.1200427,0.0156619,0.1357046
60,1.1795242,1.1323111,"('inefficient', 'efficient')",1.1795242,1.1323111,-0.0472131
61,0.18414626,-0.0021841936,"('illogical', 'logical')",0.1841463,-0.0021842,-0.1863305
62,1.444411,1.5058347,"('incompetent', 'brilliant')",1.444411,1.5058347,0.0614237
63,0.7159483,0.7994958,"('unperceptive', 'insightful')",0.7159483,0.7994958,0.0835475
64,-5.6218863,-5.448512,"('shy', 'confident')",-5.6218863,-5.4485121,0.1733742
65,0.8261633,0.77695215,"('insecure', 'secure')",0.8261633,0.7769521,-0.0492112
66,-0.26237568,-0.18529722,"('inactive', 'active')",-0.2623757,-0.1852972,0.0770785
67,-0.5845942,-0.50216603,"('doubtful', 'determined')",-0.5845942,-0.502166,0.0824282
68,-0.2750945,-0.24135524,"('dependent', 'independent')",-0.2750945,-0.2413552,0.0337393
69,-1.6293824,-1.5294818,"('lazy', 'industrious')",-1.6293824,-1.5294818,0.0999006
70,1.5468743,1.5700006,"('lethargic', 'energetic')",1.5468743,1.5700006,0.0231263
71,0.54088616,0.603737,"('diffident', 'self-confident')",0.5408862,0.603737,0.0628508
72,0.99858385,1.071484,"('unambitious', 'ambitious')",0.9985839,1.071484,0.0729001
