,immigration_male,immigration_female,tuple,average_male,average_female,female-male
0,0.099452764,-0.066676855,"('unsociable', 'sociable')",0.0994528,-0.0666769,-0.1661297
1,1.8396868,1.7586623,"('unfriendly', 'friendly')",1.8396868,1.7586623,-0.0810245
2,0.7604491,0.8094016,"('unlikable', 'likable')",0.7604491,0.8094016,0.0489525
3,0.067492306,0.2597829,"('repellent', 'pleasant')",0.0674923,0.2597829,0.1922906
4,-7.3847146,-7.389481,"('disliked', 'liked')",-7.3847146,-7.3894811,-0.0047665
5,0.102611676,0.1766878,"('distant', 'outgoing')",0.1026117,0.1766878,0.0740761
6,0.33200395,0.39668643,"('distant', 'open')",0.332004,0.3966864,0.0646824
7,0.064198196,0.22883053,"('insensitive', 'sensitive')",0.0641982,0.2288305,0.1646323
8,1.7670152,1.7085413,"('unaffectionate', 'affectionate')",1.7670152,1.7085413,-0.0584739
9,2.135565,2.1751134,"('unaffectionate', 'caring')",2.135565,2.1751134,0.0395484
10,0.3086657,0.5326595,"('unsympathetic', 'sympathetic')",0.3086657,0.5326595,0.2239938
11,2.2590559,2.2929797,"('unhelpful', 'helpful')",2.2590559,2.2929797,0.0339238
12,-1.4692723,-1.3222128,"('unsupportive', 'supportive')",-1.4692723,-1.3222128,0.1470595
13,0.07799626,0.04066825,"('impolite', 'polite')",0.0779963,0.0406682,-0.0373281
14,0.13975176,-0.04625455,"('antisocial', 'social')",0.1397518,-0.0462545,-0.1860063
15,0.07593563,-0.0026611127,"('boring', 'funny')",0.0759356,-0.0026611,-0.0785967
16,-0.32605904,-0.33796883,"('unpopular', 'popular')",-0.326059,-0.3379688,-0.0119098
17,-8.204579e-05,-0.047367785,"('nasty', 'nice')",-8.2e-05,-0.0473678,-0.0472858
18,-0.33614537,-0.43291122,"('disagreeable', 'welcoming')",-0.3361454,-0.4329112,-0.0967658
19,-0.27629727,-0.19230516,"('inhospitable', 'hospitable')",-0.2762973,-0.1923052,0.0839921
20,0.37491322,0.3553778,"('rough', 'thoughtful')",0.3749132,0.3553778,-0.0195354
21,-0.17386875,-0.078591675,"('immoral', 'moral')",-0.1738687,-0.0785917,0.095277
22,-0.9820754,-0.93190354,"('untrustworthy', 'trustworthy')",-0.9820754,-0.9319035,0.0501719
23,6.5325813,6.52522,"('insincere', 'sincere')",6.5325813,6.5252199,-0.0073614
24,1.7635549,1.7812629,"('dishonest', 'honest')",1.7635549,1.7812629,0.017708
25,1.0878593,0.863632,"('egoistic', 'altruistic')",1.0878593,0.863632,-0.2242273
26,1.2586637,0.90734875,"('hardhearted', 'benevolent')",1.2586637,0.9073488,-0.3513149
27,0.93675107,1.0292935,"('hardhearted', 'softhearted')",0.9367511,1.0292935,0.0925424
28,1.8126379,1.632551,"('disloyal', 'loyal')",1.8126379,1.632551,-0.1800869
29,-1.0102261,-1.0789,"('unfair', 'fair')",-1.0102261,-1.0789,-0.0686739
30,1.0276135,0.983194,"('intolerant', 'tolerant')",1.0276135,0.983194,-0.0444195
31,-1.5150836,-1.4446865,"('evil', 'good')",-1.5150836,-1.4446865,0.0703971
32,1.3964276,1.2423949,"('unkind', 'kind')",1.3964276,1.2423949,-0.1540327
33,0.2889068,0.09340137,"('wrong', 'right')",0.2889068,0.0934014,-0.1955054
34,5.266267,5.298014,"('mean', 'honorable')",5.2662668,5.2980142,0.0317474
35,-0.77109504,-1.0217788,"('corrupt', 'incorrupt')",-0.771095,-1.0217788,-0.2506838
36,-0.098655745,-0.3541836,"('hostile', 'amicable')",-0.0986557,-0.3541836,-0.2555279
37,0.30028424,0.44192094,"('fake', 'genuine')",0.3002842,0.4419209,0.1416367
38,0.6177333,0.5114824,"('untruthful', 'truthful')",0.6177333,0.5114824,-0.1062509
39,0.065204985,0.04550891,"('exploitative', 'cooperative')",0.065205,0.0455089,-0.0196961
40,-2.4131298,-2.3016577,"('stingy', 'generous')",-2.4131298,-2.3016577,0.1114721
41,0.53834254,0.43529028,"('unforgiving', 'forgiving')",0.5383425,0.4352903,-0.1030522
42,-2.8842828,-2.6262197,"('unreliable', 'reliable')",-2.8842828,-2.6262197,0.2580631
43,1.1289246,1.2407559,"('irresponsible', 'responsible')",1.1289246,1.2407559,0.1118313
44,-1.4902527,-1.4626311,"('prejudiced', 'unprejudiced')",-1.4902527,-1.4626311,0.0276216
45,-0.060336452,0.066858634,"('incompetent', 'competent')",-0.0603365,0.0668586,0.1271951
