,polyp_male,polyp_female,tuple,average_male,average_female,female-male
0,0.25701433,-0.036544647,"('unsociable', 'sociable')",0.2570143,-0.0365446,-0.2935589
1,0.032450847,-0.13786457,"('unfriendly', 'friendly')",0.0324508,-0.1378646,-0.1703154
2,0.12748913,0.14955886,"('unlikable', 'likable')",0.1274891,0.1495589,0.0220698
3,0.06587872,0.018408302,"('repellent', 'pleasant')",0.0658787,0.0184083,-0.0474704
4,-2.949104,-2.9763522,"('disliked', 'liked')",-2.9491041,-2.9763522,-0.0272481
5,-1.2047356,-1.1007004,"('distant', 'outgoing')",-1.2047356,-1.1007004,0.1040352
6,-1.4462705,-1.3141152,"('distant', 'open')",-1.4462705,-1.3141152,0.1321553
7,0.12925276,0.10111578,"('insensitive', 'sensitive')",0.1292528,0.1011158,-0.028137
8,-0.22862445,-0.26015046,"('unaffectionate', 'affectionate')",-0.2286244,-0.2601505,-0.0315261
9,0.0893032,-0.005172927,"('unaffectionate', 'caring')",0.0893032,-0.0051729,-0.0944761
10,-0.2679257,-0.39418235,"('unsympathetic', 'sympathetic')",-0.2679257,-0.3941824,-0.1262567
11,1.4522722,1.375594,"('unhelpful', 'helpful')",1.4522722,1.375594,-0.0766782
12,-0.9633846,-0.9596953,"('unsupportive', 'supportive')",-0.9633846,-0.9596953,0.0036893
13,-0.20681705,-0.30179435,"('impolite', 'polite')",-0.206817,-0.3017944,-0.0949774
14,0.7780957,0.6482255,"('antisocial', 'social')",0.7780957,0.6482255,-0.1298702
15,0.40668234,0.35141394,"('boring', 'funny')",0.4066823,0.3514139,-0.0552684
16,-0.41692525,-0.4990226,"('unpopular', 'popular')",-0.4169253,-0.4990226,-0.0820973
17,-0.16951163,-0.15908366,"('nasty', 'nice')",-0.1695116,-0.1590837,0.0104279
18,-0.75537574,-0.76416004,"('disagreeable', 'welcoming')",-0.7553757,-0.76416,-0.0087843
19,-1.8610709,-1.8098123,"('inhospitable', 'hospitable')",-1.8610709,-1.8098123,0.0512586
20,0.4689349,0.47959828,"('rough', 'thoughtful')",0.4689349,0.4795983,0.0106634
21,0.8621384,0.7269709,"('immoral', 'moral')",0.8621384,0.7269709,-0.1351675
22,-0.07020941,-0.114150025,"('untrustworthy', 'trustworthy')",-0.0702094,-0.11415,-0.0439406
23,2.4911177,2.4016824,"('insincere', 'sincere')",2.4911177,2.4016824,-0.0894353
24,0.19388466,0.15601283,"('dishonest', 'honest')",0.1938847,0.1560128,-0.0378719
25,-0.14772189,-0.31258106,"('egoistic', 'altruistic')",-0.1477219,-0.3125811,-0.1648592
26,0.48650774,0.35676077,"('hardhearted', 'benevolent')",0.4865077,0.3567608,-0.1297469
27,-0.10632991,-0.1655046,"('hardhearted', 'softhearted')",-0.1063299,-0.1655046,-0.0591747
28,0.41825515,0.25569227,"('disloyal', 'loyal')",0.4182552,0.2556923,-0.1625629
29,-0.60653317,-0.6862874,"('unfair', 'fair')",-0.6065332,-0.6862874,-0.0797542
30,1.4598479,1.362797,"('intolerant', 'tolerant')",1.4598479,1.362797,-0.0970509
31,-1.7202183,-1.5925931,"('evil', 'good')",-1.7202183,-1.5925931,0.1276252
32,1.009262,0.7690826,"('unkind', 'kind')",1.009262,0.7690826,-0.2401794
33,-0.23859732,-0.34589043,"('wrong', 'right')",-0.2385973,-0.3458904,-0.1072931
34,1.9077536,2.134892,"('mean', 'honorable')",1.9077536,2.134892,0.2271384
35,-1.5299138,-1.5303574,"('corrupt', 'incorrupt')",-1.5299138,-1.5303574,-0.0004436
36,-1.1101037,-1.1458554,"('hostile', 'amicable')",-1.1101037,-1.1458554,-0.0357517
37,-0.0504583,-0.12438144,"('fake', 'genuine')",-0.0504583,-0.1243814,-0.0739231
38,0.037677176,0.05704186,"('untruthful', 'truthful')",0.0376772,0.0570419,0.0193647
39,1.1835116,1.1473068,"('exploitative', 'cooperative')",1.1835116,1.1473068,-0.0362048
40,-1.2212474,-1.2769778,"('stingy', 'generous')",-1.2212474,-1.2769778,-0.0557304
41,0.6795697,0.7372868,"('unforgiving', 'forgiving')",0.6795697,0.7372868,0.0577171
42,-0.8733778,-0.93228316,"('unreliable', 'reliable')",-0.8733778,-0.9322832,-0.0589054
43,0.22568755,0.20229644,"('irresponsible', 'responsible')",0.2256875,0.2022964,-0.0233911
44,-0.20671023,-0.17409551,"('prejudiced', 'unprejudiced')",-0.2067102,-0.1740955,0.0326147
45,0.061795235,0.093572564,"('incompetent', 'competent')",0.0617952,0.0935726,0.0317774
46,-0.3733998,-0.4769974,"('uncompetitive', 'competitive')",-0.3733998,-0.4769974,-0.1035976
