,quantity_male,quantity_female,tuple,average_male,average_female,female-male
0,-0.004953934,0.017832035,"('unsociable', 'sociable')",-0.0049539,0.017832,0.0227859
1,0.89681005,0.9655222,"('unfriendly', 'friendly')",0.8968101,0.9655222,0.0687121
2,-0.08990238,0.1952816,"('unlikable', 'likable')",-0.0899024,0.1952816,0.285184
3,0.49398172,0.78984994,"('repellent', 'pleasant')",0.4939817,0.7898499,0.2958682
4,-7.9426255,-7.6822653,"('disliked', 'liked')",-7.9426255,-7.6822653,0.2603602
5,-0.6274054,-0.50684917,"('distant', 'outgoing')",-0.6274054,-0.5068492,0.1205562
6,-0.3185115,-0.27057025,"('distant', 'open')",-0.3185115,-0.2705702,0.0479413
7,1.230945,1.365725,"('insensitive', 'sensitive')",1.230945,1.365725,0.13478
8,0.8379522,0.77771485,"('unaffectionate', 'affectionate')",0.8379522,0.7777148,-0.0602374
9,1.2541405,1.192944,"('unaffectionate', 'caring')",1.2541405,1.192944,-0.0611965
10,1.4886173,1.5037776,"('unsympathetic', 'sympathetic')",1.4886173,1.5037776,0.0151603
11,1.9899641,2.0520222,"('unhelpful', 'helpful')",1.9899641,2.0520222,0.0620581
12,-1.4575301,-1.3201646,"('unsupportive', 'supportive')",-1.4575301,-1.3201646,0.1373655
13,-0.019752309,0.110954136,"('impolite', 'polite')",-0.0197523,0.1109541,0.1307064
14,-0.018467823,0.05090691,"('antisocial', 'social')",-0.0184678,0.0509069,0.0693747
15,0.15145084,0.18916088,"('boring', 'funny')",0.1514508,0.1891609,0.0377101
16,-0.91232526,-0.805261,"('unpopular', 'popular')",-0.9123253,-0.805261,0.1070643
17,0.22758593,0.18874207,"('nasty', 'nice')",0.2275859,0.1887421,-0.0388438
18,-1.1333593,-0.9156438,"('disagreeable', 'welcoming')",-1.1333593,-0.9156438,0.2177155
19,-0.28370538,-0.34860477,"('inhospitable', 'hospitable')",-0.2837054,-0.3486048,-0.0648994
20,0.844333,0.76091707,"('rough', 'thoughtful')",0.844333,0.7609171,-0.0834159
21,0.04956759,0.30278265,"('immoral', 'moral')",0.0495676,0.3027827,0.2532151
22,0.11645957,0.2665654,"('untrustworthy', 'trustworthy')",0.1164596,0.2665654,0.1501058
23,6.5389233,6.6138053,"('insincere', 'sincere')",6.5389233,6.6138053,0.074882
24,1.9580417,2.040423,"('dishonest', 'honest')",1.9580417,2.0404229,0.0823812
25,0.3988066,0.3854512,"('egoistic', 'altruistic')",0.3988066,0.3854512,-0.0133554
26,0.77601033,0.44861627,"('hardhearted', 'benevolent')",0.7760103,0.4486163,-0.327394
27,1.6991903,1.5379074,"('hardhearted', 'softhearted')",1.6991903,1.5379074,-0.1612829
28,1.4396489,1.2206191,"('disloyal', 'loyal')",1.4396489,1.2206191,-0.2190298
29,-0.17918544,-0.29216385,"('unfair', 'fair')",-0.1791854,-0.2921638,-0.1129784
30,0.9787789,1.0113298,"('intolerant', 'tolerant')",0.9787789,1.0113298,0.0325509
31,-1.2143663,-1.2298719,"('evil', 'good')",-1.2143663,-1.2298719,-0.0155056
32,1.2803372,1.2534891,"('unkind', 'kind')",1.2803372,1.2534891,-0.0268481
33,-0.65143746,-0.65205824,"('wrong', 'right')",-0.6514375,-0.6520582,-0.0006207
34,4.4254856,4.647953,"('mean', 'honorable')",4.4254856,4.647953,0.2224674
35,-0.57044095,-0.959473,"('corrupt', 'incorrupt')",-0.5704409,-0.959473,-0.3890321
36,-0.6411101,-1.0152929,"('hostile', 'amicable')",-0.6411101,-1.0152929,-0.3741828
37,0.6597576,0.6828015,"('fake', 'genuine')",0.6597576,0.6828015,0.0230439
38,-0.120618604,-0.077899806,"('untruthful', 'truthful')",-0.1206186,-0.0778998,0.0427188
39,-0.057436448,0.0027570538,"('exploitative', 'cooperative')",-0.0574364,0.0027571,0.0601935
40,-1.4645554,-1.3957138,"('stingy', 'generous')",-1.4645554,-1.3957138,0.0688416
41,0.25516027,0.05299178,"('unforgiving', 'forgiving')",0.2551603,0.0529918,-0.2021685
42,-2.0820787,-1.8838193,"('unreliable', 'reliable')",-2.0820787,-1.8838193,0.1982594
43,1.1987648,1.331866,"('irresponsible', 'responsible')",1.1987648,1.331866,0.1331012
44,-1.3034053,-1.3273519,"('prejudiced', 'unprejudiced')",-1.3034053,-1.3273519,-0.0239466
45,0.75485593,0.6753303,"('incompetent', 'competent')",0.7548559,0.6753303,-0.0795256
46,-0.71889323,-0.5875492,"('uncompetitive', 'competitive')",-0.7188932,-0.5875492,0.131344
47,5.751712,5.928761,"('stupid', 'smart')",5.7517118,5.928761,0.1770492
48,0.88108987,0.90090865,"('unintelligent', 'intelligent')",0.8810899,0.9009086,0.0198187
49,-0.6553413,-0.40649974,"('unable', 'able')",-0.6553413,-0.4064997,0.2488416
50,-0.25086075,-0.25574166,"('clumsy', 'skillful')",-0.2508608,-0.2557417,-0.0048809
51,0.3259253,0.44962245,"('uneducated', 'educated')",0.3259253,0.4496225,0.1236972
52,-0.5592114,-0.6656321,"('irrational', 'rational')",-0.5592114,-0.6656321,-0.1064207
53,0.3466153,0.34819597,"('uncreative', 'creative')",0.3466153,0.348196,0.0015807
54,0.9678912,1.0993395,"('incapable', 'capable')",0.9678912,1.0993395,0.1314483
55,0.60687035,0.9079354,"('incompetent', 'clever')",0.6068704,0.9079354,0.301065
56,0.7072783,0.8360772,"('impractical', 'practical')",0.7072783,0.8360772,0.1287989
57,-2.6258137,-2.4763923,"('unimaginative', 'imaginative')",-2.6258137,-2.4763923,0.1494214
58,0.22556028,0.08874738,"('undiscriminating', 'discriminating')",0.2255603,0.0887474,-0.1368129
59,-0.29238707,-0.21293378,"('foolish', 'wise')",-0.2923871,-0.2129338,0.0794533
60,0.12586002,0.49531457,"('inefficient', 'efficient')",0.12586,0.4953146,0.3694546
61,0.5094809,0.38760382,"('illogical', 'logical')",0.5094809,0.3876038,-0.1218771
62,0.78749233,1.2062814,"('incompetent', 'brilliant')",0.7874923,1.2062814,0.4187891
