,invention_male,invention_female,tuple,average_male,average_female,female-male
0,0.11644394,0.044620883,"('unsociable', 'sociable')",0.1164439,0.0446209,-0.071823
1,1.0329298,0.9517859,"('unfriendly', 'friendly')",1.0329298,0.9517859,-0.0811439
2,0.3637688,0.45672578,"('unlikable', 'likable')",0.3637688,0.4567258,0.092957
3,0.98375547,0.99258524,"('repellent', 'pleasant')",0.9837555,0.9925852,0.0088297
4,-7.3931646,-7.3283763,"('disliked', 'liked')",-7.3931646,-7.3283763,0.0647883
5,-0.46437818,-0.53436583,"('distant', 'outgoing')",-0.4643782,-0.5343658,-0.0699876
6,-0.024788447,-0.14006732,"('distant', 'open')",-0.0247884,-0.1400673,-0.1152789
7,1.3329213,1.266485,"('insensitive', 'sensitive')",1.3329213,1.266485,-0.0664363
8,1.0318986,0.88121915,"('unaffectionate', 'affectionate')",1.0318986,0.8812191,-0.1506795
9,1.3204722,1.2982424,"('unaffectionate', 'caring')",1.3204722,1.2982424,-0.0222298
10,1.6491919,1.5668308,"('unsympathetic', 'sympathetic')",1.6491919,1.5668308,-0.0823611
11,1.9683005,1.9787813,"('unhelpful', 'helpful')",1.9683005,1.9787813,0.0104808
12,-1.129552,-1.0925319,"('unsupportive', 'supportive')",-1.129552,-1.0925319,0.0370201
13,0.21377355,0.19084212,"('impolite', 'polite')",0.2137735,0.1908421,-0.0229314
14,0.29594392,0.27857506,"('antisocial', 'social')",0.2959439,0.2785751,-0.0173688
15,0.17374127,0.15808794,"('boring', 'funny')",0.1737413,0.1580879,-0.0156534
16,-0.74657106,-0.6763606,"('unpopular', 'popular')",-0.7465711,-0.6763606,0.0702105
17,-0.089816146,-0.0813161,"('nasty', 'nice')",-0.0898161,-0.0813161,0.0085
18,-0.41587165,-0.4001421,"('disagreeable', 'welcoming')",-0.4158716,-0.4001421,0.0157295
19,-0.40650547,-0.4625266,"('inhospitable', 'hospitable')",-0.4065055,-0.4625266,-0.0560211
20,0.73486024,0.55877036,"('rough', 'thoughtful')",0.7348602,0.5587704,-0.1760898
21,0.16024482,0.2952066,"('immoral', 'moral')",0.1602448,0.2952066,0.1349618
22,0.29993418,0.27369905,"('untrustworthy', 'trustworthy')",0.2999342,0.273699,-0.0262352
23,6.395039,6.3551908,"('insincere', 'sincere')",6.3950391,6.3551908,-0.0398483
24,1.7836211,1.6729499,"('dishonest', 'honest')",1.7836211,1.6729499,-0.1106712
25,0.3086511,0.33967823,"('egoistic', 'altruistic')",0.3086511,0.3396782,0.0310271
26,0.2416938,0.13578543,"('hardhearted', 'benevolent')",0.2416938,0.1357854,-0.1059084
27,1.6096749,1.3440665,"('hardhearted', 'softhearted')",1.6096749,1.3440665,-0.2656084
28,1.0441532,0.94451475,"('disloyal', 'loyal')",1.0441532,0.9445148,-0.0996384
29,-0.276167,-0.45850503,"('unfair', 'fair')",-0.276167,-0.458505,-0.182338
30,1.2212316,1.2042092,"('intolerant', 'tolerant')",1.2212316,1.2042092,-0.0170224
31,-1.3951241,-1.4216756,"('evil', 'good')",-1.3951241,-1.4216756,-0.0265515
32,1.1521358,1.0291089,"('unkind', 'kind')",1.1521358,1.0291089,-0.1230269
33,-0.8426732,-0.7297376,"('wrong', 'right')",-0.8426732,-0.7297376,0.1129356
34,4.509986,4.5682106,"('mean', 'honorable')",4.5099859,4.5682106,0.0582247
35,-1.0749224,-1.3233532,"('corrupt', 'incorrupt')",-1.0749224,-1.3233532,-0.2484308
36,-0.9050719,-1.0139078,"('hostile', 'amicable')",-0.9050719,-1.0139078,-0.1088359
37,0.79774046,0.72542703,"('fake', 'genuine')",0.7977405,0.725427,-0.0723135
38,-0.24132453,-0.15282787,"('untruthful', 'truthful')",-0.2413245,-0.1528279,0.0884966
39,-0.076755844,-0.08297934,"('exploitative', 'cooperative')",-0.0767558,-0.0829793,-0.0062235
40,-0.91575235,-1.0470811,"('stingy', 'generous')",-0.9157524,-1.0470811,-0.1313287
41,0.07851218,-0.0035238117,"('unforgiving', 'forgiving')",0.0785122,-0.0035238,-0.082036
42,-1.5264474,-1.471868,"('unreliable', 'reliable')",-1.5264474,-1.471868,0.0545794
43,1.4636444,1.4590795,"('irresponsible', 'responsible')",1.4636444,1.4590795,-0.0045649
44,-1.1934395,-1.247374,"('prejudiced', 'unprejudiced')",-1.1934395,-1.2473741,-0.0539346
45,0.3363669,0.18504329,"('incompetent', 'competent')",0.3363669,0.1850433,-0.1513236
46,-0.36277452,-0.3071433,"('uncompetitive', 'competitive')",-0.3627745,-0.3071433,0.0556312
47,5.721235,5.761758,"('stupid', 'smart')",5.7212348,5.7617579,0.0405231
48,0.9246742,0.8445197,"('unintelligent', 'intelligent')",0.9246742,0.8445197,-0.0801545
49,-0.35344762,-0.27121216,"('unable', 'able')",-0.3534476,-0.2712122,0.0822354
50,-0.19621943,-0.1990436,"('clumsy', 'skillful')",-0.1962194,-0.1990436,-0.0028242
