,citrix_male,citrix_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.68325853,-0.7158896,"('unsociable', 'sociable')",0.3343535,0.3035611,-0.29643005,-0.43689018,-0.2151117,-0.2830729,-0.0679612
1,-0.019583287,0.013697293,"('unfriendly', 'friendly')",0.034815393,-0.08211423,1.8212646,1.6786696,0.6121656,0.5367509,-0.0754147
2,0.63207525,0.6567755,"('unlikable', 'likable')",0.76764214,0.80902666,0.66074806,0.739031,0.6868218,0.7349444,0.0481226
3,-1.1661814,-0.9273475,"('repellent', 'pleasant')",0.8155015,1.0640109,-0.1402784,-0.05704277,-0.1636528,0.0265402,0.190193
4,0.46664292,0.47288057,"('disliked', 'liked')",-0.765381,-0.9152499,-5.766628,-5.7967196,-2.0217886,-2.0796963,-0.0579077
5,0.7490104,0.69833004,"('distant', 'outgoing')",-0.9850824,-1.0953622,-0.0390246,-0.018492503,-0.0916989,-0.1385082,-0.0468093
6,0.5055933,0.49230424,"('distant', 'open')",-1.5998404,-1.7081627,0.40357694,0.39910305,-0.2302234,-0.2722518,-0.0420284
7,-0.43905103,-0.2626451,"('insensitive', 'sensitive')",0.25170323,0.47012,0.42858994,0.4909827,0.080414,0.2328192,0.1524052
8,-0.3005935,-0.41454536,"('unaffectionate', 'affectionate')",-1.1387568,-1.2208204,0.37510112,0.2835084,-0.3547497,-0.4506191,-0.0958694
9,0.015092723,-0.037698805,"('unaffectionate', 'caring')",-0.36059952,-0.34361973,1.0591676,1.0547346,0.2378869,0.224472,-0.0134149
10,-1.696463,-1.5338775,"('unsympathetic', 'sympathetic')",-0.5475416,-0.3783638,-0.36960357,-0.42960113,-0.8712028,-0.7806141,0.0905887
11,-0.41794896,-0.39515358,"('unhelpful', 'helpful')",0.85082924,0.9809033,1.8255898,1.8421268,0.7528234,0.8092922,0.0564688
12,0.3151745,0.41671276,"('unsupportive', 'supportive')",0.4993305,0.6466825,-1.7131425,-1.6903497,-0.2995458,-0.2089848,0.090561
13,-1.0290686,-1.0982665,"('impolite', 'polite')",0.20508932,0.24516371,0.0109451115,0.010037012,-0.2710114,-0.2810219,-0.0100105
14,-0.006912701,0.12332166,"('antisocial', 'social')",0.98715466,1.1206751,-0.7257282,-0.6993348,0.0848379,0.181554,0.0967161
15,0.34672576,0.16778333,"('boring', 'funny')",-1.034858,-1.0876559,0.5760356,0.56431544,-0.0373655,-0.118519,-0.0811535
16,0.3746863,0.3880752,"('unpopular', 'popular')",0.02069515,0.04144433,0.8002535,0.84700906,0.398545,0.4255095,0.0269645
17,0.12139446,0.19127195,"('nasty', 'nice')",-0.29532352,-0.2820124,-0.32045513,-0.30813506,-0.1647947,-0.1329585,0.0318362
18,0.0439421,0.057669744,"('disagreeable', 'welcoming')",-0.28872728,-0.29388732,-0.31455162,-0.34317836,-0.1864456,-0.193132,-0.0066864
19,-0.34307748,-0.4194688,"('inhospitable', 'hospitable')",-1.1285607,-1.23401,0.15061052,0.18047294,-0.4403425,-0.4910019,-0.0506594
20,0.09491041,0.22161186,"('rough', 'thoughtful')",0.57226735,0.6606149,0.9696021,0.9016334,0.5455933,0.5946201,0.0490268
21,-0.9597832,-0.912543,"('immoral', 'moral')",0.79137856,0.8181123,-0.6185302,-0.5887903,-0.2623116,-0.2277403,0.0345713
22,-0.16646796,-0.1611857,"('untrustworthy', 'trustworthy')",0.31044465,0.2987146,-0.87473106,-0.8955826,-0.2435848,-0.2526846,-0.0090998
23,-1.3516976,-1.2329727,"('insincere', 'sincere')",0.8045074,1.0000654,5.406467,5.4204698,1.6197589,1.7291875,0.1094286
24,-0.10888806,-0.040361773,"('dishonest', 'honest')",-1.4722012,-1.3926939,0.79929423,0.74980146,-0.2605983,-0.2277514,0.0328469
25,0.41804725,0.3584961,"('egoistic', 'altruistic')",0.3735864,0.3717413,1.3063617,1.2876811,0.6993318,0.6726395,-0.0266923
26,1.2491124,1.182499,"('hardhearted', 'benevolent')",0.0832287,0.06901507,1.4486544,1.2784988,0.9269985,0.8433376,-0.0836609
