,vontier_male,vontier_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.10328563,-0.26468736,"('unsociable', 'sociable')",-0.27835357,-0.42888862,-0.087534,-0.346788,-0.259254
1,-1.255331,-1.0274936,"('unfriendly', 'friendly')",1.3210406,1.2187604,0.0328548,0.0956334,0.0627786
2,0.3508917,0.36849472,"('unlikable', 'likable')",0.26469332,0.28384677,0.3077925,0.3261707,0.0183782
3,-0.66848975,-0.6356553,"('repellent', 'pleasant')",0.4685802,0.49710596,-0.0999548,-0.0692747,0.0306801
4,0.30857924,0.47492793,"('disliked', 'liked')",-6.3510337,-6.3066487,-3.0212271,-2.9158604,0.1053667
5,-0.5369491,-0.40364948,"('distant', 'outgoing')",-0.24962579,-0.2489681,-0.3932875,-0.3263088,0.0669787
6,-0.8134122,-0.55571294,"('distant', 'open')",-0.41915718,-0.37614337,-0.6162847,-0.4659281,0.1503566
7,-0.06247887,-0.08131065,"('insensitive', 'sensitive')",0.03452205,0.06171545,-0.0139784,-0.0097976,0.0041808
8,-0.6618946,-0.40107426,"('unaffectionate', 'affectionate')",0.5000684,0.5022261,-0.0809131,0.0505759,0.131489
9,-0.68220687,-0.48481378,"('unaffectionate', 'caring')",1.1492031,1.1666446,0.2334981,0.3409154,0.1074173
10,-1.020922,-1.272578,"('unsympathetic', 'sympathetic')",-0.781395,-0.8799238,-0.9011585,-1.0762509,-0.1750924
11,-0.19873397,-0.46553022,"('unhelpful', 'helpful')",1.6012187,1.5965142,0.7012424,0.565492,-0.1357504
12,-0.19138311,-0.12549339,"('unsupportive', 'supportive')",-2.1373198,-2.1577349,-1.1643515,-1.1416141,0.0227374
13,-0.37131897,-0.74017316,"('impolite', 'polite')",-0.68907934,-0.7278156,-0.5301992,-0.7339944,-0.2037952
14,0.07808246,-0.20561737,"('antisocial', 'social')",-0.2792005,-0.3365816,-0.100559,-0.2710995,-0.1705405
15,-0.3634479,-0.30799237,"('boring', 'funny')",0.22655997,0.21455662,-0.068444,-0.0467179,0.0217261
