,nickname_male,nickname_female,tuple,average_male,average_female,female-male
0,0.24138975,0.21543208,"('unsociable', 'sociable')",0.2413898,0.2154321,-0.0259577
1,1.1545243,1.1911937,"('unfriendly', 'friendly')",1.1545243,1.1911937,0.0366694
2,0.41362387,0.5522227,"('unlikable', 'likable')",0.4136239,0.5522227,0.1385988
3,0.82798547,0.9024071,"('repellent', 'pleasant')",0.8279855,0.9024071,0.0744216
4,-7.177003,-7.223001,"('disliked', 'liked')",-7.1770029,-7.223001,-0.0459981
5,-0.48934376,-0.4049601,"('distant', 'outgoing')",-0.4893438,-0.4049601,0.0843837
6,-0.1491624,-0.1395595,"('distant', 'open')",-0.1491624,-0.1395595,0.0096029
7,1.414653,1.4467139,"('insensitive', 'sensitive')",1.4146529,1.4467139,0.032061
8,1.1422071,1.0836062,"('unaffectionate', 'affectionate')",1.1422071,1.0836062,-0.0586009
9,1.296166,1.3744957,"('unaffectionate', 'caring')",1.2961659,1.3744957,0.0783298
10,1.8265331,1.7002633,"('unsympathetic', 'sympathetic')",1.8265331,1.7002633,-0.1262698
11,1.8712846,1.8660897,"('unhelpful', 'helpful')",1.8712846,1.8660897,-0.0051949
12,-0.934933,-0.89677995,"('unsupportive', 'supportive')",-0.934933,-0.89678,0.038153
13,0.23988277,0.2406004,"('impolite', 'polite')",0.2398828,0.2406004,0.0007176
14,0.2624826,0.27559137,"('antisocial', 'social')",0.2624826,0.2755914,0.0131088
15,0.15053257,0.19779843,"('boring', 'funny')",0.1505326,0.1977984,0.0472658
16,-0.85225123,-0.705716,"('unpopular', 'popular')",-0.8522512,-0.705716,0.1465352
17,-0.0032234397,-0.06369786,"('nasty', 'nice')",-0.0032234,-0.0636979,-0.0604745
18,-0.38053036,-0.34747657,"('disagreeable', 'welcoming')",-0.3805304,-0.3474766,0.0330538
19,-0.48352036,-0.47806048,"('inhospitable', 'hospitable')",-0.4835204,-0.4780605,0.0054599
20,0.7885151,0.63152087,"('rough', 'thoughtful')",0.7885151,0.6315209,-0.1569942
21,0.36246413,0.44581294,"('immoral', 'moral')",0.3624641,0.4458129,0.0833488
22,0.3492198,0.2963615,"('untrustworthy', 'trustworthy')",0.3492198,0.2963615,-0.0528583
23,6.157724,6.282598,"('insincere', 'sincere')",6.1577239,6.282598,0.1248741
24,1.7438965,1.749397,"('dishonest', 'honest')",1.7438965,1.749397,0.0055005
25,0.30336922,0.31177998,"('egoistic', 'altruistic')",0.3033692,0.31178,0.0084108
26,0.38189194,0.20570415,"('hardhearted', 'benevolent')",0.3818919,0.2057042,-0.1761877
27,1.7152387,1.5262263,"('hardhearted', 'softhearted')",1.7152387,1.5262263,-0.1890124
28,1.0067428,0.9365693,"('disloyal', 'loyal')",1.0067428,0.9365693,-0.0701735
29,-0.431347,-0.5698555,"('unfair', 'fair')",-0.431347,-0.5698555,-0.1385085
30,1.2722197,1.2620789,"('intolerant', 'tolerant')",1.2722197,1.2620789,-0.0101408
31,-1.4605237,-1.4481766,"('evil', 'good')",-1.4605237,-1.4481766,0.0123471
32,1.2249124,1.1586674,"('unkind', 'kind')",1.2249124,1.1586674,-0.066245
33,-0.8738147,-0.73625135,"('wrong', 'right')",-0.8738147,-0.7362514,0.1375633
34,4.1121454,4.344896,"('mean', 'honorable')",4.1121454,4.3448958,0.2327504
35,-1.3653493,-1.5476669,"('corrupt', 'incorrupt')",-1.3653493,-1.5476669,-0.1823176
36,-0.6996727,-0.8377099,"('hostile', 'amicable')",-0.6996727,-0.8377099,-0.1380372
37,0.82809055,0.79433143,"('fake', 'genuine')",0.8280905,0.7943314,-0.0337591
38,-0.2582216,-0.16990852,"('untruthful', 'truthful')",-0.2582216,-0.1699085,0.0883131
39,0.00023060851,-0.020887818,"('exploitative', 'cooperative')",0.0002306,-0.0208878,-0.0211184
40,-0.77993464,-0.8751196,"('stingy', 'generous')",-0.7799346,-0.8751196,-0.095185
41,0.31187984,0.16273764,"('unforgiving', 'forgiving')",0.3118798,0.1627376,-0.1491422
42,-1.3438231,-1.4164441,"('unreliable', 'reliable')",-1.3438231,-1.4164441,-0.072621
43,1.6465539,1.6508757,"('irresponsible', 'responsible')",1.6465539,1.6508757,0.0043218
44,-1.0404999,-1.1939543,"('prejudiced', 'unprejudiced')",-1.0404999,-1.1939543,-0.1534544
45,0.37892693,0.27784812,"('incompetent', 'competent')",0.3789269,0.2778481,-0.1010788
46,-0.029185649,-0.039155915,"('uncompetitive', 'competitive')",-0.0291856,-0.0391559,-0.0099703
47,5.419011,5.604778,"('stupid', 'smart')",5.4190111,5.6047778,0.1857667
48,1.0131631,0.989536,"('unintelligent', 'intelligent')",1.0131631,0.989536,-0.0236271
49,-0.34161496,-0.14786124,"('unable', 'able')",-0.341615,-0.1478612,0.1937538
50,0.014401499,-0.024850097,"('clumsy', 'skillful')",0.0144015,-0.0248501,-0.0392516
51,0.6593977,0.6444342,"('uneducated', 'educated')",0.6593977,0.6444342,-0.0149635
52,-0.5885817,-0.65000737,"('irrational', 'rational')",-0.5885817,-0.6500074,-0.0614257
53,0.45584798,0.43296072,"('uncreative', 'creative')",0.455848,0.4329607,-0.0228873
54,0.9993383,1.1586787,"('incapable', 'capable')",0.9993383,1.1586787,0.1593404
55,1.0185343,1.0612178,"('incompetent', 'clever')",1.0185343,1.0612178,0.0426835
56,0.5856124,0.6781054,"('impractical', 'practical')",0.5856124,0.6781054,0.092493
57,-2.000007,-2.0758603,"('unimaginative', 'imaginative')",-2.0000069,-2.0758603,-0.0758534
58,0.15518638,0.05773782,"('undiscriminating', 'discriminating')",0.1551864,0.0577378,-0.0974486
59,-0.021046631,0.047642097,"('foolish', 'wise')",-0.0210466,0.0476421,0.0686887
60,0.5649,0.7238696,"('inefficient', 'efficient')",0.5649,0.7238696,0.1589696
61,0.39359722,0.23922679,"('illogical', 'logical')",0.3935972,0.2392268,-0.1543704
62,1.153352,1.3157421,"('incompetent', 'brilliant')",1.153352,1.3157421,0.1623901
63,0.9815356,1.0287739,"('unperceptive', 'insightful')",0.9815356,1.0287739,0.0472383
64,-5.380659,-5.3708515,"('shy', 'confident')",-5.3806591,-5.3708515,0.0098076
65,1.4170766,1.3532344,"('insecure', 'secure')",1.4170766,1.3532344,-0.0638422
66,0.09924203,-0.01252152,"('inactive', 'active')",0.099242,-0.0125215,-0.1117635
67,-1.0428914,-0.9493423,"('doubtful', 'determined')",-1.0428914,-0.9493423,0.0935491
68,-0.428021,-0.35968357,"('dependent', 'independent')",-0.428021,-0.3596836,0.0683374
69,-1.8777556,-1.7900225,"('lazy', 'industrious')",-1.8777556,-1.7900225,0.0877331
70,2.0251758,1.9444938,"('lethargic', 'energetic')",2.0251758,1.9444938,-0.080682
71,0.32670876,0.49258232,"('diffident', 'self-confident')",0.3267088,0.4925823,0.1658735
72,0.94297695,1.0751269,"('unambitious', 'ambitious')",0.942977,1.0751269,0.1321499
73,-2.9581594,-2.8461328,"('helpless', 'self-reliant')",-2.9581594,-2.8461328,0.1120266
74,0.217084,0.13750023,"('undedicated', 'dedicated')",0.217084,0.1375002,-0.0795838
75,-0.8153539,-0.7177951,"('meek', 'impulsive')",-0.8153539,-0.7177951,0.0975588
76,1.2777619,1.1859384,"('anxious', 'daring')",1.2777619,1.1859384,-0.0918235
77,-1.0883346,-0.9948418,"('unmotivated', 'motivated')",-1.0883346,-0.9948418,0.0934928
78,-0.23466007,-0.25826848,"('nonresilient', 'resilient')",-0.2346601,-0.2582685,-0.0236084
79,-0.07859148,-0.15679297,"('wavering', 'unwavering')",-0.0785915,-0.156793,-0.0782015
80,0.2369517,0.120387,"('dominated', 'dominating')",0.2369517,0.120387,-0.1165647
81,0.6499747,0.70044625,"('submissive', 'aggressive')",0.6499747,0.7004462,0.0504715
82,6.0023913,6.261209,"('poor', 'rich')",6.0023913,6.261209,0.2588177
83,-0.4463858,-0.41628087,"('powerless', 'powerful')",-0.4463858,-0.4162809,0.0301049
84,0.088851824,0.1109208,"('inferior', 'superior')",0.0888518,0.1109208,0.022069
85,-1.1709981,-1.2347802,"('insignificant', 'prestigious')",-1.1709981,-1.2347802,-0.0637821
86,0.63943624,0.61746854,"('uninfluential', 'influential')",0.6394362,0.6174685,-0.0219677
87,-0.32237533,-0.14625743,"('unsuccessful', 'successful')",-0.3223753,-0.1462574,0.1761179
88,-0.17096528,-0.13299185,"('low', 'eminent')",-0.1709653,-0.1329919,0.0379734
