,hillshire_male,hillshire_female,tuple,brands_male,brands_female,co_male,co_female,average_male,average_female,female-male
0,0.032121167,-0.07706043,"('unsociable', 'sociable')",1.2150863,1.0320479,0.034305066,-0.14899059,0.4271709,0.2686656,-0.1585053
1,-1.4186935,-1.393869,"('unfriendly', 'friendly')",0.700966,0.61672586,0.9470662,0.8809392,0.0764462,0.0345987,-0.0418475
2,0.7312594,0.8165197,"('unlikable', 'likable')",0.8146459,0.93830854,0.7706949,0.9654857,0.7722001,0.9067713,0.1345712
3,0.0537159,0.2440154,"('repellent', 'pleasant')",-0.97648436,-0.7974837,0.4111412,0.39659062,-0.1705424,-0.0522926,0.1182498
4,0.13066016,0.18021825,"('disliked', 'liked')",0.036042262,0.15176399,-6.524299,-6.5196466,-2.119199,-2.0625548,0.0566442
5,-1.3596969,-1.1628975,"('distant', 'outgoing')",-0.110318005,0.1537708,-0.47951332,-0.3102116,-0.6498427,-0.4397794,0.2100633
6,-2.0517516,-1.8030504,"('distant', 'open')",-0.52494997,-0.2821234,-0.43210202,-0.29965833,-1.0029345,-0.794944,0.2079905
7,0.62556136,0.63028365,"('insensitive', 'sensitive')",0.58856785,0.58823293,-0.39215675,-0.3840874,0.2739908,0.278143,0.0041522
8,-1.1848806,-1.2354193,"('unaffectionate', 'affectionate')",-0.21707359,-0.27369234,0.043243922,0.025629327,-0.4529034,-0.4944941,-0.0415907
9,-0.43871868,-0.46239504,"('unaffectionate', 'caring')",0.6507039,0.5852551,0.77073884,0.78767985,0.3275747,0.3035133,-0.0240614
10,0.65493256,0.6161393,"('unsympathetic', 'sympathetic')",0.48376638,0.41008115,-0.37555635,-0.46749976,0.2543809,0.1862402,-0.0681407
11,0.6378984,0.6301169,"('unhelpful', 'helpful')",0.48924774,0.60432446,2.354286,2.3631163,1.1604773,1.1991858,0.0387085
12,0.38524798,0.58486414,"('unsupportive', 'supportive')",0.8023464,1.0318943,-2.3502052,-2.2173984,-0.3875369,-0.2002133,0.1873236
13,0.7061758,0.5898794,"('impolite', 'polite')",0.97728246,0.9654136,-0.008696932,-0.05074766,0.5582538,0.5015151,-0.0567387
14,0.9876876,0.9895722,"('antisocial', 'social')",0.8553354,0.8253447,-0.10529568,-0.18024161,0.5792425,0.5448918,-0.0343507
15,0.10541671,-0.034233246,"('boring', 'funny')",1.0944638,0.99534833,0.7796452,0.81157637,0.6598419,0.5908972,-0.0689447
16,-0.72974545,-0.6737696,"('unpopular', 'popular')",-1.0151384,-0.7938915,0.35647276,0.33536744,-0.4628037,-0.3774312,0.0853725
17,-0.16448879,-0.06435077,"('nasty', 'nice')",-0.9701173,-0.80242556,-0.029265624,-0.029670019,-0.3879573,-0.2988154,0.0891419
18,-0.5749779,-0.3644429,"('disagreeable', 'welcoming')",-0.61389273,-0.39353114,-1.0720645,-1.0108688,-0.7536451,-0.5896143,0.1640308
19,-0.9300608,-0.7906625,"('inhospitable', 'hospitable')",-0.56113243,-0.43188015,-0.47236258,-0.2698051,-0.6545186,-0.4974492,0.1570694
20,-0.09031467,0.01767457,"('rough', 'thoughtful')",0.28002965,0.39651978,0.20785739,0.19049023,0.1325241,0.2015615,0.0690374
21,0.7940744,0.8035542,"('immoral', 'moral')",0.7125312,0.71836466,-0.7495793,-0.6962006,0.2523421,0.2752394,0.0228973
22,0.97172415,1.0564691,"('untrustworthy', 'trustworthy')",0.3223175,0.30564398,-0.33920375,-0.34456182,0.3182793,0.3391837,0.0209044
23,0.6617171,0.64643586,"('insincere', 'sincere')",0.8799996,0.87450224,5.724059,5.6332836,2.4219252,2.3847405,-0.0371847
24,0.5376695,0.4947024,"('dishonest', 'honest')",-0.047384005,-0.06521878,0.74122524,0.7184543,0.4105036,0.382646,-0.0278576
25,-1.1900872,-1.1911292,"('egoistic', 'altruistic')",-0.2887587,-0.2763079,0.9510563,0.8576505,-0.1759298,-0.2032622,-0.0273324
26,-0.560714,-0.5885755,"('hardhearted', 'benevolent')",1.1199297,1.1057397,1.0360775,1.00455,0.5317644,0.5072381,-0.0245263
27,-0.8814605,-0.8396584,"('hardhearted', 'softhearted')",-0.09269471,-0.05323139,0.2178102,0.13501029,-0.252115,-0.2526265,-0.0005115
28,0.1254074,-0.07633993,"('disloyal', 'loyal')",-0.01095034,-0.18426281,0.89237416,0.69857424,0.3356104,0.1459905,-0.1896199
29,-0.3478511,-0.2780505,"('unfair', 'fair')",-1.2970724,-1.2519455,-0.8086345,-0.8851941,-0.8178527,-0.8050634,0.0127893
30,1.0633799,1.1194993,"('intolerant', 'tolerant')",1.5597355,1.6682131,0.7682527,0.87224996,1.1304561,1.2199876,0.0895315
31,-1.9219699,-1.593465,"('evil', 'good')",-1.9145206,-1.7145318,-1.1366526,-1.0704504,-1.6577144,-1.4594824,0.198232
32,0.060039904,-0.061807536,"('unkind', 'kind')",1.0819534,0.9020005,0.96058065,0.8750919,0.700858,0.5717616,-0.1290964
33,0.057394743,0.10953156,"('wrong', 'right')",0.5814533,0.65904075,-0.55967814,-0.54734296,0.02639,0.0737431,0.0473531
