,earthquake_male,earthquake_female,tuple,average_male,average_female,female-male
0,0.12614414,0.10903867,"('unsociable', 'sociable')",0.1261441,0.1090387,-0.0171054
1,1.5360551,1.2682046,"('unfriendly', 'friendly')",1.5360551,1.2682046,-0.2678505
2,0.6553951,0.6887465,"('unlikable', 'likable')",0.6553951,0.6887465,0.0333514
3,-0.07517565,0.19658338,"('repellent', 'pleasant')",-0.0751757,0.1965834,0.2717591
4,-6.3075233,-6.5340796,"('disliked', 'liked')",-6.3075233,-6.5340796,-0.2265563
5,-0.74119234,-0.91574454,"('distant', 'outgoing')",-0.7411923,-0.9157445,-0.1745522
6,-0.5186338,-0.61170226,"('distant', 'open')",-0.5186338,-0.6117023,-0.0930685
7,0.9229928,0.9493744,"('insensitive', 'sensitive')",0.9229928,0.9493744,0.0263816
8,1.3535172,1.2626474,"('unaffectionate', 'affectionate')",1.3535172,1.2626474,-0.0908698
9,2.0260406,1.9704474,"('unaffectionate', 'caring')",2.0260406,1.9704474,-0.0555932
10,0.41838235,0.596294,"('unsympathetic', 'sympathetic')",0.4183823,0.596294,0.1779117
11,2.0385475,1.9736059,"('unhelpful', 'helpful')",2.0385475,1.9736059,-0.0649416
12,-1.3690493,-1.4335343,"('unsupportive', 'supportive')",-1.3690493,-1.4335343,-0.064485
13,0.11375296,0.12762997,"('impolite', 'polite')",0.113753,0.12763,0.013877
14,-0.11291445,0.039022703,"('antisocial', 'social')",-0.1129145,0.0390227,0.1519372
15,0.90255713,0.6995387,"('boring', 'funny')",0.9025571,0.6995387,-0.2030184
16,-0.39812973,-0.58194834,"('unpopular', 'popular')",-0.3981297,-0.5819483,-0.1838186
17,-0.29447788,-0.39544478,"('nasty', 'nice')",-0.2944779,-0.3954448,-0.1009669
18,-0.4329745,-0.56247616,"('disagreeable', 'welcoming')",-0.4329745,-0.5624762,-0.1295017
19,-0.64055485,-0.6913551,"('inhospitable', 'hospitable')",-0.6405548,-0.6913551,-0.0508003
20,-0.20219791,-0.07327824,"('rough', 'thoughtful')",-0.2021979,-0.0732782,0.1289197
21,0.45241004,0.6074993,"('immoral', 'moral')",0.45241,0.6074993,0.1550893
22,-0.73184633,-0.71014833,"('untrustworthy', 'trustworthy')",-0.7318463,-0.7101483,0.021698
23,6.1410913,6.1193485,"('insincere', 'sincere')",6.1410913,6.1193485,-0.0217428
24,1.3961976,1.3806927,"('dishonest', 'honest')",1.3961976,1.3806927,-0.0155049
25,0.961067,0.76807725,"('egoistic', 'altruistic')",0.961067,0.7680773,-0.1929897
26,1.1987071,1.0866448,"('hardhearted', 'benevolent')",1.1987071,1.0866448,-0.1120623
27,0.87647367,0.8252559,"('hardhearted', 'softhearted')",0.8764737,0.8252559,-0.0512178
28,1.1802264,1.0654116,"('disloyal', 'loyal')",1.1802264,1.0654116,-0.1148148
29,-1.3859066,-1.5136923,"('unfair', 'fair')",-1.3859066,-1.5136923,-0.1277857
30,1.045914,1.0625232,"('intolerant', 'tolerant')",1.0459141,1.0625232,0.0166091
31,-1.8736336,-2.045516,"('evil', 'good')",-1.8736336,-2.045516,-0.1718824
32,1.4950693,1.3835802,"('unkind', 'kind')",1.4950693,1.3835802,-0.1114891
33,-0.25183305,-0.47687575,"('wrong', 'right')",-0.2518331,-0.4768758,-0.2250427
34,4.5978713,4.6123676,"('mean', 'honorable')",4.5978713,4.6123676,0.0144963
35,-0.69404733,-0.96353483,"('corrupt', 'incorrupt')",-0.6940473,-0.9635348,-0.2694875
36,-0.18794367,-0.4281406,"('hostile', 'amicable')",-0.1879437,-0.4281406,-0.2401969
37,0.6075515,0.6210643,"('fake', 'genuine')",0.6075515,0.6210643,0.0135128
38,0.5802962,0.43540394,"('untruthful', 'truthful')",0.5802962,0.4354039,-0.1448923
39,0.028685747,0.18995972,"('exploitative', 'cooperative')",0.0286857,0.1899597,0.161274
40,-2.3055701,-2.3989065,"('stingy', 'generous')",-2.3055701,-2.3989065,-0.0933364
41,0.20580958,0.05355713,"('unforgiving', 'forgiving')",0.2058096,0.0535571,-0.1522525
42,-3.1784608,-3.0739202,"('unreliable', 'reliable')",-3.1784608,-3.0739202,0.1045406
43,0.56768763,0.6870214,"('irresponsible', 'responsible')",0.5676876,0.6870214,0.1193338
44,-2.2166677,-2.004989,"('prejudiced', 'unprejudiced')",-2.2166677,-2.0049889,0.2116788
45,-0.5556354,-0.50121486,"('incompetent', 'competent')",-0.5556354,-0.5012149,0.0544205
46,-0.8350257,-0.69383657,"('uncompetitive', 'competitive')",-0.8350257,-0.6938366,0.1411891
47,4.887483,4.95253,"('stupid', 'smart')",4.8874831,4.9525299,0.0650468
48,0.9186075,0.8463,"('unintelligent', 'intelligent')",0.9186075,0.8463,-0.0723075
49,-0.19919887,-0.017665708,"('unable', 'able')",-0.1991989,-0.0176657,0.1815332
50,-0.89994127,-0.98970085,"('clumsy', 'skillful')",-0.8999413,-0.9897009,-0.0897596
51,0.7355733,0.75760627,"('uneducated', 'educated')",0.7355733,0.7576063,0.022033
52,-0.52503175,-0.63497955,"('irrational', 'rational')",-0.5250317,-0.6349795,-0.1099478
53,0.3111791,0.19206485,"('uncreative', 'creative')",0.3111791,0.1920649,-0.1191142
54,0.62874657,0.6596825,"('incapable', 'capable')",0.6287466,0.6596825,0.0309359
55,-0.2365194,0.010220394,"('incompetent', 'clever')",-0.2365194,0.0102204,0.2467398
56,1.3984545,1.5122434,"('impractical', 'practical')",1.3984545,1.5122434,0.1137889
57,-2.7734911,-2.7047195,"('unimaginative', 'imaginative')",-2.7734911,-2.7047195,0.0687716
58,-0.31127524,-0.32793796,"('undiscriminating', 'discriminating')",-0.3112752,-0.327938,-0.0166628
59,0.24386889,0.07287873,"('foolish', 'wise')",0.2438689,0.0728787,-0.1709902
60,0.08024129,0.30764204,"('inefficient', 'efficient')",0.0802413,0.307642,0.2274007
61,0.66382384,0.5037143,"('illogical', 'logical')",0.6638238,0.5037143,-0.1601095
62,0.35632965,0.51912194,"('incompetent', 'brilliant')",0.3563296,0.5191219,0.1627923
63,0.6189965,0.5669073,"('unperceptive', 'insightful')",0.6189965,0.5669073,-0.0520892
64,-6.1720634,-6.0494,"('shy', 'confident')",-6.1720634,-6.0493999,0.1226635
65,-0.9549109,-0.7413617,"('insecure', 'secure')",-0.9549109,-0.7413617,0.2135492
66,-0.38119146,-0.4139369,"('inactive', 'active')",-0.3811915,-0.4139369,-0.0327454
67,0.14720337,0.118443206,"('doubtful', 'determined')",0.1472034,0.1184432,-0.0287602
68,-1.0981417,-1.1120603,"('dependent', 'independent')",-1.0981417,-1.1120603,-0.0139186
69,-1.8087018,-1.9860334,"('lazy', 'industrious')",-1.8087018,-1.9860334,-0.1773316
70,0.050665233,0.21813056,"('lethargic', 'energetic')",0.0506652,0.2181306,0.1674654
71,0.6416495,0.5270039,"('diffident', 'self-confident')",0.6416495,0.5270039,-0.1146456
72,0.61346155,0.6980715,"('unambitious', 'ambitious')",0.6134616,0.6980715,0.0846099
73,-3.4395416,-3.3704915,"('helpless', 'self-reliant')",-3.4395416,-3.3704915,0.0690501
74,0.45261982,0.5075575,"('undedicated', 'dedicated')",0.4526198,0.5075575,0.0549377
75,-1.2990993,-1.2594749,"('meek', 'impulsive')",-1.2990993,-1.2594749,0.0396244
76,-0.54887563,-0.3008286,"('anxious', 'daring')",-0.5488756,-0.3008286,0.248047
77,-1.0431548,-1.0060505,"('unmotivated', 'motivated')",-1.0431548,-1.0060505,0.0371043
78,-0.41525587,-0.4653356,"('nonresilient', 'resilient')",-0.4152559,-0.4653356,-0.0500797
79,-0.18919158,-0.2837684,"('wavering', 'unwavering')",-0.1891916,-0.2837684,-0.0945768
80,-0.28012592,-0.1649252,"('dominated', 'dominating')",-0.2801259,-0.1649252,0.1152007
81,0.29885232,0.49407166,"('submissive', 'aggressive')",0.2988523,0.4940717,0.1952194
82,5.3685503,5.536873,"('poor', 'rich')",5.3685503,5.5368729,0.1683226
83,-0.6095328,-0.6351968,"('powerless', 'powerful')",-0.6095328,-0.6351968,-0.025664
84,0.22255276,0.047112957,"('inferior', 'superior')",0.2225528,0.047113,-0.1754398
85,0.22946617,-0.20287916,"('insignificant', 'prestigious')",0.2294662,-0.2028792,-0.4323454
86,0.99948794,0.9737136,"('uninfluential', 'influential')",0.9994879,0.9737136,-0.0257743
87,0.3702124,0.4259985,"('unsuccessful', 'successful')",0.3702124,0.4259985,0.0557861
88,1.2592096,1.0835351,"('low', 'eminent')",1.2592096,1.0835351,-0.1756745
