,footstep_male,footstep_female,tuple,average_male,average_female,female-male
0,-0.371547,-0.49038675,"('unsociable', 'sociable')",-0.371547,-0.4903868,-0.1188398
1,0.008753538,-0.21777782,"('unfriendly', 'friendly')",0.0087535,-0.2177778,-0.2265313
2,-0.5170212,-0.45694995,"('unlikable', 'likable')",-0.5170212,-0.4569499,0.0600713
3,-0.35846177,-0.13799202,"('repellent', 'pleasant')",-0.3584618,-0.137992,0.2204698
4,-1.2414993,-1.2437394,"('disliked', 'liked')",-1.2414993,-1.2437394,-0.0022401
5,0.33526978,0.25721443,"('distant', 'outgoing')",0.3352698,0.2572144,-0.0780554
6,-0.06697247,-0.17445925,"('distant', 'open')",-0.0669725,-0.1744592,-0.1074867
7,-0.007826284,0.044774294,"('insensitive', 'sensitive')",-0.0078263,0.0447743,0.0526006
8,-1.0974169,-1.2194713,"('unaffectionate', 'affectionate')",-1.0974169,-1.2194713,-0.1220544
9,-0.7763428,-0.8901042,"('unaffectionate', 'caring')",-0.7763428,-0.8901042,-0.1137614
10,-1.3501813,-1.4108188,"('unsympathetic', 'sympathetic')",-1.3501813,-1.4108188,-0.0606375
11,0.032890253,0.06656206,"('unhelpful', 'helpful')",0.0328903,0.0665621,0.0336718
12,-1.4027867,-1.4481045,"('unsupportive', 'supportive')",-1.4027867,-1.4481045,-0.0453178
13,0.551623,0.42784017,"('impolite', 'polite')",0.551623,0.4278402,-0.1237828
14,-0.11815971,-0.1008217,"('antisocial', 'social')",-0.1181597,-0.1008217,0.017338
15,0.11248979,-0.019102778,"('boring', 'funny')",0.1124898,-0.0191028,-0.1315926
16,-0.014429696,0.08575534,"('unpopular', 'popular')",-0.0144297,0.0857553,0.100185
17,-0.26919574,-0.22614998,"('nasty', 'nice')",-0.2691957,-0.22615,0.0430457
18,-1.1019922,-1.043002,"('disagreeable', 'welcoming')",-1.1019922,-1.043002,0.0589902
19,-0.908118,-0.85088813,"('inhospitable', 'hospitable')",-0.908118,-0.8508881,0.0572299
20,-0.41787457,-0.31132343,"('rough', 'thoughtful')",-0.4178746,-0.3113234,0.1065512
21,0.24503109,0.32291183,"('immoral', 'moral')",0.2450311,0.3229118,0.0778807
22,-0.37009072,-0.43843728,"('untrustworthy', 'trustworthy')",-0.3700907,-0.4384373,-0.0683466
23,0.8622713,0.80109125,"('insincere', 'sincere')",0.8622713,0.8010913,-0.06118
24,-0.10274596,-0.23364386,"('dishonest', 'honest')",-0.102746,-0.2336439,-0.1308979
