,alexandria_male,alexandria_female,tuple,real_male,real_female,est_male,est_female,equities_male,equities_female,inc_male,inc_female,average_male,average_female,female-male
0,0.7252418,0.6241886,"('unsociable', 'sociable')",1.2027318,1.1491755,1.5012877,1.4488258,-1.445521,-1.5103471,-0.22121145,-0.24205945,0.3525058,0.2939567,-0.0585491
1,-0.65379983,-0.6954023,"('unfriendly', 'friendly')",-1.6398402,-1.6441019,-1.5578446,-1.5671817,-1.5323077,-1.5804116,1.7082062,1.5701283,-0.7351172,-0.7833938,-0.0482766
2,1.0485219,1.0558879,"('unlikable', 'likable')",1.2150946,1.2545787,1.6889465,1.7082592,0.66553044,0.76307565,0.31946465,0.40416598,0.9875116,1.0371935,0.0496819
3,0.24557337,0.44417801,"('repellent', 'pleasant')",0.06738074,0.10789989,0.59259295,0.6468425,-0.6658829,-0.6239325,0.3853389,0.44405356,0.1250006,0.2038083,0.0788077
4,-0.8201491,-0.82747126,"('disliked', 'liked')",-0.8324746,-0.855491,-2.084788,-2.1908078,0.4100227,0.39180785,-6.5440173,-6.710013,-1.9742813,-2.0383949,-0.0641136
5,-0.9930696,-0.949804,"('distant', 'outgoing')",-2.0826542,-2.0206127,-1.9862714,-1.9992721,0.23768117,0.2563777,-0.29189453,-0.35579014,-1.0232417,-1.0138203,0.0094214
6,-0.8032246,-0.7498625,"('distant', 'open')",-2.1883063,-2.1421378,-1.5394291,-1.5310069,0.19543421,0.19367735,0.24155833,0.14739615,-0.8187935,-0.8163867,0.0024068
7,0.5176575,0.58673793,"('insensitive', 'sensitive')",0.236825,0.24711677,0.9566615,0.97531736,-1.0382203,-0.9817145,0.8223589,0.8564229,0.2990565,0.3367761,0.0377196
8,0.3293534,0.36884093,"('unaffectionate', 'affectionate')",-1.3547803,-1.2750493,-1.5834208,-1.5487266,-1.9405906,-1.9690572,0.67398655,0.54075295,-0.7750904,-0.7766479,-0.0015575
9,0.6633432,0.7180586,"('unaffectionate', 'caring')",-0.6078349,-0.5959846,-1.4464328,-1.4196192,-1.81771,-1.828251,1.0755962,1.0550278,-0.4266076,-0.4141537,0.0124539
10,0.61742216,0.6587614,"('unsympathetic', 'sympathetic')",0.4920597,0.45601177,1.4455032,1.4695578,-2.191498,-2.211829,0.11067117,0.11213551,0.0948316,0.0969275,0.0020959
11,-0.016751263,-0.024895096,"('unhelpful', 'helpful')",0.36841804,0.35686854,0.5381677,0.6028367,-1.5049994,-1.5100554,2.142128,2.246851,0.3053926,0.3343211,0.0289285
12,1.7110732,1.7535325,"('unsupportive', 'supportive')",0.46309653,0.51733,0.4528395,0.43146425,-1.1901712,-1.1092738,-1.7189006,-1.678438,-0.0564125,-0.017077,0.0393355
13,-0.070704795,-0.17429067,"('impolite', 'polite')",1.936448,1.9691495,2.2496827,2.2938173,-0.5733975,-0.5452362,-0.01207082,0.044742636,0.7059915,0.7176365,0.011645
14,1.2200239,1.189221,"('antisocial', 'social')",2.6177685,2.6245358,2.1596498,2.1130874,-0.563437,-0.54165065,-0.297015,-0.26290235,1.027398,1.0244583,-0.0029397
15,-0.43296736,-0.58104247,"('boring', 'funny')",0.268547,0.2553054,0.5677081,0.5496167,0.5897599,0.53628296,0.31884715,0.25738502,0.262379,0.2035095,-0.0588695
