,spokesman_male,spokesman_female,tuple,average_male,average_female,female-male
0,0.700431,0.44007805,"('unsociable', 'sociable')",0.700431,0.440078,-0.260353
1,0.8082825,0.9393786,"('unfriendly', 'friendly')",0.8082825,0.9393786,0.1310961
2,0.42838085,0.5369973,"('unlikable', 'likable')",0.4283808,0.5369973,0.1086165
3,0.7580922,0.76292163,"('repellent', 'pleasant')",0.7580922,0.7629216,0.0048294
4,-7.463009,-7.575318,"('disliked', 'liked')",-7.4630089,-7.5753179,-0.112309
5,-1.1562804,-0.88301957,"('distant', 'outgoing')",-1.1562804,-0.8830196,0.2732608
6,-0.96500295,-0.6886151,"('distant', 'open')",-0.965003,-0.6886151,0.2763879
7,1.2321204,1.2474548,"('insensitive', 'sensitive')",1.2321204,1.2474548,0.0153344
8,0.7019578,0.88077855,"('unaffectionate', 'affectionate')",0.7019578,0.8807786,0.1788208
9,1.7303337,1.8635373,"('unaffectionate', 'caring')",1.7303337,1.8635373,0.1332036
10,1.8400402,1.7852952,"('unsympathetic', 'sympathetic')",1.8400402,1.7852952,-0.054745
11,2.5497372,2.5767741,"('unhelpful', 'helpful')",2.5497372,2.5767741,0.0270369
12,-1.1224009,-1.1439806,"('unsupportive', 'supportive')",-1.1224009,-1.1439806,-0.0215797
13,0.91833144,0.7753173,"('impolite', 'polite')",0.9183314,0.7753173,-0.1430141
14,0.3212277,0.10380645,"('antisocial', 'social')",0.3212277,0.1038065,-0.2174212
15,0.05638475,0.07867518,"('boring', 'funny')",0.0563847,0.0786752,0.0222905
16,-0.58632785,-0.5194478,"('unpopular', 'popular')",-0.5863279,-0.5194478,0.0668801
17,-0.18602437,-0.18722208,"('nasty', 'nice')",-0.1860244,-0.1872221,-0.0011977
18,-1.0164076,-0.92096233,"('disagreeable', 'welcoming')",-1.0164076,-0.9209623,0.0954453
19,-0.9512134,-0.7253816,"('inhospitable', 'hospitable')",-0.9512134,-0.7253816,0.2258318
20,0.9582963,0.8382578,"('rough', 'thoughtful')",0.9582963,0.8382578,-0.1200385
21,0.8675637,0.84645766,"('immoral', 'moral')",0.8675637,0.8464577,-0.021106
22,0.08048291,-0.14200525,"('untrustworthy', 'trustworthy')",0.0804829,-0.1420052,-0.2224881
23,7.0041213,6.982878,"('insincere', 'sincere')",7.0041213,6.9828782,-0.0212431
24,2.0911965,2.0477602,"('dishonest', 'honest')",2.0911965,2.0477602,-0.0434363
25,0.04139436,0.09254368,"('egoistic', 'altruistic')",0.0413944,0.0925437,0.0511493
26,0.4625363,0.42810646,"('hardhearted', 'benevolent')",0.4625363,0.4281065,-0.0344298
27,1.4505874,1.465839,"('hardhearted', 'softhearted')",1.4505874,1.465839,0.0152516
28,1.4100101,1.3373706,"('disloyal', 'loyal')",1.4100101,1.3373706,-0.0726395
29,-0.44955078,-0.6339858,"('unfair', 'fair')",-0.4495508,-0.6339858,-0.184435
