,noble_male,noble_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,0.9989895,0.74984616,"('unsociable', 'sociable')",0.67284155,0.4900468,-0.6405557,-0.84982127,0.3437585,0.1300239,-0.2137346
1,0.6533718,0.71073407,"('unfriendly', 'friendly')",0.51630217,0.2924062,2.0297732,1.9558326,1.0664824,0.9863243,-0.0801581
2,1.9269367,1.9656508,"('unlikable', 'likable')",1.6825746,1.6826031,0.8389519,0.8925608,1.4828211,1.513605,0.0307839
3,-0.028063867,0.04086334,"('repellent', 'pleasant')",0.31609917,0.41708818,0.3242986,0.35551718,0.2041113,0.2711562,0.0670449
4,-0.20549104,-0.25912076,"('disliked', 'liked')",0.19040199,0.08441889,-5.893137,-5.935079,-1.9694087,-2.0365936,-0.0671849
5,-0.3102341,-0.21900341,"('distant', 'outgoing')",-0.4202761,-0.40554488,-0.021943796,0.08484758,-0.250818,-0.1799002,0.0709178
6,-0.19954252,-0.0634709,"('distant', 'open')",-1.0629085,-1.0909225,0.29685947,0.39098594,-0.3218638,-0.2544692,0.0673946
7,1.60919,1.5847263,"('insensitive', 'sensitive')",1.3110628,1.3700006,1.0076575,1.020479,1.3093034,1.3250686,0.0157652
8,0.1945552,0.2752591,"('unaffectionate', 'affectionate')",-0.8580171,-0.984829,0.78156567,0.75698525,0.0393679,0.0158051,-0.0235628
9,1.4478576,1.502023,"('unaffectionate', 'caring')",0.2818159,0.24244702,1.1925956,1.2260798,0.9740897,0.9901833,0.0160936
10,1.496346,1.4008216,"('unsympathetic', 'sympathetic')",0.19641402,0.13305016,-0.56680816,-0.66862667,0.3753173,0.288415,-0.0869023
11,0.3292432,0.35517114,"('unhelpful', 'helpful')",0.8699145,0.9332972,1.7669644,1.8650049,0.9887074,1.0511578,0.0624504
12,1.792189,1.8464962,"('unsupportive', 'supportive')",1.0791128,1.1272225,-1.4862951,-1.5111037,0.4616688,0.4875383,0.0258695
13,1.2189952,1.0618097,"('impolite', 'polite')",0.27259496,0.24390945,-0.6300889,-0.7209715,0.2871671,0.1949159,-0.0922512
14,1.0152222,0.90989065,"('antisocial', 'social')",1.54043,1.5725684,-0.6905298,-0.77854383,0.6217074,0.5679717,-0.0537357
15,0.18274012,0.11421523,"('boring', 'funny')",-0.41966993,-0.5029061,0.29748622,0.26894146,0.0201855,-0.0399165,-0.060102
16,-1.5873873,-1.5861863,"('unpopular', 'popular')",-0.48014235,-0.48667124,0.51312137,0.57308125,-0.5181361,-0.4999255,0.0182106
17,1.0461097,1.0885186,"('nasty', 'nice')",-0.91534543,-0.8489402,-0.47474232,-0.39927655,-0.1146594,-0.0532327,0.0614267
18,0.19405888,0.21679321,"('disagreeable', 'welcoming')",-0.5162884,-0.5341615,-0.29708207,-0.26719707,-0.2064372,-0.1948551,0.0115821
19,0.15861154,0.18985265,"('inhospitable', 'hospitable')",-0.9941984,-1.0401661,0.1652238,0.24228208,-0.2234544,-0.2026771,0.0207773
20,1.305363,1.378272,"('rough', 'thoughtful')",0.39396876,0.42977124,0.75296557,0.73101205,0.8174324,0.8463518,0.0289194
21,1.3453012,1.2188748,"('immoral', 'moral')",1.8748713,1.8471912,-0.5379783,-0.5523003,0.8940647,0.8379219,-0.0561428
22,0.8196798,0.77222717,"('untrustworthy', 'trustworthy')",-0.1393075,-0.24399441,-0.8117963,-0.8264515,-0.043808,-0.0994062,-0.0555982
23,1.2667451,1.2620014,"('insincere', 'sincere')",0.7717816,0.74841285,5.7632766,5.8212895,2.6006012,2.6105679,0.0099667
24,1.9521916,1.98626,"('dishonest', 'honest')",0.84208417,0.787477,0.7486979,0.728881,1.1809912,1.1675393,-0.0134519
25,0.79964656,0.92174256,"('egoistic', 'altruistic')",0.63551575,0.606438,1.737115,1.6677499,1.0574258,1.0653102,0.0078844
26,0.29707196,0.23609962,"('hardhearted', 'benevolent')",0.47175637,0.32727844,1.4238716,1.2064234,0.7309,0.5899338,-0.1409662
27,0.56726015,0.67452466,"('hardhearted', 'softhearted')",0.2864307,0.3183128,1.8201944,1.7279354,0.8912951,0.9069242,0.0156291
28,1.0821307,1.0273095,"('disloyal', 'loyal')",0.33304286,0.20691696,0.92462003,0.8852299,0.7799312,0.7064854,-0.0734458
29,0.39879465,0.36752555,"('unfair', 'fair')",-0.35240674,-0.3311872,-0.06976986,-0.21139693,-0.007794,-0.0583529,-0.0505589
30,1.3206022,1.2741997,"('intolerant', 'tolerant')",1.465174,1.3967712,0.9066031,0.81237006,1.2307931,1.1611137,-0.0696794
31,-1.6204063,-1.5219126,"('evil', 'good')",-1.69398,-1.8169854,-0.7286526,-0.73950446,-1.3476796,-1.3594675,-0.0117879
32,1.1658819,1.080932,"('unkind', 'kind')",0.52867085,0.45695737,1.125512,0.9610616,0.9400215,0.8329837,-0.1070378
33,0.399015,0.4020375,"('wrong', 'right')",0.64603263,0.57838666,-0.28758013,-0.33396634,0.2524892,0.2154859,-0.0370033
34,0.46132737,0.6039545,"('mean', 'honorable')",0.6657571,0.7234857,5.837965,5.999375,2.3216832,2.4422717,0.1205885
