,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.4470019,-1.4863119,"('unsociable', 'sociable')",-0.44718754,-0.520598,-0.9470947,-1.0034549,-0.0563602
1,-1.5633048,-1.8083138,"('unfriendly', 'friendly')",1.7564237,1.5931079,0.0965595,-0.107603,-0.2041625
2,0.96195525,0.96979946,"('unlikable', 'likable')",0.76784366,0.8348131,0.8648995,0.9023063,0.0374068
3,-0.305514,-0.202277,"('repellent', 'pleasant')",0.65565443,0.73507106,0.1750702,0.266397,0.0913268
4,-0.25936612,-0.3698179,"('disliked', 'liked')",-7.4323335,-7.5657964,-3.8458498,-3.9678071,-0.1219573
5,-0.4609349,-0.5103989,"('distant', 'outgoing')",-0.19842434,-0.27130914,-0.3296796,-0.390854,-0.0611744
6,-0.5327779,-0.579089,"('distant', 'open')",0.02732385,-0.041743882,-0.252727,-0.3104164,-0.0576894
7,-0.6164582,-0.5295312,"('insensitive', 'sensitive')",0.17191114,0.2627066,-0.2222735,-0.1334123,0.0888612
8,-1.5501761,-1.6836073,"('unaffectionate', 'affectionate')",1.2826886,1.1624616,-0.1337438,-0.2605729,-0.1268291
9,-1.529718,-1.6676573,"('unaffectionate', 'caring')",1.5890739,1.5371921,0.0296779,-0.0652326,-0.0949105
10,-1.8115226,-1.7365572,"('unsympathetic', 'sympathetic')",-0.70218927,-0.6407924,-1.256856,-1.1886748,0.0681812
11,-0.8514431,-0.8287072,"('unhelpful', 'helpful')",1.4221956,1.5045868,0.2853762,0.3379398,0.0525636
12,-1.2662641,-1.233031,"('unsupportive', 'supportive')",-2.22214,-2.2341976,-1.7442021,-1.7336143,0.0105878
13,-0.112735964,-0.0643118,"('impolite', 'polite')",-1.1226792,-1.0272963,-0.6177076,-0.545804,0.0719036
14,-0.15894735,0.01466598,"('antisocial', 'social')",-0.101766974,-0.0671792,-0.1303572,-0.0262566,0.1041006
15,0.67774117,0.61714435,"('boring', 'funny')",0.33741558,0.35040572,0.5075784,0.483775,-0.0238034
16,-0.34225914,-0.36435598,"('unpopular', 'popular')",0.060520798,0.0525323,-0.1408692,-0.1559118,-0.0150426
17,0.09506253,0.18406427,"('nasty', 'nice')",-0.17579272,-0.16154392,-0.0403651,0.0112602,0.0516253
18,-0.5385983,-0.4628451,"('disagreeable', 'welcoming')",-0.5944456,-0.6131277,-0.5665219,-0.5379864,0.0285355
19,-1.0913053,-1.1453736,"('inhospitable', 'hospitable')",-0.49020743,-0.48465553,-0.7907563,-0.8150145,-0.0242582
20,0.34855533,0.44632852,"('rough', 'thoughtful')",0.70746124,0.7160751,0.5280083,0.5812018,0.0531935
21,-0.48149058,-0.43692365,"('immoral', 'moral')",-0.9899198,-0.89279634,-0.7357052,-0.66486,0.0708452
22,-0.08101032,-0.0033827182,"('untrustworthy', 'trustworthy')",-1.0885509,-1.1237575,-0.5847806,-0.5635701,0.0212105
23,-0.93473065,-0.9560842,"('insincere', 'sincere')",5.7492585,5.805885,2.407264,2.4249003,0.0176363
24,-1.0059977,-0.9788028,"('dishonest', 'honest')",0.401583,0.423129,-0.3022074,-0.2778369,0.0243705
25,0.043980606,-0.10043859,"('egoistic', 'altruistic')",1.7407908,1.6805636,0.8923857,0.7900625,-0.1023232
26,-0.25976798,-0.34739298,"('hardhearted', 'benevolent')",1.7552106,1.6628098,0.7477213,0.6577084,-0.0900129
27,-0.49461073,-0.44648585,"('hardhearted', 'softhearted')",1.2194479,1.1830672,0.3624186,0.3682907,0.0058721
28,-1.2232672,-1.3515056,"('disloyal', 'loyal')",1.0798235,0.944244,-0.0717219,-0.2036308,-0.1319089
29,-0.47363356,-0.50848967,"('unfair', 'fair')",-0.45376453,-0.5817198,-0.463699,-0.5451047,-0.0814057
30,-0.055526003,-0.006121762,"('intolerant', 'tolerant')",0.8257721,0.9324067,0.385123,0.4631425,0.0780195
31,-0.5772155,-0.6231947,"('evil', 'good')",-0.52021754,-0.63400525,-0.5487165,-0.6286,-0.0798835
32,-0.6861138,-0.7054344,"('unkind', 'kind')",0.6655961,0.5740807,-0.0102588,-0.0656768,-0.055418
33,0.4118278,0.30575028,"('wrong', 'right')",-0.26926744,-0.34204805,0.0712802,-0.0181489,-0.0894291
34,0.12291376,0.18225129,"('mean', 'honorable')",5.3980064,5.575223,2.7604601,2.8787372,0.1182771
35,0.8640159,0.73655105,"('corrupt', 'incorrupt')",-0.16578484,-0.359754,0.3491155,0.1883985,-0.160717
36,-0.45340768,-0.63456434,"('hostile', 'amicable')",0.11503172,-0.07169726,-0.169188,-0.3531308,-0.1839428
37,0.25196338,0.3075825,"('fake', 'genuine')",0.23895863,0.24209541,0.245461,0.274839,0.029378
38,-1.0406023,-1.1374265,"('untruthful', 'truthful')",-0.38982168,-0.38178843,-0.715212,-0.7596074,-0.0443954
39,0.58672225,0.6245091,"('exploitative', 'cooperative')",0.52609456,0.53288054,0.5564084,0.5786948,0.0222864
40,-0.16425805,-0.2097401,"('stingy', 'generous')",-2.0367997,-2.1546497,-1.1005288,-1.1821949,-0.0816661
41,-0.9150048,-0.93645793,"('unforgiving', 'forgiving')",-0.24453667,-0.28078598,-0.5797707,-0.608622,-0.0288513
42,0.74127847,0.9115817,"('unreliable', 'reliable')",-3.7565093,-3.651755,-1.5076154,-1.3700867,0.1375287
43,-0.9034066,-0.7940351,"('irresponsible', 'responsible')",0.19552775,0.2957188,-0.3539394,-0.2491581,0.1047813
44,1.1235465,1.1774256,"('prejudiced', 'unprejudiced')",-1.3033735,-1.3028086,-0.0899135,-0.0626915,0.027222
45,-0.75507563,-0.71360064,"('incompetent', 'competent')",-0.5071549,-0.3957691,-0.6311153,-0.5546849,0.0764304
46,-1.1214609,-1.0649495,"('uncompetitive', 'competitive')",-1.5824443,-1.5032735,-1.3519526,-1.2841115,0.0678411
47,-0.15955466,-0.013054188,"('stupid', 'smart')",5.5177007,5.678233,2.6790731,2.8325894,0.1535163
